,bay_id,status,hour,minute,dayofweek,date
0,5361,Unoccupied,20,26,Saturday,2021-08-07
1,5548,Unoccupied,20,26,Saturday,2021-08-07
2,5418,Unoccupied,20,26,Saturday,2021-08-07
3,5358,Unoccupied,20,26,Saturday,2021-08-07
4,1292,Unoccupied,20,26,Saturday,2021-08-07
5,6030,Unoccupied,20,26,Saturday,2021-08-07
6,3044,Unoccupied,20,26,Saturday,2021-08-07
7,5841,Unoccupied,20,26,Saturday,2021-08-07
8,3968,Present,20,26,Saturday,2021-08-07
9,4188,Present,20,26,Saturday,2021-08-07
10,5505,Unoccupied,20,26,Saturday,2021-08-07
11,3042,Present,20,26,Saturday,2021-08-07
12,7959,Unoccupied,20,26,Saturday,2021-08-07
13,5720,Unoccupied,20,26,Saturday,2021-08-07
14,5826,Unoccupied,20,26,Saturday,2021-08-07
15,5725,Unoccupied,20,26,Saturday,2021-08-07
16,8122,Present,20,26,Saturday,2021-08-07
17,4400,Unoccupied,20,26,Saturday,2021-08-07
18,5552,Unoccupied,20,26,Saturday,2021-08-07
19,1274,Unoccupied,20,26,Saturday,2021-08-07
20,6037,Present,20,26,Saturday,2021-08-07
21,1294,Unoccupied,20,26,Saturday,2021-08-07
22,5510,Unoccupied,20,26,Saturday,2021-08-07
23,4021,Present,20,26,Saturday,2021-08-07
24,6064,Unoccupied,20,26,Saturday,2021-08-07
25,6747,Unoccupied,20,26,Saturday,2021-08-07
26,6062,Present,20,26,Saturday,2021-08-07
27,5021,Present,20,26,Saturday,2021-08-07
28,1264,Unoccupied,20,26,Saturday,2021-08-07
29,3271,Unoccupied,20,26,Saturday,2021-08-07
30,5354,Unoccupied,20,26,Saturday,2021-08-07
31,4296,Unoccupied,20,26,Saturday,2021-08-07
32,5419,Unoccupied,20,26,Saturday,2021-08-07
33,5411,Unoccupied,20,26,Saturday,2021-08-07
34,1272,Unoccupied,20,26,Saturday,2021-08-07
35,3026,Unoccupied,20,26,Saturday,2021-08-07
36,6190,Unoccupied,20,26,Saturday,2021-08-07
37,628,Unoccupied,20,26,Saturday,2021-08-07
38,5469,Unoccupied,20,26,Saturday,2021-08-07
39,5489,Present,20,26,Saturday,2021-08-07
40,5493,Unoccupied,20,26,Saturday,2021-08-07
41,6056,Unoccupied,20,26,Saturday,2021-08-07
42,4320,Unoccupied,20,26,Saturday,2021-08-07
43,5554,Present,20,26,Saturday,2021-08-07
44,4384,Unoccupied,20,26,Saturday,2021-08-07
45,2667,Present,20,26,Saturday,2021-08-07
46,6760,Unoccupied,20,26,Saturday,2021-08-07
47,2655,Present,20,26,Saturday,2021-08-07
48,5362,Present,20,26,Saturday,2021-08-07
49,5525,Present,20,26,Saturday,2021-08-07
50,4431,Unoccupied,20,26,Saturday,2021-08-07
51,909,Unoccupied,20,26,Saturday,2021-08-07
52,6059,Unoccupied,20,26,Saturday,2021-08-07
53,5389,Unoccupied,20,26,Saturday,2021-08-07
54,1276,Unoccupied,20,26,Saturday,2021-08-07
55,3632,Unoccupied,20,26,Saturday,2021-08-07
56,5422,Unoccupied,20,26,Saturday,2021-08-07
57,5452,Unoccupied,20,26,Saturday,2021-08-07
58,4271,Unoccupied,20,26,Saturday,2021-08-07
59,4251,Unoccupied,20,26,Saturday,2021-08-07
60,8151,Unoccupied,20,26,Saturday,2021-08-07
61,4044,Present,20,26,Saturday,2021-08-07
62,5345,Unoccupied,20,26,Saturday,2021-08-07
63,5540,Unoccupied,20,26,Saturday,2021-08-07
64,6034,Present,20,26,Saturday,2021-08-07
65,5394,Unoccupied,20,26,Saturday,2021-08-07
66,8308,Unoccupied,20,26,Saturday,2021-08-07
67,5687,Unoccupied,20,26,Saturday,2021-08-07
68,6155,Present,20,26,Saturday,2021-08-07
69,4183,Present,20,26,Saturday,2021-08-07
70,4383,Unoccupied,20,26,Saturday,2021-08-07
71,7960,Unoccupied,20,26,Saturday,2021-08-07
72,5507,Unoccupied,20,26,Saturday,2021-08-07
73,8333,Unoccupied,20,26,Saturday,2021-08-07
74,1290,Unoccupied,20,26,Saturday,2021-08-07
75,3606,Unoccupied,20,26,Saturday,2021-08-07
76,5274,Present,20,26,Saturday,2021-08-07
77,5346,Present,20,26,Saturday,2021-08-07
78,4034,Unoccupied,20,26,Saturday,2021-08-07
79,5390,Unoccupied,20,26,Saturday,2021-08-07
80,5884,Unoccupied,20,26,Saturday,2021-08-07
81,1260,Unoccupied,20,26,Saturday,2021-08-07
