Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2002,1,103974,103974,507-581 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,270,144.95660,-37.82110,POINT (144.9566 -37.8211)
2002,6,578328,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Commercial,500,144.97050,-37.81780,POINT (144.9705 -37.8178)
2002,11,103957,103957,517-537 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Commercial,109,144.95670,-37.81990,POINT (144.9567 -37.8199)
2002,11,103987,103987,550-554 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,10,,,
2002,11,103989,103989,532-536 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,133,144.95640,-37.82020,POINT (144.9564 -37.8202)
2002,11,103990,103990,524-528 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,6,144.95680,-37.82030,POINT (144.9568 -37.8203)
2002,11,105295,105295,33-35 King Street MELBOURNE 3000,Melbourne (CBD),Private,6,144.95690,-37.81960,POINT (144.9569 -37.8196)
2002,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),Private,30,144.95520,-37.82020,POINT (144.9552 -37.8202)
2002,11,559405,559405,547-555 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Residential,9,144.95580,-37.82000,POINT (144.9558 -37.82)
2002,12,103955,103955,475-485 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,17,144.95810,-37.81940,POINT (144.9581 -37.8194)
2002,12,103997,103997,472-482 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,310,144.95830,-37.81970,POINT (144.9583 -37.8197)
2002,12,103998,103998,452-470 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,296,144.95860,-37.81950,POINT (144.9586 -37.8195)
2002,12,103999,103999,1-13 William Street MELBOURNE 3000,Melbourne (CBD),Private,121,144.95950,-37.81940,POINT (144.9595 -37.8194)
2002,12,104825,104825,1-9 Highlander Lane MELBOURNE 3000,Melbourne (CBD),Residential,5,144.95810,-37.81990,POINT (144.9581 -37.8199)
2002,13,104002,104002,376-388 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,315,144.96150,-37.81880,POINT (144.9615 -37.8188)
2002,13,106435,106435,21-31 Market Street MELBOURNE 3000,Melbourne (CBD),Residential,34,144.96040,-37.81860,POINT (144.9604 -37.8186)
2002,13,106438,106438,14-40 Market Street MELBOURNE 3000,Melbourne (CBD),Private,85,144.96110,-37.81850,POINT (144.9611 -37.8185)
2002,13,106439,106439,8-12 Market Street MELBOURNE 3000,Melbourne (CBD),Private,3,144.96120,-37.81890,POINT (144.9612 -37.8189)
2002,13,108060,108060,19-35 Queen Street MELBOURNE 3000,Melbourne (CBD),Private,172,144.96180,-37.81820,POINT (144.9618 -37.8182)
2002,13,110151,110151,22-38 William Street MELBOURNE 3000,Melbourne (CBD),Private,13,144.96000,-37.81880,POINT (144.96 -37.8188)
2002,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Commercial,457,144.96310,-37.81810,POINT (144.9631 -37.8181)
2002,14,103947,103947,317-323 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,55,144.96380,-37.81770,POINT (144.9638 -37.8177)
2002,14,103948,103948,325-331 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,10,144.96350,-37.81780,POINT (144.9635 -37.8178)
2002,14,103949,103949,333 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,10,144.96330,-37.81780,POINT (144.9633 -37.8178)
2002,14,104005,104005,334-340 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,88,144.96330,-37.81840,POINT (144.9633 -37.8184)
2002,14,104007,104007,300-316 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,574,144.96400,-37.81810,POINT (144.964 -37.8181)
2002,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Private,22,144.96240,-37.81800,POINT (144.9624 -37.818)
2002,14,108117,108117,10-16 Queen Street MELBOURNE 3000,Melbourne (CBD),Private,13,144.96260,-37.81840,POINT (144.9626 -37.8184)
2002,15,103328,103328,2-26 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Private,22,144.96510,-37.81760,POINT (144.9651 -37.8176)
2002,15,103941,103941,247-251 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,12,144.96620,-37.81700,POINT (144.9662 -37.817)
2002,15,103942,103942,253-265 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,27,144.96590,-37.81710,POINT (144.9659 -37.8171)
2002,15,103943,103943,267-275 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,15,144.96550,-37.81710,POINT (144.9655 -37.8171)
2002,15,104014,104014,228-236 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,12,144.96660,-37.81720,POINT (144.9666 -37.8172)
2002,16,103934,103934,167-173 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,6,144.96880,-37.81610,POINT (144.9688 -37.8161)
2002,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,1072,144.96850,-37.81660,POINT (144.9685 -37.81660000000001)
2002,16,104931,104931,7-11 Hosier Lane MELBOURNE 3000,Melbourne (CBD),Private,5,144.96900,-37.81640,POINT (144.969 -37.8164)
2002,16,104016,110760,202 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,25,144.96770,-37.81680,POINT (144.9677 -37.8168)
2002,16,110761,110760,197-209 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,4,144.96770,-37.81680,POINT (144.9677 -37.8168)
2002,16,111528,110760,198 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,33,,,
2002,17,104021,104021,142-148 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,2,144.97010,-37.81640,POINT (144.9701 -37.8164)
2002,17,104024,104024,130-132 Flinders Street MELBOURNE 3000,Melbourne (CBD),Residential,2,144.97050,-37.81630,POINT (144.9705 -37.816300000000005)
2002,17,104025,104025,114-128 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,670,144.97080,-37.81590,POINT (144.9708 -37.8159)
2002,17,104025,104025,114-128 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,194,144.97080,-37.81590,POINT (144.9708 -37.8159)
2002,17,104026,104026,104-112 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,10,144.97120,-37.81600,POINT (144.9712 -37.816)
2002,17,104030,104030,84-90 Flinders Street MELBOURNE 3000,Melbourne (CBD),Private,68,144.97180,-37.81590,POINT (144.9718 -37.8159)
2002,17,107002,107002,22-30 Oliver Lane MELBOURNE 3000,Melbourne (CBD),Residential,16,144.97020,-37.81590,POINT (144.9702 -37.8159)
2002,17,107003,107003,10-20 Oliver Lane MELBOURNE 3000,Melbourne (CBD),Private,19,144.97030,-37.81610,POINT (144.9703 -37.8161)
2002,17,108594,108594,14-22 Russell Street MELBOURNE 3000,Melbourne (CBD),Private,11,144.97000,-37.81620,POINT (144.97 -37.8162)
2002,18,103913,103913,27-29 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Residential,5,144.97340,-37.81490,POINT (144.9734 -37.8149)
2002,18,103914,103914,31-35 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,12,144.97330,-37.81490,POINT (144.9733 -37.8149)
2002,18,103918,103918,61-73 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Residential,32,144.97250,-37.81510,POINT (144.9725 -37.8151)
2002,18,108975,108975,1-9 Spring Street MELBOURNE 3000,Melbourne (CBD),Private,308,144.97400,-37.81500,POINT (144.974 -37.815000000000005)
2002,18,108976,108976,13-23 Spring Street MELBOURNE 3000,Melbourne (CBD),Private,27,144.97420,-37.81480,POINT (144.9742 -37.8148)
2002,18,108977,108977,25-31 Spring Street MELBOURNE 3000,Melbourne (CBD),Residential,111,144.97410,-37.81450,POINT (144.9741 -37.8145)
2002,18,111072,111072,32-44 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,532,144.97320,-37.81520,POINT (144.9732 -37.8152)
2002,18,513723,513723,1-17 Flinders Street MELBOURNE 3000,Melbourne (CBD),Commercial,70,,,
2002,21,102105,102105,539-557 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,75,144.95640,-37.81880,POINT (144.9564 -37.8188)
2002,21,102106,102106,589-605 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,140,144.95520,-37.81940,POINT (144.9552 -37.8194)
2002,21,103960,103960,522-552 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Commercial,1018,144.95590,-37.81940,POINT (144.9559 -37.8194)
2002,21,103961,103961,578-584 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Private,21,144.95500,-37.81970,POINT (144.955 -37.8197)
2002,21,105296,105296,43-61 King Street MELBOURNE 3000,Melbourne (CBD),Private,60,144.95650,-37.81920,POINT (144.9565 -37.81920000000001)
2002,21,108970,108970,44-54 Spencer Street MELBOURNE 3000,Melbourne (CBD),Private,31,144.95480,-37.81970,POINT (144.9548 -37.8197)
2002,22,102102,102102,471-485 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,643,144.95850,-37.81840,POINT (144.9585 -37.8184)
2002,22,102104,102104,505-535 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,664,144.95750,-37.81870,POINT (144.9575 -37.8187)
2002,22,110092,110092,35-47 William Street MELBOURNE 3000,Melbourne (CBD),Private,13,144.95910,-37.81860,POINT (144.9591 -37.8186)
2002,22,102101,110661,459 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,95,144.95890,-37.81820,POINT (144.9589 -37.8182)
2002,22,110665,110661,459 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,175,144.95890,-37.81820,POINT (144.9589 -37.8182)
2002,23,102094,102094,389-399 Collins Street MELBOURNE 3000,Melbourne (CBD),Residential,6,144.96140,-37.81730,POINT (144.9614 -37.8173)
2002,23,102095,102095,401-403 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,12,144.96120,-37.81740,POINT (144.9612 -37.8174)
2002,23,102097,102097,409-413 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,10,144.96100,-37.81750,POINT (144.961 -37.8175)
2002,23,102099,102099,419-429 Collins Street MELBOURNE 3000,Melbourne (CBD),Private,38,144.96070,-37.81750,POINT (144.9607 -37.8175)
2002,23,102100,102100,433-455 Collins Street MELBOURNE 3000,Melbourne (CBD),Commercial,450,144.95990,-37.81800,POINT (144.9599 -37.818)
2002,23,106436,106436,54-60 Market Street MELBOURNE 3000,Melbourne (CBD),Commercial,49,144.96080,-37.81780,POINT (144.9608 -37.8178)
2002,23,106436,106436,54-60 Market Street MELBOURNE 3000,Melbourne (CBD),Private,29,144.96080,-37.81780,POINT (144.9608 -37.8178)
2002,23,106437,106437,42-52 Market Street MELBOURNE 3000,Melbourne (CBD),Private,9,144.96080,-37.81800,POINT (144.9608 -37.818)
2002,23,108061,108061,37-41 Queen Street MELBOURNE 3000,Melbourne (CBD),Private,3,144.96170,-37.81790,POINT (144.9617 -37.81790000000001)
