,ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
78355,39719,08/08/2009 02:00:00 PM,2009,August,8,Saturday,14,1,Bourke Street Mall (North),2722
137744,99061,12/26/2009 02:00:00 PM,2009,December,26,Saturday,14,1,Bourke Street Mall (North),4521
64086,25456,07/04/2009 03:00:00 PM,2009,July,4,Saturday,15,1,Bourke Street Mall (North),2719
52655,14032,06/06/2009 03:00:00 PM,2009,June,6,Saturday,15,1,Bourke Street Mall (North),4006
39206,586,05/02/2009 03:00:00 PM,2009,May,2,Saturday,15,1,Bourke Street Mall (North),4034
119546,80881,11/14/2009 12:00:00 PM,2009,November,14,Saturday,12,1,Bourke Street Mall (North),4335
110521,71863,10/24/2009 03:00:00 PM,2009,October,24,Saturday,15,1,Bourke Street Mall (North),4340
92640,53999,09/12/2009 02:00:00 PM,2009,September,12,Saturday,14,1,Bourke Street Mall (North),2489
180086,141379,04/03/2010 01:00:00 PM,2010,April,3,Saturday,13,1,Bourke Street Mall (North),3088
473002,198640,08/14/2010 03:00:00 PM,2010,August,14,Saturday,15,1,Bourke Street Mall (North),2904
159356,120661,02/14/2010 02:00:00 PM,2010,February,14,Sunday,14,1,Bourke Street Mall (North),2843
140788,102103,01/02/2010 03:00:00 PM,2010,January,2,Saturday,15,1,Bourke Street Mall (North),2590
231512,192781,07/31/2010 02:00:00 PM,2010,July,31,Saturday,14,1,Bourke Street Mall (North),2643
210334,171613,06/12/2010 02:00:00 PM,2010,June,12,Saturday,14,1,Bourke Street Mall (North),2478
174071,135367,03/20/2010 03:00:00 PM,2010,March,20,Saturday,15,1,Bourke Street Mall (North),2613
198259,159541,05/15/2010 02:00:00 PM,2010,May,15,Saturday,14,1,Bourke Street Mall (North),2580
267644,232861,11/06/2010 12:00:00 PM,2010,November,6,Saturday,12,1,Bourke Street Mall (North),2990
253807,219040,10/03/2010 03:00:00 PM,2010,October,3,Sunday,15,1,Bourke Street Mall (North),4059
244809,210047,09/11/2010 12:00:00 AM,2010,September,11,Saturday,0,1,Bourke Street Mall (North),2850
435192,400255,12/24/2011 03:00:00 PM,2011,December,24,Saturday,15,1,Bourke Street Mall (North),3518
714951,445597,04/07/2012 02:00:00 PM,2012,April,7,Saturday,14,1,Bourke Street Mall (North),3546
529876,500029,08/11/2012 02:00:00 PM,2012,August,11,Saturday,14,1,Bourke Street Mall (North),3715
581351,551504,12/09/2012 03:00:00 PM,2012,December,9,Sunday,15,1,Bourke Street Mall (North),4152
459388,424447,02/18/2012 03:00:00 PM,2012,February,18,Saturday,15,1,Bourke Street Mall (North),3249
447292,412351,01/21/2012 03:00:00 PM,2012,January,21,Saturday,15,1,Bourke Street Mall (North),3183
514774,484927,07/07/2012 03:00:00 PM,2012,July,7,Saturday,15,1,Bourke Street Mall (North),3693
505702,475855,06/16/2012 03:00:00 PM,2012,June,16,Saturday,15,1,Bourke Street Mall (North),3479
468460,433519,03/10/2012 03:00:00 PM,2012,March,10,Saturday,15,1,Bourke Street Mall (North),3294
490582,460735,05/12/2012 03:00:00 PM,2012,May,12,Saturday,15,1,Bourke Street Mall (North),3325
568787,538940,11/10/2012 01:00:00 PM,2012,November,10,Saturday,13,1,Bourke Street Mall (North),4025
559751,529904,10/20/2012 03:00:00 PM,2012,October,20,Saturday,15,1,Bourke Street Mall (North),3590
538966,509119,09/01/2012 03:00:00 PM,2012,September,1,Saturday,15,1,Bourke Street Mall (North),3523
