Date,Time,Location,Value
06-01-2020,00:00,Brooklyn,NULL
06-01-2020,01:00,Brooklyn,NULL
06-01-2020,02:00,Brooklyn,NULL
06-01-2020,03:00,Brooklyn,NULL
06-01-2020,04:00,Brooklyn,NULL
06-01-2020,05:00,Brooklyn,NULL
06-01-2020,06:00,Brooklyn,NULL
06-01-2020,07:00,Brooklyn,NULL
06-01-2020,08:00,Brooklyn,NULL
06-01-2020,09:00,Brooklyn,NULL
06-01-2020,10:00,Brooklyn,NULL
06-01-2020,11:00,Brooklyn,NULL
06-01-2020,12:00,Brooklyn,NULL
06-01-2020,13:00,Brooklyn,NULL
06-01-2020,14:00,Brooklyn,NULL
06-01-2020,15:00,Brooklyn,NULL
06-01-2020,16:00,Brooklyn,NULL
06-01-2020,17:00,Brooklyn,NULL
06-01-2020,18:00,Brooklyn,NULL
06-01-2020,19:00,Brooklyn,NULL
06-01-2020,20:00,Brooklyn,32.8
06-01-2020,21:00,Brooklyn,23.5
06-01-2020,22:00,Brooklyn,14.3
06-01-2020,23:00,Brooklyn,9.3
07-01-2020,00:00,Brooklyn,7.7
07-01-2020,01:00,Brooklyn,8.4
07-01-2020,02:00,Brooklyn,9.3
07-01-2020,03:00,Brooklyn,11.4
07-01-2020,04:00,Brooklyn,13.1
07-01-2020,05:00,Brooklyn,15.9
07-01-2020,06:00,Brooklyn,16.7
07-01-2020,07:00,Brooklyn,17.1
07-01-2020,08:00,Brooklyn,17.1
07-01-2020,09:00,Brooklyn,17.4
07-01-2020,10:00,Brooklyn,15.2
07-01-2020,11:00,Brooklyn,15.4
07-01-2020,12:00,Brooklyn,14.6
07-01-2020,13:00,Brooklyn,17.9
07-01-2020,14:00,Brooklyn,26.5
07-01-2020,15:00,Brooklyn,NULL
07-01-2020,16:00,Brooklyn,29.5
07-01-2020,17:00,Brooklyn,25.3
07-01-2020,18:00,Brooklyn,24
07-01-2020,19:00,Brooklyn,25.9
07-01-2020,20:00,Brooklyn,23.1
07-01-2020,21:00,Brooklyn,19.4
07-01-2020,22:00,Brooklyn,18.2
07-01-2020,23:00,Brooklyn,18.1
08-01-2020,00:00,Brooklyn,17.5
08-01-2020,01:00,Brooklyn,17.8
08-01-2020,02:00,Brooklyn,21.7
08-01-2020,03:00,Brooklyn,19
08-01-2020,04:00,Brooklyn,18
08-01-2020,05:00,Brooklyn,19
08-01-2020,06:00,Brooklyn,16.2
08-01-2020,07:00,Brooklyn,14.8
08-01-2020,08:00,Brooklyn,17.1
08-01-2020,09:00,Brooklyn,21
08-01-2020,10:00,Brooklyn,18.8
08-01-2020,11:00,Brooklyn,15
08-01-2020,12:00,Brooklyn,9.9
08-01-2020,13:00,Brooklyn,8.3
08-01-2020,14:00,Brooklyn,8.4
08-01-2020,15:00,Brooklyn,NULL
08-01-2020,16:00,Brooklyn,13.1
08-01-2020,17:00,Brooklyn,14.9
08-01-2020,18:00,Brooklyn,14.2
08-01-2020,19:00,Brooklyn,11.1
08-01-2020,20:00,Brooklyn,8.9
08-01-2020,21:00,Brooklyn,8.8
08-01-2020,22:00,Brooklyn,8.7
08-01-2020,23:00,Brooklyn,8.5
09-01-2020,00:00,Brooklyn,8.9
09-01-2020,01:00,Brooklyn,12.4
09-01-2020,02:00,Brooklyn,25.9
09-01-2020,03:00,Brooklyn,30.6
09-01-2020,04:00,Brooklyn,31.9
09-01-2020,05:00,Brooklyn,37.3
09-01-2020,06:00,Brooklyn,44
09-01-2020,07:00,Brooklyn,36
09-01-2020,08:00,Brooklyn,53.6
09-01-2020,09:00,Brooklyn,78.9
09-01-2020,10:00,Brooklyn,81.1
09-01-2020,11:00,Brooklyn,82.5
09-01-2020,12:00,Brooklyn,87.8
09-01-2020,13:00,Brooklyn,87.4
09-01-2020,14:00,Brooklyn,86
09-01-2020,15:00,Brooklyn,NULL
09-01-2020,16:00,Brooklyn,76.5
09-01-2020,17:00,Brooklyn,88.3
09-01-2020,18:00,Brooklyn,68.1
09-01-2020,19:00,Brooklyn,42.9
09-01-2020,20:00,Brooklyn,34.6
09-01-2020,21:00,Brooklyn,31.8
09-01-2020,22:00,Brooklyn,29.1
09-01-2020,23:00,Brooklyn,28.3
10-01-2020,00:00,Brooklyn,28.8
10-01-2020,01:00,Brooklyn,29.6
10-01-2020,02:00,Brooklyn,30.6
