Date,Time,Location,Value,New_Value
06/01/20,20:00:00,Brooklyn,32.8,32.8
06/01/20,21:00:00,Brooklyn,23.5,23.5
06/01/20,22:00:00,Brooklyn,14.3,14.3
06/01/20,23:00:00,Brooklyn,9.3,9.3
07/01/20,0:00:00,Brooklyn,7.7,7.7
07/01/20,1:00:00,Brooklyn,8.4,8.4
07/01/20,2:00:00,Brooklyn,9.3,9.3
07/01/20,3:00:00,Brooklyn,11.4,11.4
07/01/20,4:00:00,Brooklyn,13.1,13.1
07/01/20,5:00:00,Brooklyn,15.9,15.9
07/01/20,6:00:00,Brooklyn,16.7,16.7
07/01/20,7:00:00,Brooklyn,17.1,17.1
07/01/20,8:00:00,Brooklyn,17.1,17.1
07/01/20,9:00:00,Brooklyn,17.4,17.4
07/01/20,10:00:00,Brooklyn,15.2,15.2
07/01/20,11:00:00,Brooklyn,15.4,15.4
07/01/20,12:00:00,Brooklyn,14.6,14.6
07/01/20,13:00:00,Brooklyn,17.9,17.9
07/01/20,14:00:00,Brooklyn,26.5,26.5
07/01/20,15:00:00,Brooklyn,,28
07/01/20,16:00:00,Brooklyn,29.5,29.5
07/01/20,17:00:00,Brooklyn,25.3,25.3
07/01/20,18:00:00,Brooklyn,24,24
07/01/20,19:00:00,Brooklyn,25.9,25.9
07/01/20,20:00:00,Brooklyn,23.1,23.1
07/01/20,21:00:00,Brooklyn,19.4,19.4
07/01/20,22:00:00,Brooklyn,18.2,18.2
07/01/20,23:00:00,Brooklyn,18.1,18.1
08/01/20,0:00:00,Brooklyn,17.5,17.5
08/01/20,1:00:00,Brooklyn,17.8,17.8
08/01/20,2:00:00,Brooklyn,21.7,21.7
08/01/20,3:00:00,Brooklyn,19,19
08/01/20,4:00:00,Brooklyn,18,18
08/01/20,5:00:00,Brooklyn,19,19
08/01/20,6:00:00,Brooklyn,16.2,16.2
08/01/20,7:00:00,Brooklyn,14.8,14.8
08/01/20,8:00:00,Brooklyn,17.1,17.1
08/01/20,9:00:00,Brooklyn,21,21
08/01/20,10:00:00,Brooklyn,18.8,18.8
08/01/20,11:00:00,Brooklyn,15,15
08/01/20,12:00:00,Brooklyn,9.9,9.9
08/01/20,13:00:00,Brooklyn,8.3,8.3
08/01/20,14:00:00,Brooklyn,8.4,8.4
08/01/20,15:00:00,Brooklyn,,10.75
08/01/20,16:00:00,Brooklyn,13.1,13.1
08/01/20,17:00:00,Brooklyn,14.9,14.9
08/01/20,18:00:00,Brooklyn,14.2,14.2
08/01/20,19:00:00,Brooklyn,11.1,11.1
08/01/20,20:00:00,Brooklyn,8.9,8.9
08/01/20,21:00:00,Brooklyn,8.8,8.8
08/01/20,22:00:00,Brooklyn,8.7,8.7
08/01/20,23:00:00,Brooklyn,8.5,8.5
09/01/20,0:00:00,Brooklyn,8.9,8.9
09/01/20,1:00:00,Brooklyn,12.4,12.4
09/01/20,2:00:00,Brooklyn,25.9,25.9
09/01/20,3:00:00,Brooklyn,30.6,30.6
09/01/20,4:00:00,Brooklyn,31.9,31.9
09/01/20,5:00:00,Brooklyn,37.3,37.3
09/01/20,6:00:00,Brooklyn,44,44
09/01/20,7:00:00,Brooklyn,36,36
09/01/20,8:00:00,Brooklyn,53.6,53.6
09/01/20,9:00:00,Brooklyn,78.9,78.9
09/01/20,10:00:00,Brooklyn,81.1,81.1
09/01/20,11:00:00,Brooklyn,82.5,82.5
09/01/20,12:00:00,Brooklyn,87.8,87.8
09/01/20,13:00:00,Brooklyn,87.4,87.4
09/01/20,14:00:00,Brooklyn,86,86
09/01/20,15:00:00,Brooklyn,,81.25
09/01/20,16:00:00,Brooklyn,76.5,76.5
09/01/20,17:00:00,Brooklyn,88.3,88.3
09/01/20,18:00:00,Brooklyn,68.1,68.1
09/01/20,19:00:00,Brooklyn,42.9,42.9
09/01/20,20:00:00,Brooklyn,34.6,34.6
09/01/20,21:00:00,Brooklyn,31.8,31.8
09/01/20,22:00:00,Brooklyn,29.1,29.1
09/01/20,23:00:00,Brooklyn,28.3,28.3
10/01/20,0:00:00,Brooklyn,28.8,28.8
10/01/20,1:00:00,Brooklyn,29.6,29.6
10/01/20,2:00:00,Brooklyn,30.6,30.6
10/01/20,3:00:00,Brooklyn,31.6,31.6
10/01/20,4:00:00,Brooklyn,30.6,30.6
10/01/20,5:00:00,Brooklyn,22.7,22.7
10/01/20,6:00:00,Brooklyn,19.2,19.2
10/01/20,7:00:00,Brooklyn,18.2,18.2
10/01/20,8:00:00,Brooklyn,18.2,18.2
10/01/20,9:00:00,Brooklyn,18.1,18.1
10/01/20,10:00:00,Brooklyn,18.4,18.4
10/01/20,11:00:00,Brooklyn,18.6,18.6
10/01/20,12:00:00,Brooklyn,18.4,18.4
10/01/20,13:00:00,Brooklyn,18.4,18.4
10/01/20,14:00:00,Brooklyn,18.8,18.8
10/01/20,15:00:00,Brooklyn,,19.3
10/01/20,16:00:00,Brooklyn,19.8,19.8
10/01/20,17:00:00,Brooklyn,20.3,20.3
10/01/20,18:00:00,Brooklyn,20.3,20.3
10/01/20,19:00:00,Brooklyn,20.5,20.5
10/01/20,20:00:00,Brooklyn,20.4,20.4
10/01/20,21:00:00,Brooklyn,19.9,19.9
10/01/20,22:00:00,Brooklyn,19.1,19.1
10/01/20,23:00:00,Brooklyn,18.6,18.6
11/01/20,0:00:00,Brooklyn,18.5,18.5
11/01/20,1:00:00,Brooklyn,18.4,18.4
11/01/20,2:00:00,Brooklyn,19.1,19.1
11/01/20,3:00:00,Brooklyn,20.1,20.1
11/01/20,4:00:00,Brooklyn,19.7,19.7
11/01/20,5:00:00,Brooklyn,19.7,19.7
11/01/20,6:00:00,Brooklyn,20.8,20.8
11/01/20,7:00:00,Brooklyn,20.6,20.6
11/01/20,8:00:00,Brooklyn,19.9,19.9
11/01/20,9:00:00,Brooklyn,19,19
11/01/20,10:00:00,Brooklyn,19.1,19.1
11/01/20,11:00:00,Brooklyn,18.3,18.3
11/01/20,12:00:00,Brooklyn,18.1,18.1
11/01/20,13:00:00,Brooklyn,18.5,18.5
11/01/20,14:00:00,Brooklyn,18.4,18.4
11/01/20,15:00:00,Brooklyn,,17
11/01/20,16:00:00,Brooklyn,15.6,15.6
11/01/20,17:00:00,Brooklyn,15.9,15.9
11/01/20,18:00:00,Brooklyn,16.3,16.3
11/01/20,19:00:00,Brooklyn,16,16
11/01/20,20:00:00,Brooklyn,16.3,16.3
11/01/20,21:00:00,Brooklyn,16.5,16.5
11/01/20,22:00:00,Brooklyn,16.5,16.5
11/01/20,23:00:00,Brooklyn,16,16
12/01/20,0:00:00,Brooklyn,15.3,15.3
12/01/20,1:00:00,Brooklyn,15.1,15.1
12/01/20,2:00:00,Brooklyn,15.1,15.1
12/01/20,3:00:00,Brooklyn,14.9,14.9
12/01/20,4:00:00,Brooklyn,14.9,14.9
12/01/20,5:00:00,Brooklyn,15,15
12/01/20,6:00:00,Brooklyn,14.9,14.9
12/01/20,7:00:00,Brooklyn,15,15
12/01/20,8:00:00,Brooklyn,15.2,15.2
12/01/20,9:00:00,Brooklyn,15.5,15.5
12/01/20,10:00:00,Brooklyn,15.7,15.7
12/01/20,11:00:00,Brooklyn,15.8,15.8
12/01/20,12:00:00,Brooklyn,16.3,16.3
12/01/20,13:00:00,Brooklyn,16.5,16.5
12/01/20,14:00:00,Brooklyn,16.5,16.5
12/01/20,15:00:00,Brooklyn,,16.5
12/01/20,16:00:00,Brooklyn,16.5,16.5
12/01/20,17:00:00,Brooklyn,16.7,16.7
12/01/20,18:00:00,Brooklyn,16.7,16.7
12/01/20,19:00:00,Brooklyn,16.9,16.9
12/01/20,20:00:00,Brooklyn,18,18
12/01/20,21:00:00,Brooklyn,18.7,18.7
12/01/20,22:00:00,Brooklyn,22.6,22.6
12/01/20,23:00:00,Brooklyn,65.5,65.5
13/01/20,0:00:00,Brooklyn,77,77
13/01/20,1:00:00,Brooklyn,72.7,72.7
13/01/20,2:00:00,Brooklyn,75,75
13/01/20,3:00:00,Brooklyn,79.3,79.3
13/01/20,4:00:00,Brooklyn,84.2,84.2
13/01/20,5:00:00,Brooklyn,83.2,83.2
13/01/20,6:00:00,Brooklyn,73.7,73.7
13/01/20,7:00:00,Brooklyn,67.7,67.7
13/01/20,8:00:00,Brooklyn,64.1,64.1
13/01/20,9:00:00,Brooklyn,60,60
13/01/20,10:00:00,Brooklyn,63.5,63.5
13/01/20,11:00:00,Brooklyn,218.7,218.7
13/01/20,12:00:00,Brooklyn,606.8,606.8
13/01/20,13:00:00,Brooklyn,585,585
13/01/20,14:00:00,Brooklyn,562.6,562.6
13/01/20,15:00:00,Brooklyn,,535.1
13/01/20,16:00:00,Brooklyn,507.6,507.6
13/01/20,17:00:00,Brooklyn,476.5,476.5
13/01/20,18:00:00,Brooklyn,360.2,360.2
13/01/20,19:00:00,Brooklyn,305.3,305.3
13/01/20,20:00:00,Brooklyn,275.6,275.6
13/01/20,21:00:00,Brooklyn,236.7,236.7
13/01/20,22:00:00,Brooklyn,201.4,201.4
13/01/20,23:00:00,Brooklyn,205.5,205.5
14/01/20,0:00:00,Brooklyn,227.7,227.7
14/01/20,1:00:00,Brooklyn,179.8,179.8
14/01/20,2:00:00,Brooklyn,187.7,187.7
14/01/20,3:00:00,Brooklyn,200.9,200.9
14/01/20,4:00:00,Brooklyn,215.4,215.4
14/01/20,5:00:00,Brooklyn,240,240
14/01/20,6:00:00,Brooklyn,181.2,181.2
14/01/20,7:00:00,Brooklyn,154.1,154.1
14/01/20,8:00:00,Brooklyn,187.3,187.3
14/01/20,9:00:00,Brooklyn,145.9,145.9
14/01/20,10:00:00,Brooklyn,160.3,160.3
14/01/20,11:00:00,Brooklyn,173.2,173.2
14/01/20,12:00:00,Brooklyn,162.5,162.5
14/01/20,13:00:00,Brooklyn,159.4,159.4
14/01/20,14:00:00,Brooklyn,150.3,150.3
14/01/20,15:00:00,Brooklyn,,168.45
14/01/20,16:00:00,Brooklyn,186.6,186.6
14/01/20,17:00:00,Brooklyn,183.5,183.5
14/01/20,18:00:00,Brooklyn,145,145
14/01/20,19:00:00,Brooklyn,132.5,132.5
14/01/20,20:00:00,Brooklyn,139.3,139.3
14/01/20,21:00:00,Brooklyn,160.1,160.1
14/01/20,22:00:00,Brooklyn,252.5,252.5
14/01/20,23:00:00,Brooklyn,273.9,273.9
15/01/20,0:00:00,Brooklyn,203.2,203.2
15/01/20,1:00:00,Brooklyn,150.5,150.5
15/01/20,2:00:00,Brooklyn,103.9,103.9
15/01/20,3:00:00,Brooklyn,82.3,82.3
15/01/20,4:00:00,Brooklyn,47.6,47.6
15/01/20,5:00:00,Brooklyn,42.2,42.2
15/01/20,6:00:00,Brooklyn,45,45
15/01/20,7:00:00,Brooklyn,59.3,59.3
15/01/20,8:00:00,Brooklyn,231.1,231.1
15/01/20,9:00:00,Brooklyn,231,231
15/01/20,10:00:00,Brooklyn,208.3,208.3
15/01/20,11:00:00,Brooklyn,87.4,87.4
15/01/20,12:00:00,Brooklyn,195.5,195.5
15/01/20,13:00:00,Brooklyn,211.6,211.6
15/01/20,14:00:00,Brooklyn,145.2,145.2
15/01/20,15:00:00,Brooklyn,,120.9
15/01/20,16:00:00,Brooklyn,96.6,96.6
15/01/20,17:00:00,Brooklyn,62,62
15/01/20,18:00:00,Brooklyn,53.1,53.1
15/01/20,19:00:00,Brooklyn,52.1,52.1
15/01/20,20:00:00,Brooklyn,71,71
15/01/20,21:00:00,Brooklyn,65.5,65.5
15/01/20,22:00:00,Brooklyn,48.9,48.9
15/01/20,23:00:00,Brooklyn,44.7,44.7
16/01/20,0:00:00,Brooklyn,39,39
16/01/20,1:00:00,Brooklyn,37.1,37.1
16/01/20,2:00:00,Brooklyn,,32.67142857
16/01/20,3:00:00,Brooklyn,,28.24285714
16/01/20,4:00:00,Brooklyn,,23.81428571
16/01/20,5:00:00,Brooklyn,,19.38571429
16/01/20,6:00:00,Brooklyn,,14.95714286
16/01/20,7:00:00,Brooklyn,,10.52857143
16/01/20,8:00:00,Brooklyn,6.1,6.1
16/01/20,9:00:00,Brooklyn,6.2,6.2
16/01/20,10:00:00,Brooklyn,7.1,7.1
16/01/20,11:00:00,Brooklyn,7.4,7.4
16/01/20,12:00:00,Brooklyn,7.2,7.2
16/01/20,13:00:00,Brooklyn,6.7,6.7
16/01/20,14:00:00,Brooklyn,6.5,6.5
16/01/20,15:00:00,Brooklyn,,6.9
16/01/20,16:00:00,Brooklyn,7.3,7.3
16/01/20,17:00:00,Brooklyn,8.6,8.6
16/01/20,18:00:00,Brooklyn,9.2,9.2
16/01/20,19:00:00,Brooklyn,9.6,9.6
16/01/20,20:00:00,Brooklyn,10.3,10.3
16/01/20,21:00:00,Brooklyn,11.8,11.8
16/01/20,22:00:00,Brooklyn,12.3,12.3
16/01/20,23:00:00,Brooklyn,9.7,9.7
