,ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
82265,43629,08/18/2009 04:00:00 AM,2009,August,18,Tuesday,4,1,Bourke Street Mall (North),1
127185,88513,12/02/2009 04:00:00 AM,2009,December,2,Wednesday,4,1,Bourke Street Mall (North),0
65123,26493,07/07/2009 04:00:00 AM,2009,July,7,Tuesday,4,1,Bourke Street Mall (North),1
51652,13029,06/04/2009 04:00:00 AM,2009,June,4,Thursday,4,1,Bourke Street Mall (North),0
45150,6529,05/19/2009 03:00:00 AM,2009,May,19,Tuesday,3,1,Bourke Street Mall (North),0
114193,75535,11/02/2009 03:00:00 AM,2009,November,2,Monday,3,1,Bourke Street Mall (North),0
102482,63835,10/06/2009 01:00:00 AM,2009,October,6,Tuesday,1,1,Bourke Street Mall (North),0
87961,49324,09/01/2009 03:00:00 AM,2009,September,1,Tuesday,3,1,Bourke Street Mall (North),1
179726,141019,04/02/2010 05:00:00 PM,2010,April,2,Friday,17,1,Bourke Street Mall (North),0
476897,202533,08/24/2010 04:00:00 AM,2010,August,24,Tuesday,4,1,Bourke Street Mall (North),0
157448,118753,02/10/2010 04:00:00 AM,2010,February,10,Wednesday,4,1,Bourke Street Mall (North),1
144445,105757,01/11/2010 02:00:00 AM,2010,January,11,Monday,2,1,Bourke Street Mall (North),0
220508,181783,07/06/2010 03:00:00 AM,2010,July,6,Tuesday,3,1,Bourke Street Mall (North),0
217051,178327,06/28/2010 03:00:00 AM,2010,June,28,Monday,3,1,Bourke Street Mall (North),0
169550,130849,03/10/2010 04:00:00 AM,2010,March,10,Wednesday,4,1,Bourke Street Mall (North),0
197215,158497,05/13/2010 04:00:00 AM,2010,May,13,Thursday,4,1,Bourke Street Mall (North),1
265824,231042,11/02/2010 01:00:00 AM,2010,November,2,Tuesday,1,1,Bourke Street Mall (North),0
258214,223443,10/14/2010 10:00:00 AM,2010,October,14,Thursday,10,1,Bourke Street Mall (North),0
245421,210659,09/13/2010 12:00:00 AM,2010,September,13,Monday,0,1,Bourke Street Mall (North),0
433680,398743,12/21/2011 03:00:00 AM,2011,December,21,Wednesday,3,1,Bourke Street Mall (North),8
485164,455317,04/30/2012 02:00:00 AM,2012,April,30,Monday,2,1,Bourke Street Mall (North),2
533998,504151,08/21/2012 03:00:00 AM,2012,August,21,Tuesday,3,1,Bourke Street Mall (North),2
579371,549524,12/05/2012 01:00:00 AM,2012,December,5,Wednesday,1,1,Bourke Street Mall (North),0
460900,425959,02/22/2012 03:00:00 AM,2012,February,22,Wednesday,3,1,Bourke Street Mall (North),4
445348,410407,01/17/2012 03:00:00 AM,2012,January,17,Tuesday,3,1,Bourke Street Mall (North),1
521902,492055,07/24/2012 03:00:00 AM,2012,July,24,Tuesday,3,1,Bourke Street Mall (North),0
500734,470887,06/05/2012 03:00:00 AM,2012,June,5,Tuesday,3,1,Bourke Street Mall (North),0
469540,434599,03/13/2012 03:00:00 AM,2012,March,13,Tuesday,3,1,Bourke Street Mall (North),2
494254,464407,05/21/2012 03:00:00 AM,2012,May,21,Monday,3,1,Bourke Street Mall (North),1
566465,536618,11/05/2012 04:00:00 AM,2012,November,5,Monday,4,1,Bourke Street Mall (North),4
555665,525818,10/11/2012 04:00:00 AM,2012,October,11,Thursday,4,1,Bourke Street Mall (North),2
545772,515925,09/18/2012 04:00:00 AM,2012,September,18,Tuesday,4,1,Bourke Street Mall (North),1
629759,599912,04/02/2013 03:00:00 AM,2013,April,2,Tuesday,3,1,Bourke Street Mall (North),5
686366,656490,08/16/2013 04:00:00 AM,2013,August,16,Friday,4,1,Bourke Street Mall (North),2
942790,734707,12/17/2013 04:00:00 AM,2013,December,17,Tuesday,4,1,Bourke Street Mall (North),3
