,ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
86754,48117,08/29/2009 04:00:00 AM,2009,August,29,Saturday,4,1,Bourke Street Mall (North),10
137997,99313,12/27/2009 04:00:00 AM,2009,December,27,Sunday,4,1,Bourke Street Mall (North),21
66755,28125,07/11/2009 04:00:00 AM,2009,July,11,Saturday,4,1,Bourke Street Mall (North),15
55343,16718,06/13/2009 05:00:00 AM,2009,June,13,Saturday,5,1,Bourke Street Mall (North),13
39055,436,05/02/2009 05:00:00 AM,2009,May,2,Saturday,5,1,Bourke Street Mall (North),19
122879,84211,11/22/2009 05:00:00 AM,2009,November,22,Sunday,5,1,Bourke Street Mall (North),13
107995,69343,10/18/2009 07:00:00 PM,2009,October,18,Sunday,19,1,Bourke Street Mall (North),1
95751,57110,09/20/2009 05:00:00 AM,2009,September,20,Sunday,5,1,Bourke Street Mall (North),11
179870,141163,04/03/2010 01:00:00 AM,2010,April,3,Saturday,1,1,Bourke Street Mall (North),0
475673,201309,08/21/2010 04:00:00 AM,2010,August,21,Saturday,4,1,Bourke Street Mall (North),17
161788,123091,02/20/2010 05:00:00 AM,2010,February,20,Saturday,5,1,Bourke Street Mall (North),7
146661,107971,01/16/2010 05:00:00 AM,2010,January,16,Saturday,5,1,Bourke Street Mall (North),10
228307,189577,07/24/2010 04:00:00 AM,2010,July,24,Saturday,4,1,Bourke Street Mall (North),20
207578,168859,06/06/2010 05:00:00 AM,2010,June,6,Sunday,5,1,Bourke Street Mall (North),14
168290,129589,03/07/2010 06:00:00 AM,2010,March,7,Sunday,6,1,Bourke Street Mall (North),14
201553,162835,05/23/2010 05:00:00 AM,2010,May,23,Sunday,5,1,Bourke Street Mall (North),10
267525,232742,11/06/2010 05:00:00 AM,2010,November,6,Saturday,5,1,Bourke Street Mall (North),15
256053,221284,10/09/2010 03:00:00 AM,2010,October,9,Saturday,3,1,Bourke Street Mall (North),0
241798,207038,09/04/2010 12:00:00 AM,2010,September,4,Saturday,0,1,Bourke Street Mall (North),14
438040,403099,12/31/2011 05:00:00 AM,2011,December,31,Saturday,5,1,Bourke Street Mall (North),16
484372,454525,04/28/2012 06:00:00 AM,2012,April,28,Saturday,6,1,Bourke Street Mall (North),14
526690,496843,08/04/2012 05:00:00 AM,2012,August,4,Saturday,5,1,Bourke Street Mall (North),12
590022,560175,12/30/2012 05:00:00 AM,2012,December,30,Sunday,5,1,Bourke Street Mall (North),15
456184,421243,02/11/2012 05:00:00 AM,2012,February,11,Saturday,5,1,Bourke Street Mall (North),11
450568,415627,01/29/2012 05:00:00 AM,2012,January,29,Sunday,5,1,Bourke Street Mall (North),12
514612,484765,07/07/2012 06:00:00 AM,2012,July,7,Saturday,6,1,Bourke Street Mall (North),19
499474,469627,06/02/2012 05:00:00 AM,2012,June,2,Saturday,5,1,Bourke Street Mall (North),11
471304,436363,03/17/2012 05:00:00 AM,2012,March,17,Saturday,5,1,Bourke Street Mall (North),13
490402,460555,05/12/2012 05:00:00 AM,2012,May,12,Saturday,5,1,Bourke Street Mall (North),13
565619,535772,11/03/2012 05:00:00 AM,2012,November,3,Saturday,5,1,Bourke Street Mall (North),2
553937,524090,10/07/2012 04:00:00 AM,2012,October,7,Sunday,4,1,Bourke Street Mall (North),4
541709,511862,09/08/2012 05:00:00 AM,2012,September,8,Saturday,5,1,Bourke Street Mall (North),11
634997,605150,04/14/2013 06:00:00 AM,2013,April,14,Sunday,6,1,Bourke Street Mall (North),14
689444,659562,08/24/2013 04:00:00 AM,2013,August,24,Saturday,4,1,Bourke Street Mall (North),12
950827,742731,12/28/2013 04:00:00 AM,2013,December,28,Saturday,4,1,Bourke Street Mall (North),16
604307,574460,02/02/2013 05:00:00 AM,2013,February,2,Saturday,5,1,Bourke Street Mall (North),10
592470,562623,01/05/2013 05:00:00 AM,2013,January,5,Saturday,5,1,Bourke Street Mall (North),12
675726,645855,07/20/2013 05:00:00 AM,2013,July,20,Saturday,5,1,Bourke Street Mall (North),18
664290,634431,06/22/2013 05:00:00 AM,2013,June,22,Saturday,5,1,Bourke Street Mall (North),17
619427,589580,03/09/2013 05:00:00 AM,2013,March,9,Saturday,5,1,Bourke Street Mall (North),16
646627,616778,05/11/2013 04:00:00 AM,2013,May,11,Saturday,4,1,Bourke Street Mall (North),20
911176,703157,11/02/2013 05:00:00 AM,2013,November,2,Saturday,5,1,Bourke Street Mall (North),14
896138,688128,10/12/2013 05:00:00 AM,2013,October,12,Saturday,5,1,Bourke Street Mall (North),18
886986,678977,09/28/2013 05:00:00 AM,2013,September,28,Saturday,5,1,Bourke Street Mall (North),15
790887,817143,04/06/2014 02:00:00 AM,2014,April,6,Sunday,2,1,Bourke Street Mall (North),21
881410,907595,08/03/2014 06:00:00 AM,2014,August,3,Sunday,6,1,Bourke Street Mall (North),14
759267,785567,02/22/2014 04:00:00 AM,2014,February,22,Saturday,4,1,Bourke Street Mall (North),14
721761,748095,01/04/2014 05:00:00 AM,2014,January,4,Saturday,5,1,Bourke Street Mall (North),15
875575,901775,07/26/2014 04:00:00 AM,2014,July,26,Saturday,4,1,Bourke Street Mall (North),14
837626,863847,06/07/2014 05:00:00 AM,2014,June,7,Saturday,5,1,Bourke Street Mall (North),15
775574,801850,03/16/2014 05:00:00 AM,2014,March,16,Sunday,5,1,Bourke Street Mall (North),19
811218,837461,05/03/2014 05:00:00 AM,2014,May,3,Saturday,5,1,Bourke Street Mall (North),16
958316,983699,11/09/2014 05:00:00 AM,2014,November,9,Sunday,5,1,Bourke Street Mall (North),11
1168843,960986,10/11/2014 04:00:00 AM,2014,October,11,Saturday,4,1,Bourke Street Mall (North),13
1147016,939159,09/13/2014 05:00:00 AM,2014,September,13,Saturday,5,1,Bourke Street Mall (North),12
1078078,1103461,04/04/2015 04:00:00 AM,2015,April,4,Saturday,4,1,Bourke Street Mall (North),28
1242933,1215996,08/02/2015 05:00:00 AM,2015,August,2,Sunday,5,1,Bourke Street Mall (North),27
1368517,1341580,12/12/2015 05:00:00 AM,2015,December,12,Saturday,5,1,Bourke Street Mall (North),19
1047202,1072585,02/28/2015 05:00:00 AM,2015,February,28,Saturday,5,1,Bourke Street Mall (North),20
1228854,1201917,07/18/2015 04:00:00 AM,2015,July,18,Saturday,4,1,Bourke Street Mall (North),14
1188271,1161334,06/06/2015 05:00:00 AM,2015,June,6,Saturday,5,1,Bourke Street Mall (North),21
1072863,1098246,03/29/2015 05:00:00 AM,2015,March,29,Sunday,5,1,Bourke Street Mall (North),25
1408167,1148019,05/23/2015 06:00:00 AM,2015,May,23,Saturday,6,1,Bourke Street Mall (North),2
1348160,1321223,11/21/2015 05:00:00 AM,2015,November,21,Saturday,5,1,Bourke Street Mall (North),12
1321659,1294722,10/24/2015 05:00:00 AM,2015,October,24,Saturday,5,1,Bourke Street Mall (North),18
1289376,1262439,09/20/2015 05:00:00 AM,2015,September,20,Sunday,5,1,Bourke Street Mall (North),28
1519238,1480904,04/30/2016 05:00:00 AM,2016,April,30,Saturday,5,1,Bourke Street Mall (North),22
1618646,1580312,08/06/2016 05:00:00 AM,2016,August,6,Saturday,5,1,Bourke Street Mall (North),33
1874382,1721026,12/31/2016 04:00:00 AM,2016,December,31,Saturday,4,1,Bourke Street Mall (North),24
1449197,1410909,02/20/2016 03:00:00 AM,2016,February,20,Saturday,3,1,Bourke Street Mall (North),6
1388816,1361879,01/02/2016 05:00:00 AM,2016,January,2,Saturday,5,1,Bourke Street Mall (North),3
1590470,1552136,07/09/2016 05:00:00 AM,2016,July,9,Saturday,5,1,Bourke Street Mall (North),20
1569398,1531064,06/18/2016 05:00:00 AM,2016,June,18,Saturday,5,1,Bourke Street Mall (North),27
1477434,1439146,03/19/2016 05:00:00 AM,2016,March,19,Saturday,5,1,Bourke Street Mall (North),22
1527379,1489045,05/08/2016 05:00:00 AM,2016,May,8,Sunday,5,1,Bourke Street Mall (North),23
1821669,1668313,11/05/2016 05:00:00 AM,2016,November,5,Saturday,5,1,Bourke Street Mall (North),16
1809405,1656049,10/23/2016 05:00:00 AM,2016,October,23,Sunday,5,1,Bourke Street Mall (North),25
1646366,1608032,09/04/2016 05:00:00 AM,2016,September,4,Sunday,5,1,Bourke Street Mall (North),25
1725257,1804969,04/02/2017 05:00:00 AM,2017,April,2,Sunday,5,1,Bourke Street Mall (North),16
1974278,1934104,08/19/2017 05:00:00 AM,2017,August,19,Saturday,5,1,Bourke Street Mall (North),16
2093856,2053682,12/09/2017 05:00:00 AM,2017,December,9,Saturday,5,1,Bourke Street Mall (North),22
1679164,1758927,02/11/2017 05:00:00 AM,2017,February,11,Saturday,5,1,Bourke Street Mall (North),17
1660105,1739868,01/21/2017 01:00:00 AM,2017,January,21,Saturday,1,1,Bourke Street Mall (North),0
1926972,1886798,07/01/2017 04:00:00 AM,2017,July,1,Saturday,4,1,Bourke Street Mall (North),18
1915645,1875471,06/18/2017 05:00:00 AM,2017,June,18,Sunday,5,1,Bourke Street Mall (North),11
1717991,1797754,03/25/2017 06:00:00 AM,2017,March,25,Saturday,6,1,Bourke Street Mall (North),24
1889322,1849148,05/20/2017 05:00:00 AM,2017,May,20,Saturday,5,1,Bourke Street Mall (North),14
2072361,2032187,11/19/2017 09:00:00 PM,2017,November,19,Sunday,21,1,Bourke Street Mall (North),3
2032209,1992035,10/14/2017 05:00:00 AM,2017,October,14,Saturday,5,1,Bourke Street Mall (North),17
2017200,1977026,09/30/2017 05:00:00 AM,2017,September,30,Saturday,5,1,Bourke Street Mall (North),17
2330200,2191152,04/08/2018 10:00:00 PM,2018,April,8,Sunday,22,1,Bourke Street Mall (North),1
2363275,2327445,08/04/2018 05:00:00 AM,2018,August,4,Saturday,5,1,Bourke Street Mall (North),32
2543690,2507860,12/30/2018 05:00:00 AM,2018,December,30,Sunday,5,1,Bourke Street Mall (North),27
2257074,2118026,02/04/2018 05:00:00 AM,2018,February,4,Sunday,5,1,Bourke Street Mall (North),18
2225840,2086792,01/07/2018 05:00:00 AM,2018,January,7,Sunday,5,1,Bourke Street Mall (North),22
2216169,2310541,07/21/2018 06:00:00 AM,2018,July,21,Saturday,6,1,Bourke Street Mall (North),24
2158783,2253170,06/02/2018 05:00:00 AM,2018,June,2,Saturday,5,1,Bourke Street Mall (North),13
2313186,2174138,03/25/2018 05:00:00 AM,2018,March,25,Sunday,5,1,Bourke Street Mall (North),29
2126959,2221346,05/05/2018 08:00:00 AM,2018,May,5,Saturday,8,1,Bourke Street Mall (North),11
2483286,2447456,11/10/2018 04:00:00 AM,2018,November,10,Saturday,4,1,Bourke Street Mall (North),13
2441980,2406150,10/07/2018 02:00:00 AM,2018,October,7,Sunday,2,1,Bourke Street Mall (North),0
2432226,2396396,09/29/2018 05:00:00 AM,2018,September,29,Saturday,5,1,Bourke Street Mall (North),23
2688896,2648721,04/27/2019 04:00:00 AM,2019,April,27,Saturday,4,1,Bourke Street Mall (North),20
2861913,2781377,08/10/2019 05:00:00 AM,2019,August,10,Saturday,5,1,Bourke Street Mall (North),20
2836021,2961748,12/28/2019 05:00:00 AM,2019,December,28,Saturday,5,1,Bourke Street Mall (North),15
2589303,2549128,02/03/2019 05:00:00 AM,2019,February,3,Sunday,5,1,Bourke Street Mall (North),29
2559030,2523200,01/12/2019 05:00:00 AM,2019,January,12,Saturday,5,1,Bourke Street Mall (North),23
2785263,2745088,07/13/2019 05:00:00 AM,2019,July,13,Saturday,5,1,Bourke Street Mall (North),15
2749959,2709784,06/15/2019 05:00:00 AM,2019,June,15,Saturday,5,1,Bourke Street Mall (North),11
2621227,2581052,03/02/2019 04:00:00 AM,2019,March,2,Saturday,4,1,Bourke Street Mall (North),21
2707615,2667440,05/12/2019 05:00:00 AM,2019,May,12,Sunday,5,1,Bourke Street Mall (North),22
9693,2897307,11/09/2019 05:00:00 AM,2019,November,9,Saturday,5,1,Bourke Street Mall (North),18
2933505,2853173,10/06/2019 02:00:00 AM,2019,October,6,Sunday,2,1,Bourke Street Mall (North),0
2923884,2843478,09/28/2019 05:00:00 AM,2019,September,28,Saturday,5,1,Bourke Street Mall (North),29
3095624,3095625,04/04/2020 03:00:00 AM,2020,April,4,Saturday,3,1,Bourke Street Mall (North),0
3037713,3037714,02/22/2020 05:00:00 AM,2020,February,22,Saturday,5,1,Bourke Street Mall (North),27
2971156,2971156,01/04/2020 05:00:00 AM,2020,January,4,Saturday,5,1,Bourke Street Mall (North),14
3241969,3241963,07/18/2020 03:00:00 AM,2020,July,18,Saturday,3,1,Bourke Street Mall (North),0
3194795,3194796,06/14/2020 04:00:00 AM,2020,June,14,Sunday,4,1,Bourke Street Mall (North),4
3086078,3086079,03/28/2020 05:00:00 AM,2020,March,28,Saturday,5,1,Bourke Street Mall (North),2
