DATE,TOTALDEMAND
2020/10/07,241919.81
2020/10/08,224249.36000000004
2020/10/09,224496.73999999996
2020/10/10,193915.82
2020/10/11,188395.66
2020/10/12,208467.87000000002
2020/10/13,218340.38999999996
2020/10/14,213676.45
2020/10/15,222253.44999999998
2020/10/16,213899.73
2020/10/17,194278.91999999998
2020/10/18,196235.44000000003
2020/10/19,226242.51000000004
2020/10/20,223784.94000000006
2020/10/21,218101.76
2020/10/22,211079.89000000004
2020/10/23,202061.72000000003
2020/10/24,197682.90999999997
2020/10/25,190985.77999999997
2020/10/26,205433.45999999993
2020/10/27,214204.62
2020/10/28,212613.34000000003
2020/10/29,217505.62000000002
2020/10/30,204876.42999999996
2020/10/31,195302.99
2020/11/01,176777.06
2020/11/02,203720.83000000005
2020/11/03,191493.18999999994
2020/11/04,219311.86
2020/11/05,212525.65000000008
2020/11/06,221590.93999999997
2020/11/07,192216.21000000002
2020/11/08,179931.78999999998
2020/11/09,214158.42
2020/11/10,230342.5
2020/11/11,236183.36999999997
2020/11/12,215675.56
2020/11/13,214795.70000000004
2020/11/14,195189.54999999993
2020/11/15,196961.55000000008
2020/11/16,207584.33000000002
2020/11/17,210933.14999999997
2020/11/18,221418.67999999993
2020/11/19,248570.57999999996
2020/11/20,219599.55999999997
2020/11/21,212774.93999999994
2020/11/22,217661.15999999997
2020/11/23,223300.56000000003
2020/11/24,218032.19999999995
2020/11/25,235409.55
2020/11/26,223120.71999999997
2020/11/27,251297.53999999998
2020/11/28,224941.52000000002
2020/11/29,187915.28999999998
2020/11/30,219106.90999999997
2020/12/01,222369.92999999993
2020/12/02,207668.47
2020/12/03,217353.24000000002
2020/12/04,214329.04000000004
2020/12/05,203278.57999999996
2020/12/06,181467.69000000006
2020/12/07,206221.79999999993
2020/12/08,222253.81999999995
2020/12/09,214610.75000000003
2020/12/10,199030.80999999994
2020/12/11,200758.22000000006
2020/12/12,195325.72000000006
2020/12/13,204918.87999999995
2020/12/14,264757.58
2020/12/15,266564.48
2020/12/16,233817.61999999997
2020/12/17,242505.02000000002
2020/12/18,209995.69000000003
2020/12/19,198592.49999999997
2020/12/20,184705.93999999997
2020/12/21,224220.41000000003
2020/12/22,216905.61999999997
2020/12/23,206741.79000000004
2020/12/24,189565.80000000002
2020/12/25,164062.42000000004
2020/12/26,177961.79
2020/12/27,192275.12
2020/12/28,171584.17999999993
2020/12/29,181074.7500000001
2020/12/30,187464.67
2020/12/31,189802.39999999997
2021/01/01,185853.36999999994
2021/01/02,197990.12999999995
2021/01/03,188742.96000000002
2021/01/04,199281.06999999998
2021/01/05,207680.91
2021/01/06,201497.23999999996
2021/01/07,201345.89999999997
2021/01/08,207526.4
2021/01/09,212630.42000000004
2021/01/10,230588.61
2021/01/11,290620.37999999995
2021/01/12,229073.48999999996
2021/01/13,243099.82000000007
2021/01/14,220878.87000000008
2021/01/15,206068.69000000003
2021/01/16,190966.38999999998
2021/01/17,178847.37999999998
2021/01/18,203849.71000000002
2021/01/19,201213.38
2021/01/20,211303.19000000003
2021/01/21,247918.40999999997
2021/01/22,241317.86999999997
2021/01/23,226074.10000000006
2021/01/24,264148.18
2021/01/25,293732.58999999997
2021/01/26,212396.03
2021/01/27,204864.77000000005
2021/01/28,231448.69999999998
2021/01/29,238632.71000000005
2021/01/30,197416.29
2021/01/31,184446.80999999994
2021/02/01,219822.16000000003
2021/02/02,212275.34
2021/02/03,212199.88999999996
2021/02/04,237720.74000000005
2021/02/05,240981.76
2021/02/06,191699.16999999995
2021/02/07,183730.61000000004
2021/02/08,208404.23000000004
2021/02/09,213669.33000000002
2021/02/10,249240.89
2021/02/11,269727.83999999997
2021/02/12,228596.01000000004
2021/02/13,194536.31999999998
2021/02/14,186121.4
2021/02/15,213690.9200000001
2021/02/16,245034.07000000004
2021/02/17,258602.83999999994
2021/02/18,265832.2
2021/02/19,274839.29
2021/02/20,243157.41
2021/02/21,212049.70999999993
2021/02/22,211145.05000000002
2021/02/23,209751.54000000004
2021/02/24,217154.22000000003
2021/02/25,214912.68999999994
2021/02/26,215613.99999999997
2021/02/27,206835.32000000007
2021/02/28,195102.17999999996
