,date,sensor_id,sensor_name,daily_count
0,2015-01-01,2,Bourke Street Mall (South),21217
33,2015-01-02,2,Bourke Street Mall (South),25256
67,2015-01-03,2,Bourke Street Mall (South),17648
100,2015-01-04,2,Bourke Street Mall (South),24428
133,2015-01-05,2,Bourke Street Mall (South),28503
166,2015-01-06,2,Bourke Street Mall (South),26448
199,2015-01-07,2,Bourke Street Mall (South),23106
232,2015-01-08,2,Bourke Street Mall (South),27205
265,2015-01-09,2,Bourke Street Mall (South),28918
298,2015-01-10,2,Bourke Street Mall (South),24261
331,2015-01-11,2,Bourke Street Mall (South),21071
364,2015-01-12,2,Bourke Street Mall (South),24396
397,2015-01-13,2,Bourke Street Mall (South),21766
430,2015-01-14,2,Bourke Street Mall (South),25869
462,2015-01-15,2,Bourke Street Mall (South),28067
494,2015-01-16,2,Bourke Street Mall (South),32024
526,2015-01-17,2,Bourke Street Mall (South),26435
557,2015-01-18,2,Bourke Street Mall (South),23566
588,2015-01-19,2,Bourke Street Mall (South),25873
620,2015-01-20,2,Bourke Street Mall (South),25999
654,2015-01-21,2,Bourke Street Mall (South),27584
689,2015-01-22,2,Bourke Street Mall (South),27413
724,2015-01-23,2,Bourke Street Mall (South),32745
759,2015-01-24,2,Bourke Street Mall (South),27260
794,2015-01-25,2,Bourke Street Mall (South),24231
829,2015-01-26,2,Bourke Street Mall (South),22348
864,2015-01-27,2,Bourke Street Mall (South),24234
899,2015-01-28,2,Bourke Street Mall (South),26228
934,2015-01-29,2,Bourke Street Mall (South),27276
969,2015-01-30,2,Bourke Street Mall (South),28958
1004,2015-01-31,2,Bourke Street Mall (South),24630
1039,2015-02-01,2,Bourke Street Mall (South),18748
1075,2015-02-02,2,Bourke Street Mall (South),22000
1111,2015-02-03,2,Bourke Street Mall (South),22063
1147,2015-02-04,2,Bourke Street Mall (South),22915
1183,2015-02-05,2,Bourke Street Mall (South),25352
1219,2015-02-06,2,Bourke Street Mall (South),27904
