,date,sensor_id,sensor_name,daily_count
15,2015-01-01,18,Collins Place (North),1711
48,2015-01-02,18,Collins Place (North),2925
81,2015-01-03,18,Collins Place (North),1306
114,2015-01-04,18,Collins Place (North),1547
147,2015-01-05,18,Collins Place (North),7781
180,2015-01-06,18,Collins Place (North),7892
213,2015-01-07,18,Collins Place (North),7389
246,2015-01-08,18,Collins Place (North),7861
279,2015-01-09,18,Collins Place (North),8073
312,2015-01-10,18,Collins Place (North),2059
345,2015-01-11,18,Collins Place (North),1642
378,2015-01-12,18,Collins Place (North),9708
411,2015-01-13,18,Collins Place (North),9859
444,2015-01-14,18,Collins Place (North),9564
476,2015-01-15,18,Collins Place (North),9749
508,2015-01-16,18,Collins Place (North),9744
539,2015-01-17,18,Collins Place (North),2211
570,2015-01-18,18,Collins Place (North),1555
601,2015-01-19,18,Collins Place (North),9852
634,2015-01-20,18,Collins Place (North),10524
668,2015-01-21,18,Collins Place (North),10478
703,2015-01-22,18,Collins Place (North),10667
738,2015-01-23,18,Collins Place (North),9786
773,2015-01-24,18,Collins Place (North),2229
808,2015-01-25,18,Collins Place (North),1697
843,2015-01-26,18,Collins Place (North),1798
878,2015-01-27,18,Collins Place (North),10528
913,2015-01-28,18,Collins Place (North),10750
948,2015-01-29,18,Collins Place (North),10503
983,2015-01-30,18,Collins Place (North),10339
1018,2015-01-31,18,Collins Place (North),2140
1053,2015-02-01,18,Collins Place (North),1396
1089,2015-02-02,18,Collins Place (North),10599
1125,2015-02-03,18,Collins Place (North),11052
1161,2015-02-04,18,Collins Place (North),10716
1197,2015-02-05,18,Collins Place (North),11278
1233,2015-02-06,18,Collins Place (North),10748
1269,2015-02-07,18,Collins Place (North),2293
1305,2015-02-08,18,Collins Place (North),1634
1341,2015-02-09,18,Collins Place (North),11096
1377,2015-02-10,18,Collins Place (North),11499
1413,2015-02-11,18,Collins Place (North),10904
1449,2015-02-12,18,Collins Place (North),11608
1485,2015-02-13,18,Collins Place (North),11378
1521,2015-02-14,18,Collins Place (North),2915
1557,2015-02-15,18,Collins Place (North),1900
1593,2015-02-16,18,Collins Place (North),10920
1630,2015-02-17,18,Collins Place (North),11591
1667,2015-02-18,18,Collins Place (North),11369
1704,2015-02-19,18,Collins Place (North),12016
1741,2015-02-20,18,Collins Place (North),11103
1778,2015-02-21,18,Collins Place (North),4089
1814,2015-02-22,18,Collins Place (North),3064
1850,2015-02-23,18,Collins Place (North),10521
1887,2015-02-24,18,Collins Place (North),11501
1924,2015-02-25,18,Collins Place (North),11338
