date, demand , RRP 
1/01/2015," 99,635.03 ", 25.63 
1/02/2015," 129,606.01 ", 33.14 
1/03/2015," 142,300.54 ", 34.56 
1/04/2015," 104,330.72 ", 25.01 
1/05/2015," 118,132.20 ", 26.72 
1/06/2015," 130,672.49 ", 31.28 
1/07/2015," 153,514.82 ", 48.31 
1/08/2015," 142,015.66 ", 49.12 
1/09/2015," 121,801.16 ", 34.49 
1/10/2015," 103,043.66 ", 20.23 
1/11/2015," 99,865.76 ", 18.23 
1/12/2015," 131,261.13 ", 33.69 
1/13/2015," 126,527.36 ", 27.54 
1/14/2015," 119,741.62 ", 29.02 
1/15/2015," 118,411.22 ", 30.94 
1/16/2015," 116,690.77 ", 23.02 
1/17/2015," 99,371.31 ", 18.99 
1/18/2015," 97,728.75 ", 17.01 
1/19/2015," 116,883.15 ", 26.93 
1/20/2015," 128,968.13 ", 23.08 
1/21/2015," 148,702.51 ", 34.44 
1/22/2015," 153,232.10 ", 35.23 
1/23/2015," 138,095.20 ", 40.60 
1/24/2015," 116,310.59 ", 20.92 
1/25/2015," 97,959.46 ", 16.54 
1/26/2015," 103,769.48 ", 16.94 
1/27/2015," 118,393.31 ", 21.21 
1/28/2015," 116,763.73 ", 17.02 
1/29/2015," 119,313.73 ", 19.62 
1/30/2015," 121,018.15 ", 21.03 
1/31/2015," 103,822.97 ", 16.54 
2/01/2015," 100,178.84 ", 14.58 
2/02/2015," 118,694.16 ", 22.27 
2/03/2015," 122,880.13 ", 27.00 
2/04/2015," 117,398.03 ", 27.81 
2/05/2015," 122,279.43 ", 31.38 
2/06/2015," 141,837.01 ", 38.84 
2/07/2015," 132,138.37 ", 28.76 
2/08/2015," 112,108.22 ", 23.97 
2/09/2015," 126,813.08 ", 28.91 
2/10/2015," 145,948.57 ", 37.52 
2/11/2015," 149,322.85 ", 32.66 
2/12/2015," 131,376.78 ", 26.58 
2/13/2015," 136,070.62 ", 18.74 
2/14/2015," 119,692.03 ", 20.24 
2/15/2015," 125,287.71 ", 24.58 
2/16/2015," 131,832.63 ", 31.95 
2/17/2015," 127,666.01 ", 30.25 
2/18/2015," 125,972.77 ", 30.24 
2/19/2015," 139,399.69 ", 33.60 
2/20/2015," 139,465.68 ", 33.54 
2/21/2015," 136,283.03 ", 31.25 
2/22/2015," 138,016.35 ", 32.41 
2/23/2015," 135,255.82 ", 28.42 
2/24/2015," 120,263.52 ", 26.56 
2/25/2015," 130,062.76 ", 33.32 
2/26/2015," 131,525.86 ", 39.09 
2/27/2015," 131,069.40 ", 36.34 
2/28/2015," 116,275.73 ", 25.14 
3/01/2015," 103,462.78 ", 24.59 
3/02/2015," 123,301.84 ", 33.17 
3/03/2015," 126,750.29 ", 43.74 
3/04/2015," 120,764.19 ", 37.25 
3/05/2015," 114,967.35 ", 25.32 
3/06/2015," 117,053.75 ", 27.75 
3/07/2015," 108,344.58 ", 22.11 
3/08/2015," 106,348.78 ", 20.57 
3/09/2015," 108,282.48 ", 23.81 
3/10/2015," 125,828.53 ", 31.76 
3/11/2015," 124,418.42 ", 33.60 
3/12/2015," 121,683.65 ", 26.04 
3/13/2015," 120,929.82 ", 24.20 
3/14/2015," 108,738.82 ", 17.39 
3/15/2015," 100,170.30 ", 14.37 
3/16/2015," 123,787.08 ", 22.66 
3/17/2015," 125,600.86 ", 21.39 
3/18/2015," 127,975.82 ", 24.44 
3/19/2015," 128,319.45 ", 24.57 
3/20/2015," 119,491.32 ", 24.07 
3/21/2015," 106,754.80 ", 20.47 
3/22/2015," 106,555.03 ", 18.92 
3/23/2015," 122,810.05 ", 26.69 
3/24/2015," 123,234.94 ", 34.06 
3/25/2015," 122,268.86 ", 28.55 
3/26/2015," 121,998.20 ", 21.97 
3/27/2015," 122,346.34 ", 25.77 
3/28/2015," 112,187.72 ", 29.27 
3/29/2015," 106,418.67 ", 24.67 
3/30/2015," 123,061.87 ", 33.75 
3/31/2015," 125,795.33 ", 31.84 
4/01/2015," 122,042.27 ", 26.17 
4/02/2015," 113,838.41 ", 23.46 
4/03/2015," 98,891.06 ", 20.94 
4/04/2015," 103,999.17 ", 23.19 
4/05/2015," 103,685.45 ", 20.51 
4/06/2015," 107,383.37 ", 17.05 
4/07/2015," 120,235.51 ", 21.36 
4/08/2015," 122,129.78 ", 25.21 
4/09/2015," 123,990.76 ", 25.21 
4/10/2015," 121,753.12 ", 25.68 
4/11/2015," 110,034.17 ", 23.06 
4/12/2015," 103,760.23 ", 22.05 
4/13/2015," 125,107.78 ", 29.41 
4/14/2015," 127,793.38 ", 31.00 
4/15/2015," 126,673.94 ", 31.09 
4/16/2015," 126,937.94 ", 40.68 
4/17/2015," 131,031.42 ", 33.99 
4/18/2015," 109,763.99 ", 26.14 
4/19/2015," 107,160.54 ", 24.54 
4/20/2015," 126,696.19 ", 33.68 
4/21/2015," 127,973.59 ", 30.47 
4/22/2015," 128,598.50 ", 36.70 
4/23/2015," 126,483.81 ", 35.42 
4/24/2015," 126,230.79 ", 36.50 
4/25/2015," 111,803.63 ", 25.98 
4/26/2015," 108,217.82 ", 28.96 
4/27/2015," 127,855.22 ", 48.67 
4/28/2015," 132,642.14 ", 46.27 
4/29/2015," 132,814.62 ", 39.83 
4/30/2015," 132,669.58 ", 39.09 
5/01/2015," 126,304.45 ", 47.47 
5/02/2015," 108,487.98 ", 25.85 
5/03/2015," 109,233.34 ", 30.63 
5/04/2015," 122,375.47 ", 28.80 
5/05/2015," 123,734.87 ", 27.38 
5/06/2015," 129,121.86 ", 26.02 
5/07/2015," 131,237.19 ", 29.08 
5/08/2015," 131,138.73 ", 29.08 
5/09/2015," 108,377.05 ", 19.60 
5/10/2015," 103,811.28 ", 13.28 
5/11/2015," 123,740.25 ", 28.48 
5/12/2015," 129,312.58 ", 28.36 
5/13/2015," 136,903.27 ", 33.60 
5/14/2015," 135,217.65 ", 36.08 
5/15/2015," 135,172.41 ", 32.89 
5/16/2015," 117,136.63 ", 35.12 
5/17/2015," 111,897.09 ", 30.55 
5/18/2015," 127,524.80 ", 39.33 
5/19/2015," 133,235.48 ", 34.04 
5/20/2015," 127,522.71 ", 30.98 
5/21/2015," 135,361.20 ", 35.62 
5/22/2015," 133,422.46 ", 34.61 
5/23/2015," 119,331.85 ", 31.23 
5/24/2015," 118,783.09 ", 31.49 
5/25/2015," 136,690.92 ", 51.61 
5/26/2015," 140,887.00 ", 46.40 
5/27/2015," 133,103.37 ", 29.88 
5/28/2015," 127,900.24 ", 26.10 
5/29/2015," 132,338.94 ", 29.80 
5/30/2015," 114,669.79 ", 19.05 
5/31/2015," 113,261.26 ", 18.57 
6/01/2015," 140,920.00 ", 36.93 
6/02/2015," 148,534.51 ", 59.86 
6/03/2015," 146,902.95 ", 50.56 
6/04/2015," 147,155.27 ", 33.05 
6/05/2015," 142,625.04 ", 37.97 
6/06/2015," 120,128.30 ", 30.18 
6/07/2015," 109,609.69 ", 23.38 
6/08/2015," 110,715.82 ", 24.36 
6/09/2015," 132,854.14 ", 36.71 
6/10/2015," 144,125.53 ", 39.77 
6/11/2015," 143,465.45 ", 37.48 
6/12/2015," 145,005.62 ", 37.54 
6/13/2015," 123,754.55 ", 29.87 
6/14/2015," 119,125.62 ", 31.60 
6/15/2015," 136,054.15 ", 36.01 
6/16/2015," 139,073.79 ", 36.94 
6/17/2015," 134,290.46 ", 39.28 
6/18/2015," 137,073.78 ", 37.46 
6/19/2015," 139,781.25 ", 38.55 
6/20/2015," 129,576.36 ", 41.10 
6/21/2015," 124,910.57 ", 33.90 
6/22/2015," 140,431.36 ", 30.48 
6/23/2015," 133,171.40 ", 30.24 
6/24/2015," 135,407.57 ", 32.22 
6/25/2015," 137,379.23 ", 33.05 
6/26/2015," 135,562.08 ", 31.93 
6/27/2015," 124,587.43 ", 28.29 
6/28/2015," 119,277.48 ", 31.00 
6/29/2015," 139,468.16 ", 35.78 
6/30/2015," 143,170.06 ", 37.63 
7/01/2015," 138,931.00 ", 29.52 
7/02/2015," 138,972.43 ", 35.62 
7/03/2015," 145,713.81 ", 42.63 
7/04/2015," 130,073.27 ", 29.13 
7/05/2015," 117,312.93 ", 24.00 
7/06/2015," 143,176.34 ", 36.04 
7/07/2015," 143,984.39 ", 37.30 
7/08/2015," 141,696.30 ", 40.58 
7/09/2015," 141,994.38 ", 38.52 
7/10/2015," 136,884.10 ", 32.29 
7/11/2015," 123,971.71 ", 30.62 
7/12/2015," 124,790.70 ", 33.15 
7/13/2015," 138,680.34 ", 47.53 
7/14/2015," 150,671.11 ", 45.26 
7/15/2015," 151,270.54 ", 50.50 
7/16/2015," 144,797.98 ", 40.47 
7/17/2015," 142,965.48 ", 49.22 
7/18/2015," 130,187.45 ", 44.10 
7/19/2015," 131,141.36 ", 43.57 
7/20/2015," 146,154.37 ", 41.80 
7/21/2015," 138,931.81 ", 28.90 
7/22/2015," 138,418.84 ", 33.71 
7/23/2015," 142,316.30 ", 33.98 
7/24/2015," 136,837.16 ", 27.67 
7/25/2015," 121,021.43 ", 22.24 
7/26/2015," 120,396.74 ", 22.38 
7/27/2015," 142,470.43 ", 35.18 
7/28/2015," 144,008.37 ", 40.75 
7/29/2015," 142,637.76 ", 37.24 
7/30/2015," 143,544.11 ", 29.12 
7/31/2015," 139,584.96 ", 35.06 
8/01/2015," 125,032.57 ", 29.88 
8/02/2015," 117,638.07 ", 23.37 
8/03/2015," 141,451.73 ", 38.13 
8/04/2015," 147,550.19 ", 44.67 
8/05/2015," 142,325.99 ", 42.60 
8/06/2015," 143,642.36 ", 48.95 
8/07/2015," 143,060.33 ", 42.78 
8/08/2015," 125,830.54 ", 39.12 
8/09/2015," 120,008.46 ", 29.44 
8/10/2015," 130,978.10 ", 30.09 
8/11/2015," 135,616.13 ", 31.94 
8/12/2015," 138,900.50 ", 37.34 
8/13/2015," 140,905.85 ", 36.73 
8/14/2015," 137,838.93 ", 35.44 
8/15/2015," 122,088.76 ", 34.09 
8/16/2015," 116,648.77 ", 25.32 
8/17/2015," 137,008.71 ", 31.79 
8/18/2015," 148,093.96 ", 45.29 
8/19/2015," 144,024.66 ", 39.24 
8/20/2015," 131,575.79 ", 30.55 
8/21/2015," 126,570.47 ", 38.89 
8/22/2015," 112,275.15 ", 32.24 
8/23/2015," 111,793.02 ", 29.44 
8/24/2015," 128,868.26 ", 26.61 
8/25/2015," 135,051.55 ", 28.80 
8/26/2015," 135,914.68 ", 37.13 
8/27/2015," 141,159.77 ", 41.61 
8/28/2015," 134,755.51 ", 38.18 
8/29/2015," 124,448.50 ", 35.47 
8/30/2015," 116,744.22 ", 42.41 
8/31/2015," 137,724.90 ", 50.27 
9/01/2015," 134,116.77 ", 50.15 
9/02/2015," 132,794.72 ", 49.04 
9/03/2015," 132,096.34 ", 45.55 
9/04/2015," 131,384.88 ", 65.74 
9/05/2015," 115,799.32 ", 57.18 
9/06/2015," 109,641.38 ", 40.58 
9/07/2015," 131,619.37 ", 38.53 
9/08/2015," 136,340.70 ", 41.71 
9/09/2015," 132,977.45 ", 48.13 
9/10/2015," 133,541.98 ", 48.92 
9/11/2015," 123,968.90 ", 36.09 
9/12/2015," 108,790.01 ", 37.65 
9/13/2015," 99,161.77 ", 30.36 
9/14/2015," 116,574.17 ", 32.35 
9/15/2015," 123,750.50 ", 34.51 
9/16/2015," 131,795.49 ", 38.97 
9/17/2015," 131,050.68 ", 40.64 
9/18/2015," 130,764.59 ", 40.63 
9/19/2015," 112,377.19 ", 47.83 
9/20/2015," 103,708.93 ", 32.86 
9/21/2015," 120,096.71 ", 44.96 
9/22/2015," 127,755.10 ", 99.48 
9/23/2015," 131,866.73 ", 49.77 
9/24/2015," 130,937.63 ", 54.98 
9/25/2015," 124,278.93 ", 51.08 
9/26/2015," 111,064.49 ", 48.79 
9/27/2015," 106,431.82 ", 43.93 
9/28/2015," 121,796.72 ", 42.03 
9/29/2015," 126,691.80 ", 37.64 
9/30/2015," 129,641.25 ", 41.98 
10/01/2015," 124,356.42 ", 34.81 
10/02/2015," 107,544.15 ", 38.31 
10/03/2015," 100,598.55 ", 30.78 
10/04/2015," 103,828.88 ", 36.56 
10/05/2015," 125,194.87 ", 38.97 
10/06/2015," 127,225.25 ", 36.24 
10/07/2015," 117,282.77 ", 31.60 
10/08/2015," 122,121.33 ", 36.14 
10/09/2015," 126,989.91 ", 41.42 
10/10/2015," 112,604.83 ", 34.80 
10/11/2015," 105,376.34 ", 29.90 
