date,dayofyear,dayofweek,month,year,predict_rainfall
2021-03-01,60,1,3,2021,1.672
2021-03-02,61,2,3,2021,0.184
2021-03-03,62,3,3,2021,0.016
2021-03-04,63,4,3,2021,1.024
2021-03-05,64,5,3,2021,1.464
2021-03-06,65,6,3,2021,1.192
2021-03-07,66,7,3,2021,1.1360000000000001
2021-03-08,67,1,3,2021,1.672
2021-03-09,68,2,3,2021,0.184
2021-03-10,69,3,3,2021,0.016
2021-03-11,70,4,3,2021,1.04
2021-03-12,71,5,3,2021,1.464
2021-03-13,72,6,3,2021,1.136
2021-03-14,73,7,3,2021,0.8639999999999999
2021-03-15,74,1,3,2021,1.672
2021-03-16,75,2,3,2021,0.184
2021-03-17,76,3,3,2021,0.016
2021-03-18,77,4,3,2021,1.0959999999999999
2021-03-19,78,5,3,2021,1.464
2021-03-20,79,6,3,2021,1.136
2021-03-21,80,7,3,2021,1.3679999999999999
2021-03-22,81,1,3,2021,1.672
2021-03-23,82,2,3,2021,0.184
2021-03-24,83,3,3,2021,0.016
2021-03-25,84,4,3,2021,1.096
2021-03-26,85,5,3,2021,1.464
2021-03-27,86,6,3,2021,1.136
2021-03-28,87,7,3,2021,1.368
2021-03-29,88,1,3,2021,1.672
2021-03-30,89,2,3,2021,0.184
2021-03-31,90,3,3,2021,0.016
2021-04-01,91,4,4,2021,0.23199999999999998
2021-04-02,92,5,4,2021,0.136
2021-04-03,93,6,4,2021,1.3119999999999998
2021-04-04,94,7,4,2021,1.296
2021-04-05,95,1,4,2021,2.8480000000000003
2021-04-06,96,2,4,2021,1.6159999999999999
2021-04-07,97,3,4,2021,1.7919999999999998
2021-04-08,98,4,4,2021,1.12
2021-04-09,99,5,4,2021,0.96
2021-04-10,100,6,4,2021,0.8719999999999999
2021-04-11,101,7,4,2021,1.3519999999999999
2021-04-12,102,1,4,2021,3.44
2021-04-13,103,2,4,2021,1.9759999999999998
2021-04-14,104,3,4,2021,1.248
2021-04-15,105,4,4,2021,0.7440000000000001
2021-04-16,106,5,4,2021,0.968
2021-04-17,107,6,4,2021,0.7440000000000001
2021-04-18,108,7,4,2021,1.176
2021-04-19,109,1,4,2021,2.1679999999999997
2021-04-20,110,2,4,2021,1.9760000000000002
2021-04-21,111,3,4,2021,1.896
2021-04-22,112,4,4,2021,1.1280000000000001
2021-04-23,113,5,4,2021,0.792
2021-04-24,114,6,4,2021,0.72
2021-04-25,115,7,4,2021,1.5519999999999998
2021-04-26,116,1,4,2021,2.112
2021-04-27,117,2,4,2021,1.96
2021-04-28,118,3,4,2021,1.896
2021-04-29,119,4,4,2021,1.08
2021-04-30,120,5,4,2021,0.8640000000000001
2021-05-01,121,6,5,2021,1.192
2021-05-02,122,7,5,2021,1.224
2021-05-03,123,1,5,2021,2.6719999999999997
2021-05-04,124,2,5,2021,2.152
2021-05-05,125,3,5,2021,1.944
2021-05-06,126,4,5,2021,1.56
2021-05-07,127,5,5,2021,1.2160000000000002
2021-05-08,128,6,5,2021,0.9200000000000002
2021-05-09,129,7,5,2021,1.2
2021-05-10,130,1,5,2021,1.992
2021-05-11,131,2,5,2021,2.04
2021-05-12,132,3,5,2021,1.3119999999999998
2021-05-13,133,4,5,2021,1.6640000000000001
2021-05-14,134,5,5,2021,1.04
2021-05-15,135,6,5,2021,0.968
2021-05-16,136,7,5,2021,1.12
2021-05-17,137,1,5,2021,1.7839999999999998
2021-05-18,138,2,5,2021,2.104
2021-05-19,139,3,5,2021,1.528
2021-05-20,140,4,5,2021,1.6480000000000001
2021-05-21,141,5,5,2021,1.4080000000000001
2021-05-22,142,6,5,2021,0.976
2021-05-23,143,7,5,2021,0.8
2021-05-24,144,1,5,2021,1.088
2021-05-25,145,2,5,2021,1.4880000000000002
2021-05-26,146,3,5,2021,2.2720000000000002
