,date,sensor_id,sensor_name,daily_count
7,2015-01-01,9,Southern Cross Station,2813
40,2015-01-02,9,Southern Cross Station,4648
74,2015-01-03,9,Southern Cross Station,1428
107,2015-01-04,9,Southern Cross Station,1347
140,2015-01-05,9,Southern Cross Station,11483
173,2015-01-06,9,Southern Cross Station,11513
206,2015-01-07,9,Southern Cross Station,11059
239,2015-01-08,9,Southern Cross Station,11577
272,2015-01-09,9,Southern Cross Station,11315
305,2015-01-10,9,Southern Cross Station,1703
338,2015-01-11,9,Southern Cross Station,1484
371,2015-01-12,9,Southern Cross Station,13499
404,2015-01-13,9,Southern Cross Station,13676
437,2015-01-14,9,Southern Cross Station,13583
469,2015-01-15,9,Southern Cross Station,13381
501,2015-01-16,9,Southern Cross Station,13490
532,2015-01-17,9,Southern Cross Station,2334
563,2015-01-18,9,Southern Cross Station,1477
594,2015-01-19,9,Southern Cross Station,14149
627,2015-01-20,9,Southern Cross Station,14837
661,2015-01-21,9,Southern Cross Station,14399
696,2015-01-22,9,Southern Cross Station,13918
731,2015-01-23,9,Southern Cross Station,12833
766,2015-01-24,9,Southern Cross Station,1717
801,2015-01-25,9,Southern Cross Station,1540
836,2015-01-26,9,Southern Cross Station,2940
871,2015-01-27,9,Southern Cross Station,13830
906,2015-01-28,9,Southern Cross Station,14143
941,2015-01-29,9,Southern Cross Station,14138
976,2015-01-30,9,Southern Cross Station,14578
1011,2015-01-31,9,Southern Cross Station,1640
1046,2015-02-01,9,Southern Cross Station,1266
1082,2015-02-02,9,Southern Cross Station,15153
1118,2015-02-03,9,Southern Cross Station,15660
1154,2015-02-04,9,Southern Cross Station,15002
1190,2015-02-05,9,Southern Cross Station,15152
1226,2015-02-06,9,Southern Cross Station,14852
1262,2015-02-07,9,Southern Cross Station,1917
1298,2015-02-08,9,Southern Cross Station,1418
1334,2015-02-09,9,Southern Cross Station,13914
1370,2015-02-10,9,Southern Cross Station,15663
1406,2015-02-11,9,Southern Cross Station,14705
1442,2015-02-12,9,Southern Cross Station,15579
1478,2015-02-13,9,Southern Cross Station,14981
1514,2015-02-14,9,Southern Cross Station,3820
1550,2015-02-15,9,Southern Cross Station,2344
1586,2015-02-16,9,Southern Cross Station,14975
1623,2015-02-17,9,Southern Cross Station,17148
1660,2015-02-18,9,Southern Cross Station,15204
1697,2015-02-19,9,Southern Cross Station,15894
1734,2015-02-20,9,Southern Cross Station,14716
1771,2015-02-21,9,Southern Cross Station,2186
1807,2015-02-22,9,Southern Cross Station,1374
1843,2015-02-23,9,Southern Cross Station,14143
1880,2015-02-24,9,Southern Cross Station,15652
1917,2015-02-25,9,Southern Cross Station,15598
1954,2015-02-26,9,Southern Cross Station,15879
1990,2015-02-27,9,Southern Cross Station,15393
2026,2015-02-28,9,Southern Cross Station,4363
2062,2015-03-01,9,Southern Cross Station,1677
2098,2015-03-02,9,Southern Cross Station,15621
2134,2015-03-03,9,Southern Cross Station,15993
2171,2015-03-04,9,Southern Cross Station,15667
2208,2015-03-05,9,Southern Cross Station,16154
2245,2015-03-06,9,Southern Cross Station,14842
2282,2015-03-07,9,Southern Cross Station,1856
2319,2015-03-08,9,Southern Cross Station,1987
2356,2015-03-09,9,Southern Cross Station,2256
2393,2015-03-10,9,Southern Cross Station,15102
2430,2015-03-11,9,Southern Cross Station,16250
2467,2015-03-12,9,Southern Cross Station,16448
2504,2015-03-13,9,Southern Cross Station,15866
2541,2015-03-14,9,Southern Cross Station,2678
2578,2015-03-15,9,Southern Cross Station,2117
2615,2015-03-16,9,Southern Cross Station,15714
2652,2015-03-17,9,Southern Cross Station,15642
2689,2015-03-18,9,Southern Cross Station,15566
2726,2015-03-19,9,Southern Cross Station,16080
2763,2015-03-20,9,Southern Cross Station,15465
2800,2015-03-21,9,Southern Cross Station,2141
2837,2015-03-22,9,Southern Cross Station,3713
2874,2015-03-23,9,Southern Cross Station,15031
