date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),CollinsPlaceNorth
2015-01-01,1,13.3,26.9,23.6,0.0,1711.0
2015-01-02,0,15.4,38.8,26.8,0.0,2925.0
2015-01-03,0,20.0,38.2,26.5,0.0,1306.0
2015-01-04,0,16.3,21.4,25.2,4.2,1547.0
2015-01-05,0,15.0,22.0,30.7,0.0,7781.0
2015-01-06,0,17.7,26.0,31.6,0.0,7892.0
2015-01-07,0,18.9,37.4,20.7,0.0,7389.0
2015-01-08,0,23.1,28.2,13.5,19.4,7861.0
2015-01-09,0,16.5,18.0,3.1,1.2,8073.0
2015-01-10,0,13.6,21.7,5.6,5.2,2059.0
2015-01-11,0,15.6,27.5,29.9,0.0,1642.0
2015-01-12,0,16.1,31.3,31.6,0.0,9708.0
2015-01-13,0,20.2,25.6,4.2,0.0,9859.0
2015-01-14,0,18.3,22.7,15.2,15.8,9564.0
2015-01-15,0,15.8,20.0,14.6,0.0,9749.0
2015-01-16,0,13.1,27.3,30.3,0.0,9744.0
2015-01-17,0,15.9,25.0,27.5,0.0,2211.0
2015-01-18,0,15.3,19.5,23.4,0.0,1555.0
2015-01-19,0,13.5,23.6,29.0,0.0,9852.0
2015-01-20,0,13.0,30.4,19.6,0.0,10524.0
2015-01-21,0,19.7,33.1,25.8,0.0,10478.0
2015-01-22,0,18.7,35.8,23.1,0.0,10667.0
2015-01-23,0,20.2,25.0,28.6,0.0,9786.0
2015-01-24,0,15.8,26.3,30.3,0.0,2229.0
2015-01-25,0,14.7,22.0,25.4,0.0,1697.0
2015-01-26,1,11.6,19.8,19.9,1.0,1798.0
2015-01-27,0,11.7,19.1,17.7,0.6,10528.0
2015-01-28,0,13.3,25.4,27.0,0.0,10750.0
2015-01-29,0,12.8,22.2,28.9,0.0,10503.0
2015-01-30,0,13.1,21.0,27.6,0.0,10339.0
2015-01-31,0,14.3,20.2,26.2,0.0,2140.0
2015-02-01,0,13.2,19.0,17.3,9.2,1396.0
2015-02-02,0,13.5,21.1,23.9,3.8,10599.0
2015-02-03,0,16.1,20.0,22.7,0.0,11052.0
2015-02-04,0,14.8,19.0,21.2,0.0,10716.0
2015-02-05,0,13.3,24.2,28.8,0.0,11278.0
2015-02-06,0,14.5,35.7,28.4,0.0,10748.0
2015-02-07,0,18.8,35.0,16.1,0.0,2293.0
2015-02-08,0,18.9,21.5,16.6,0.0,1634.0
2015-02-09,1,13.6,28.3,28.6,0.0,11096.0
2015-02-10,0,16.4,27.8,27.7,0.0,11499.0
2015-02-11,0,18.1,26.8,24.1,0.0,10904.0
2015-02-12,0,17.8,21.9,23.8,0.0,11608.0
2015-02-13,0,16.1,32.4,14.9,0.0,11378.0
2015-02-14,0,19.0,25.1,20.8,19.6,2915.0
2015-02-15,0,18.2,34.4,25.7,0.4,1900.0
2015-02-16,0,17.4,24.6,26.3,0.0,10920.0
2015-02-17,0,17.6,20.6,8.3,0.0,11591.0
2015-02-18,0,17.7,21.2,7.8,0.0,11369.0
2015-02-19,0,18.2,26.9,24.7,0.0,12016.0
2015-02-20,0,17.4,25.3,24.7,0.0,11103.0
2015-02-21,0,18.1,36.1,20.0,0.0,4089.0
2015-02-22,0,20.3,35.3,11.7,1.6,3064.0
2015-02-23,0,21.1,29.3,4.7,0.0,10521.0
2015-02-24,0,15.9,20.1,21.4,3.2,11501.0
2015-02-25,0,14.0,27.0,24.1,0.0,11338.0
2015-02-26,0,16.0,23.2,18.5,0.0,11499.0
2015-02-27,0,14.8,24.3,21.7,0.0,11151.0
2015-02-28,0,17.9,32.3,6.9,0.0,2413.0
2015-03-01,0,15.2,20.8,23.3,15.8,2151.0
2015-03-02,0,11.6,23.0,22.0,0.0,11004.0
2015-03-03,0,15.5,22.7,21.2,0.0,11604.0
2015-03-04,0,15.4,23.5,23.0,0.0,11359.0
2015-03-05,0,12.6,18.6,22.5,0.8,11330.0
2015-03-06,0,14.1,21.1,10.8,0.2,10776.0
2015-03-07,0,15.4,22.6,10.8,0.2,2614.0
2015-03-08,0,16.2,24.4,20.4,0.0,2253.0
2015-03-09,0,14.4,23.8,18.6,0.0,1997.0
2015-03-10,0,16.2,21.7,22.1,0.0,11190.0
2015-03-11,0,11.2,23.8,22.3,0.0,11217.0
2015-03-12,0,13.0,19.9,18.7,0.0,11355.0
2015-03-13,0,14.4,20.4,21.2,0.0,11064.0
2015-03-14,0,9.4,30.1,20.0,0.0,2557.0
2015-03-15,0,13.1,18.3,17.5,2.2,1811.0
2015-03-16,0,10.5,25.5,14.5,0.0,11017.0
2015-03-17,0,13.0,26.2,4.8,0.0,11289.0
2015-03-18,0,17.8,24.4,9.4,1.4,11142.0
2015-03-19,0,16.5,33.5,15.1,0.0,11620.0
2015-03-20,0,14.2,19.6,19.9,0.0,11250.0
2015-03-21,0,11.9,22.7,20.8,0.0,2552.0
2015-03-22,0,11.3,28.8,19.9,0.0,1989.0
2015-03-23,0,13.6,27.0,3.9,0.0,10732.0
