,date_new,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount
0,2015-01-01,13.3,26.9,23.6,0.0,2592.0,2813.0
1,2015-01-02,15.4,38.8,26.8,0.0,1848.0,4648.0
2,2015-01-03,20.0,38.2,26.5,0.0,1451.0,1428.0
3,2015-01-04,16.3,21.4,25.2,4.2,1047.0,1347.0
4,2015-01-05,15.0,22.0,30.7,0.0,3416.0,11483.0
5,2015-01-06,17.7,26.0,31.6,0.0,3566.0,11513.0
6,2015-01-07,18.9,37.4,20.7,0.0,3437.0,11059.0
7,2015-01-08,23.1,28.2,13.5,19.4,3433.0,11577.0
8,2015-01-09,16.5,18.0,3.1,1.2,3471.0,11315.0
9,2015-01-10,13.6,21.7,5.6,5.2,1270.0,1703.0
10,2015-01-11,15.6,27.5,29.9,0.0,1084.0,1484.0
11,2015-01-12,16.1,31.3,31.6,0.0,4070.0,13499.0
12,2015-01-13,20.2,25.6,4.2,0.0,4060.0,13676.0
13,2015-01-14,18.3,22.7,15.2,15.8,3801.0,13583.0
14,2015-01-15,15.8,20.0,14.6,0.0,4050.0,13381.0
15,2015-01-16,13.1,27.3,30.3,0.0,4482.0,13490.0
16,2015-01-17,15.9,25.0,27.5,0.0,1405.0,2334.0
17,2015-01-18,15.3,19.5,23.4,0.0,1052.0,1477.0
18,2015-01-19,13.5,23.6,29.0,0.0,4560.0,14149.0
19,2015-01-20,13.0,30.4,19.6,0.0,4494.0,14837.0
20,2015-01-21,19.7,33.1,25.8,0.0,4594.0,14399.0
21,2015-01-22,18.7,35.8,23.1,0.0,4544.0,13918.0
22,2015-01-23,20.2,25.0,28.6,0.0,4407.0,12833.0
23,2015-01-24,15.8,26.3,30.3,0.0,1677.0,1717.0
24,2015-01-25,14.7,22.0,25.4,0.0,1358.0,1540.0
25,2015-01-26,11.6,19.8,19.9,1.0,2506.0,2940.0
26,2015-01-27,11.7,19.1,17.7,0.6,4135.0,13830.0
27,2015-01-28,13.3,25.4,27.0,0.0,4737.0,14143.0
28,2015-01-29,12.8,22.2,28.9,0.0,4839.0,14138.0
29,2015-01-30,13.1,21.0,27.6,0.0,4734.0,14578.0
30,2015-01-31,14.3,20.2,26.2,0.0,1458.0,1640.0
31,2015-02-01,13.2,19.0,17.3,9.2,1029.0,1266.0
32,2015-02-02,13.5,21.1,23.9,3.8,4333.0,15153.0
33,2015-02-03,16.1,20.0,22.7,0.0,4665.0,15660.0
34,2015-02-04,14.8,19.0,21.2,0.0,4292.0,15002.0
35,2015-02-05,13.3,24.2,28.8,0.0,4915.0,15152.0
36,2015-02-06,14.5,35.7,28.4,0.0,4718.0,14852.0
37,2015-02-07,18.8,35.0,16.1,0.0,1765.0,1917.0
38,2015-02-08,18.9,21.5,16.6,0.0,1081.0,1418.0
39,2015-02-09,13.6,28.3,28.6,0.0,4602.0,13914.0
40,2015-02-10,16.4,27.8,27.7,0.0,5061.0,15663.0
41,2015-02-11,18.1,26.8,24.1,0.0,4578.0,14705.0
42,2015-02-12,17.8,21.9,23.8,0.0,4692.0,15579.0
43,2015-02-13,16.1,32.4,14.9,0.0,4410.0,14981.0
44,2015-02-14,19.0,25.1,20.8,19.6,3356.0,3820.0
45,2015-02-15,18.2,34.4,25.7,0.4,2599.0,2344.0
46,2015-02-16,17.4,24.6,26.3,0.0,4014.0,14975.0
47,2015-02-17,17.6,20.6,8.3,0.0,4377.0,17148.0
48,2015-02-18,17.7,21.2,7.8,0.0,4281.0,15204.0
49,2015-02-19,18.2,26.9,24.7,0.0,5578.0,15894.0
50,2015-02-20,17.4,25.3,24.7,0.0,4983.0,14716.0
51,2015-02-21,18.1,36.1,20.0,0.0,2065.0,2186.0
52,2015-02-22,20.3,35.3,11.7,1.6,1166.0,1374.0
53,2015-02-23,21.1,29.3,4.7,0.0,3978.0,14143.0
54,2015-02-24,15.9,20.1,21.4,3.2,4590.0,15652.0
55,2015-02-25,14.0,27.0,24.1,0.0,5955.0,15598.0
56,2015-02-26,16.0,23.2,18.5,0.0,4915.0,15879.0
57,2015-02-27,14.8,24.3,21.7,0.0,5419.0,15393.0
58,2015-02-28,17.9,32.3,6.9,0.0,4160.0,4363.0
59,2015-03-01,15.2,20.8,23.3,15.8,1530.0,1677.0
60,2015-03-02,11.6,23.0,22.0,0.0,4799.0,15621.0
61,2015-03-03,15.5,22.7,21.2,0.0,4905.0,15993.0
62,2015-03-04,15.4,23.5,23.0,0.0,5023.0,15667.0
63,2015-03-05,12.6,18.6,22.5,0.8,5012.0,16154.0
64,2015-03-06,14.1,21.1,10.8,0.2,4348.0,14842.0
65,2015-03-07,15.4,22.6,10.8,0.2,1767.0,1856.0
66,2015-03-08,16.2,24.4,20.4,0.0,1431.0,1987.0
67,2015-03-09,14.4,23.8,18.6,0.0,1319.0,2256.0
68,2015-03-10,16.2,21.7,22.1,0.0,4682.0,15102.0
69,2015-03-11,11.2,23.8,22.3,0.0,4918.0,16250.0
70,2015-03-12,13.0,19.9,18.7,0.0,4716.0,16448.0
71,2015-03-13,14.4,20.4,21.2,0.0,4931.0,15866.0
72,2015-03-14,9.4,30.1,20.0,0.0,2122.0,2678.0
73,2015-03-15,13.1,18.3,17.5,2.2,1256.0,2117.0
74,2015-03-16,10.5,25.5,14.5,0.0,5061.0,15714.0
75,2015-03-17,13.0,26.2,4.8,0.0,5346.0,15642.0
76,2015-03-18,17.8,24.4,9.4,1.4,5179.0,15566.0
77,2015-03-19,16.5,33.5,15.1,0.0,5729.0,16080.0
78,2015-03-20,14.2,19.6,19.9,0.0,5273.0,15465.0
79,2015-03-21,11.9,22.7,20.8,0.0,2037.0,2141.0
80,2015-03-22,11.3,28.8,19.9,0.0,2051.0,3713.0
81,2015-03-23,13.6,27.0,3.9,0.0,4699.0,15031.0
82,2015-03-24,12.6,15.3,3.8,1.4,4950.0,16240.0
83,2015-03-25,13.0,20.4,13.8,0.4,5080.0,16353.0
84,2015-03-26,9.8,18.0,9.9,0.4,5431.0,16190.0
85,2015-03-27,11.6,18.1,11.2,0.2,5366.0,15278.0
86,2015-03-28,12.7,19.1,14.4,0.0,1614.0,1872.0
87,2015-03-29,8.5,22.7,18.6,0.0,1492.0,1595.0
88,2015-03-30,10.6,23.1,18.1,0.0,4793.0,15382.0
89,2015-03-31,11.2,25.3,18.1,0.0,5234.0,15263.0
90,2015-04-01,13.3,29.0,10.7,0.0,5102.0,15377.0
91,2015-04-02,12.8,17.2,17.5,0.2,4482.0,14262.0
92,2015-04-03,8.0,20.9,17.4,0.0,1351.0,1638.0
93,2015-04-04,8.5,23.5,16.2,0.0,1794.0,1775.0
94,2015-04-05,10.2,18.5,9.8,0.0,1617.0,1471.0
95,2015-04-06,11.2,18.4,13.0,0.0,949.0,1382.0
96,2015-04-07,12.4,17.3,3.9,0.0,3982.0,13306.0
97,2015-04-08,13.3,17.7,12.6,5.6,4441.0,14059.0
98,2015-04-09,8.7,19.1,10.9,0.0,4737.0,14311.0
99,2015-04-10,8.6,18.7,15.9,0.0,4745.0,13999.0
100,2015-04-11,11.6,23.7,14.9,0.0,2025.0,2318.0
101,2015-04-12,12.1,18.3,13.4,0.0,1482.0,1562.0
102,2015-04-13,7.3,19.1,14.9,0.0,4706.0,15161.0
103,2015-04-14,10.5,24.7,8.4,1.6,5021.0,15832.0
104,2015-04-15,13.9,27.6,12.8,2.4,4881.0,16324.0
105,2015-04-16,15.6,17.8,10.9,0.0,5054.0,15691.0
106,2015-04-17,10.1,17.1,7.5,0.0,5127.0,15591.0
107,2015-04-18,13.5,21.9,9.9,3.6,1846.0,2196.0
108,2015-04-19,9.7,14.7,11.0,6.4,1071.0,1293.0
109,2015-04-20,7.0,16.2,12.7,1.4,4732.0,15326.0
110,2015-04-21,6.5,17.7,13.8,0.0,4950.0,15588.0
111,2015-04-22,9.1,19.5,7.1,0.0,5092.0,15366.0
112,2015-04-23,12.2,19.2,7.5,0.0,4934.0,15654.0
113,2015-04-24,14.4,21.1,7.8,0.0,5128.0,15507.0
114,2015-04-25,11.6,15.0,3.5,3.0,1141.0,1696.0
115,2015-04-26,10.4,15.4,5.9,7.0,1195.0,1350.0
116,2015-04-27,10.5,15.1,8.3,4.0,4498.0,14454.0
117,2015-04-28,10.1,16.0,8.9,1.6,4793.0,15725.0
118,2015-04-29,7.4,17.1,12.6,0.0,5195.0,15583.0
119,2015-04-30,6.4,19.6,12.3,0.0,5131.0,15848.0
120,2015-05-01,7.9,23.1,12.1,0.0,5346.0,16273.0
121,2015-05-02,11.6,22.2,6.1,0.0,2225.0,2453.0
122,2015-05-03,9.7,18.2,11.2,0.0,1681.0,1731.0
123,2015-05-04,7.5,22.3,11.6,0.0,4756.0,15466.0
124,2015-05-05,9.2,18.1,7.1,0.6,5157.0,15613.0
125,2015-05-06,9.5,16.2,7.6,1.4,5105.0,15689.0
126,2015-05-07,10.3,15.6,6.9,2.2,5309.0,16217.0
127,2015-05-08,10.5,15.9,5.9,0.2,6292.0,16612.0
128,2015-05-09,12.8,18.7,7.3,0.0,2012.0,2151.0
129,2015-05-10,12.8,16.6,5.9,8.6,1290.0,1233.0
130,2015-05-11,12.4,15.9,7.9,2.6,4546.0,15665.0
131,2015-05-12,12.8,17.4,5.9,0.0,5127.0,16332.0
132,2015-05-13,6.3,12.8,8.7,6.8,4742.0,15928.0
133,2015-05-14,7.3,14.6,6.7,4.4,5135.0,16296.0
134,2015-05-15,11.5,14.5,6.2,1.8,6354.0,16817.0
135,2015-05-16,11.3,16.2,10.4,0.0,1779.0,2283.0
136,2015-05-17,7.4,20.5,10.3,0.0,1501.0,1622.0
137,2015-05-18,7.2,20.4,10.2,0.0,5033.0,15931.0
138,2015-05-19,9.9,16.2,3.2,0.0,5033.0,16358.0
139,2015-05-20,13.6,18.1,6.0,2.4,5318.0,16129.0
140,2015-05-21,10.3,13.6,3.5,6.2,5227.0,16267.0
141,2015-05-22,9.1,14.1,6.7,0.4,6224.0,16355.0
142,2015-05-23,10.4,13.3,7.7,0.0,2219.0,2420.0
143,2015-05-24,6.0,15.6,8.6,0.0,1628.0,1627.0
144,2015-05-25,7.4,17.1,8.1,0.0,5140.0,15563.0
145,2015-05-26,5.4,15.6,6.8,0.0,5521.0,16422.0
146,2015-05-27,7.9,18.7,7.4,0.0,5214.0,16195.0
147,2015-05-28,13.1,19.7,8.4,0.0,5610.0,16560.0
148,2015-05-29,9.5,15.8,6.6,0.0,5719.0,16228.0
149,2015-05-30,11.0,17.3,8.0,0.0,1822.0,2224.0
150,2015-05-31,12.3,16.8,4.9,0.0,1014.0,1094.0
151,2015-06-01,5.2,12.2,8.1,8.2,4790.0,15798.0
152,2015-06-02,7.1,11.4,4.6,4.2,5140.0,16327.0
153,2015-06-03,8.1,13.6,8.2,0.8,5243.0,16187.0
154,2015-06-04,4.4,11.3,5.5,0.0,5207.0,16021.0
155,2015-06-05,7.0,15.0,7.0,4.2,5371.0,15214.0
156,2015-06-06,9.2,16.6,6.4,0.2,2129.0,2313.0
157,2015-06-07,11.2,14.5,6.9,0.0,1687.0,1637.0
158,2015-06-08,11.1,18.5,8.2,0.0,1132.0,1530.0
159,2015-06-09,10.3,13.5,8.6,4.0,5097.0,15457.0
160,2015-06-10,7.5,13.4,7.1,0.0,5089.0,16182.0
161,2015-06-11,5.7,14.0,8.3,1.332207488,5387.0,16552.0
