date,Year,Month,day of week,Rainfall_amount_(millimetres)
1/01/2015,2015,Jan,Thursday,0
2/01/2015,2015,Jan,Friday,0
3/01/2015,2015,Jan,Saturday,0
4/01/2015,2015,Jan,Sunday,4.2
5/01/2015,2015,Jan,Monday,0
6/01/2015,2015,Jan,Tuesday,0
7/01/2015,2015,Jan,Wednesday,0
8/01/2015,2015,Jan,Thursday,19.4
9/01/2015,2015,Jan,Friday,1.2
10/01/2015,2015,Jan,Saturday,5.2
11/01/2015,2015,Jan,Sunday,0
12/01/2015,2015,Jan,Monday,0
13/01/2015,2015,Jan,Tuesday,0
14/01/2015,2015,Jan,Wednesday,15.8
15/01/2015,2015,Jan,Thursday,0
16/01/2015,2015,Jan,Friday,0
17/01/2015,2015,Jan,Saturday,0
18/01/2015,2015,Jan,Sunday,0
19/01/2015,2015,Jan,Monday,0
20/01/2015,2015,Jan,Tuesday,0
21/01/2015,2015,Jan,Wednesday,0
22/01/2015,2015,Jan,Thursday,0
23/01/2015,2015,Jan,Friday,0
24/01/2015,2015,Jan,Saturday,0
25/01/2015,2015,Jan,Sunday,0
26/01/2015,2015,Jan,Monday,1
27/01/2015,2015,Jan,Tuesday,0.6
28/01/2015,2015,Jan,Wednesday,0
29/01/2015,2015,Jan,Thursday,0
30/01/2015,2015,Jan,Friday,0
31/01/2015,2015,Jan,Saturday,0
1/02/2015,2015,Feb,Sunday,9.2
2/02/2015,2015,Feb,Monday,3.8
3/02/2015,2015,Feb,Tuesday,0
4/02/2015,2015,Feb,Wednesday,0
5/02/2015,2015,Feb,Thursday,0
6/02/2015,2015,Feb,Friday,0
7/02/2015,2015,Feb,Saturday,0
8/02/2015,2015,Feb,Sunday,0
9/02/2015,2015,Feb,Monday,0
10/02/2015,2015,Feb,Tuesday,0
11/02/2015,2015,Feb,Wednesday,0
12/02/2015,2015,Feb,Thursday,0
13/02/2015,2015,Feb,Friday,0
14/02/2015,2015,Feb,Saturday,19.6
15/02/2015,2015,Feb,Sunday,0.4
16/02/2015,2015,Feb,Monday,0
17/02/2015,2015,Feb,Tuesday,0
18/02/2015,2015,Feb,Wednesday,0
19/02/2015,2015,Feb,Thursday,0
20/02/2015,2015,Feb,Friday,0
21/02/2015,2015,Feb,Saturday,0
22/02/2015,2015,Feb,Sunday,1.6
23/02/2015,2015,Feb,Monday,0
24/02/2015,2015,Feb,Tuesday,3.2
25/02/2015,2015,Feb,Wednesday,0
26/02/2015,2015,Feb,Thursday,0
27/02/2015,2015,Feb,Friday,0
28/02/2015,2015,Feb,Saturday,0
1/03/2015,2015,Mar,Sunday,15.8
2/03/2015,2015,Mar,Monday,0
3/03/2015,2015,Mar,Tuesday,0
4/03/2015,2015,Mar,Wednesday,0
5/03/2015,2015,Mar,Thursday,0.8
6/03/2015,2015,Mar,Friday,0.2
7/03/2015,2015,Mar,Saturday,0.2
8/03/2015,2015,Mar,Sunday,0
9/03/2015,2015,Mar,Monday,0
10/03/2015,2015,Mar,Tuesday,0
11/03/2015,2015,Mar,Wednesday,0
12/03/2015,2015,Mar,Thursday,0
13/03/2015,2015,Mar,Friday,0
14/03/2015,2015,Mar,Saturday,0
15/03/2015,2015,Mar,Sunday,2.2
16/03/2015,2015,Mar,Monday,0
17/03/2015,2015,Mar,Tuesday,0
18/03/2015,2015,Mar,Wednesday,1.4
19/03/2015,2015,Mar,Thursday,0
20/03/2015,2015,Mar,Friday,0
21/03/2015,2015,Mar,Saturday,0
22/03/2015,2015,Mar,Sunday,0
23/03/2015,2015,Mar,Monday,0
24/03/2015,2015,Mar,Tuesday,1.4
25/03/2015,2015,Mar,Wednesday,0.4
26/03/2015,2015,Mar,Thursday,0.4
27/03/2015,2015,Mar,Friday,0.2
28/03/2015,2015,Mar,Saturday,0
29/03/2015,2015,Mar,Sunday,0
30/03/2015,2015,Mar,Monday,0
31/03/2015,2015,Mar,Tuesday,0
1/04/2015,2015,Apr,Wednesday,0
2/04/2015,2015,Apr,Thursday,0.2
3/04/2015,2015,Apr,Friday,0
