,Bay_id,Status,Hour,Minutes,DayOfWeek,Date
0,1001,Unoccupied,0,0,Wednesday,2021-08-04
1,1002,Present,0,0,Wednesday,2021-08-04
2,1003,Present,0,0,Wednesday,2021-08-04
3,1004,Unoccupied,0,0,Wednesday,2021-08-04
4,1005,Present,0,0,Wednesday,2021-08-04
5,1001,Unoccupied,0,15,Wednesday,2021-08-04
6,1002,Present,0,15,Wednesday,2021-08-04
7,1003,Present,0,15,Wednesday,2021-08-04
8,1004,Present,0,15,Wednesday,2021-08-04
9,1005,Present,0,15,Wednesday,2021-08-04
10,1001,Unoccupied,0,30,Wednesday,2021-08-04
11,1002,Present,0,30,Wednesday,2021-08-04
12,1003,Unoccupied,0,30,Wednesday,2021-08-04
13,1004,Present,0,30,Wednesday,2021-08-04
14,1005,Unoccupied,0,30,Wednesday,2021-08-04
15,1001,Present,0,45,Wednesday,2021-08-04
16,1002,Unoccupied,0,45,Wednesday,2021-08-04
17,1003,Present,0,45,Wednesday,2021-08-04
18,1004,Unoccupied,0,45,Wednesday,2021-08-04
19,1005,Unoccupied,0,45,Wednesday,2021-08-04
20,1001,Unoccupied,1,0,Wednesday,2021-08-04
21,1002,Present,1,0,Wednesday,2021-08-04
22,1003,Present,1,0,Wednesday,2021-08-04
23,1004,Present,1,0,Wednesday,2021-08-04
24,1005,Unoccupied,1,0,Wednesday,2021-08-04
25,1001,Present,1,15,Wednesday,2021-08-04
26,1002,Present,1,15,Wednesday,2021-08-04
27,1003,Unoccupied,1,15,Wednesday,2021-08-04
28,1004,Present,1,15,Wednesday,2021-08-04
29,1005,Unoccupied,1,15,Wednesday,2021-08-04
30,1001,Unoccupied,1,30,Wednesday,2021-08-04
31,1002,Unoccupied,1,30,Wednesday,2021-08-04
32,1003,Unoccupied,1,30,Wednesday,2021-08-04
33,1004,Unoccupied,1,30,Wednesday,2021-08-04
34,1005,Unoccupied,1,30,Wednesday,2021-08-04
35,1001,Unoccupied,1,45,Wednesday,2021-08-04
36,1002,Present,1,45,Wednesday,2021-08-04
37,1003,Unoccupied,1,45,Wednesday,2021-08-04
38,1004,Present,1,45,Wednesday,2021-08-04
39,1005,Unoccupied,1,45,Wednesday,2021-08-04
40,1001,Present,2,0,Wednesday,2021-08-04
41,1002,Present,2,0,Wednesday,2021-08-04
42,1003,Unoccupied,2,0,Wednesday,2021-08-04
43,1004,Present,2,0,Wednesday,2021-08-04
44,1005,Unoccupied,2,0,Wednesday,2021-08-04
45,1001,Present,2,15,Wednesday,2021-08-04
46,1002,Unoccupied,2,15,Wednesday,2021-08-04
47,1003,Present,2,15,Wednesday,2021-08-04
48,1004,Present,2,15,Wednesday,2021-08-04
49,1005,Present,2,15,Wednesday,2021-08-04
50,1001,Present,2,30,Wednesday,2021-08-04
51,1002,Present,2,30,Wednesday,2021-08-04
52,1003,Unoccupied,2,30,Wednesday,2021-08-04
53,1004,Unoccupied,2,30,Wednesday,2021-08-04
54,1005,Unoccupied,2,30,Wednesday,2021-08-04
55,1001,Unoccupied,2,45,Wednesday,2021-08-04
56,1002,Present,2,45,Wednesday,2021-08-04
57,1003,Present,2,45,Wednesday,2021-08-04
58,1004,Present,2,45,Wednesday,2021-08-04
59,1005,Unoccupied,2,45,Wednesday,2021-08-04
60,1001,Unoccupied,3,0,Wednesday,2021-08-04
61,1002,Unoccupied,3,0,Wednesday,2021-08-04
62,1003,Unoccupied,3,0,Wednesday,2021-08-04
63,1004,Present,3,0,Wednesday,2021-08-04
64,1005,Present,3,0,Wednesday,2021-08-04
65,1001,Present,3,15,Wednesday,2021-08-04
66,1002,Unoccupied,3,15,Wednesday,2021-08-04
67,1003,Unoccupied,3,15,Wednesday,2021-08-04
68,1004,Present,3,15,Wednesday,2021-08-04
69,1005,Unoccupied,3,15,Wednesday,2021-08-04
70,1001,Present,3,30,Wednesday,2021-08-04
71,1002,Unoccupied,3,30,Wednesday,2021-08-04
72,1003,Unoccupied,3,30,Wednesday,2021-08-04
73,1004,Present,3,30,Wednesday,2021-08-04
74,1005,Unoccupied,3,30,Wednesday,2021-08-04
75,1001,Present,3,45,Wednesday,2021-08-04
76,1002,Present,3,45,Wednesday,2021-08-04
77,1003,Unoccupied,3,45,Wednesday,2021-08-04
78,1004,Unoccupied,3,45,Wednesday,2021-08-04
79,1005,Unoccupied,3,45,Wednesday,2021-08-04
80,1001,Present,4,0,Wednesday,2021-08-04
81,1002,Present,4,0,Wednesday,2021-08-04
82,1003,Unoccupied,4,0,Wednesday,2021-08-04
83,1004,Unoccupied,4,0,Wednesday,2021-08-04
84,1005,Unoccupied,4,0,Wednesday,2021-08-04
85,1001,Unoccupied,4,15,Wednesday,2021-08-04
86,1002,Present,4,15,Wednesday,2021-08-04
87,1003,Unoccupied,4,15,Wednesday,2021-08-04
88,1004,Unoccupied,4,15,Wednesday,2021-08-04
89,1005,Present,4,15,Wednesday,2021-08-04
90,1001,Unoccupied,4,30,Wednesday,2021-08-04
91,1002,Present,4,30,Wednesday,2021-08-04
92,1003,Unoccupied,4,30,Wednesday,2021-08-04
93,1004,Unoccupied,4,30,Wednesday,2021-08-04
94,1005,Present,4,30,Wednesday,2021-08-04
95,1001,Present,4,45,Wednesday,2021-08-04
96,1002,Present,4,45,Wednesday,2021-08-04
97,1003,Present,4,45,Wednesday,2021-08-04
98,1004,Unoccupied,4,45,Wednesday,2021-08-04
99,1005,Unoccupied,4,45,Wednesday,2021-08-04
100,1001,Unoccupied,5,0,Wednesday,2021-08-04
101,1002,Unoccupied,5,0,Wednesday,2021-08-04
102,1003,Unoccupied,5,0,Wednesday,2021-08-04
103,1004,Present,5,0,Wednesday,2021-08-04
104,1005,Present,5,0,Wednesday,2021-08-04
105,1001,Unoccupied,5,15,Wednesday,2021-08-04
106,1002,Unoccupied,5,15,Wednesday,2021-08-04
107,1003,Unoccupied,5,15,Wednesday,2021-08-04
108,1004,Unoccupied,5,15,Wednesday,2021-08-04
109,1005,Present,5,15,Wednesday,2021-08-04
110,1001,Unoccupied,5,30,Wednesday,2021-08-04
111,1002,Present,5,30,Wednesday,2021-08-04
112,1003,Unoccupied,5,30,Wednesday,2021-08-04
113,1004,Present,5,30,Wednesday,2021-08-04
114,1005,Unoccupied,5,30,Wednesday,2021-08-04
115,1001,Present,5,45,Wednesday,2021-08-04
116,1002,Unoccupied,5,45,Wednesday,2021-08-04
117,1003,Present,5,45,Wednesday,2021-08-04
118,1004,Present,5,45,Wednesday,2021-08-04
119,1005,Present,5,45,Wednesday,2021-08-04
120,1001,Unoccupied,6,0,Wednesday,2021-08-04
121,1002,Present,6,0,Wednesday,2021-08-04
122,1003,Unoccupied,6,0,Wednesday,2021-08-04
123,1004,Present,6,0,Wednesday,2021-08-04
124,1005,Unoccupied,6,0,Wednesday,2021-08-04
125,1001,Unoccupied,6,15,Wednesday,2021-08-04
126,1002,Unoccupied,6,15,Wednesday,2021-08-04
127,1003,Present,6,15,Wednesday,2021-08-04
128,1004,Present,6,15,Wednesday,2021-08-04
129,1005,Unoccupied,6,15,Wednesday,2021-08-04
130,1001,Present,6,30,Wednesday,2021-08-04
131,1002,Present,6,30,Wednesday,2021-08-04
132,1003,Unoccupied,6,30,Wednesday,2021-08-04
133,1004,Present,6,30,Wednesday,2021-08-04
134,1005,Unoccupied,6,30,Wednesday,2021-08-04
135,1001,Present,6,45,Wednesday,2021-08-04
136,1002,Unoccupied,6,45,Wednesday,2021-08-04
137,1003,Unoccupied,6,45,Wednesday,2021-08-04
138,1004,Present,6,45,Wednesday,2021-08-04
139,1005,Unoccupied,6,45,Wednesday,2021-08-04
140,1001,Unoccupied,7,0,Wednesday,2021-08-04
141,1002,Unoccupied,7,0,Wednesday,2021-08-04
142,1003,Present,7,0,Wednesday,2021-08-04
143,1004,Present,7,0,Wednesday,2021-08-04
144,1005,Unoccupied,7,0,Wednesday,2021-08-04
145,1001,Unoccupied,7,15,Wednesday,2021-08-04
146,1002,Unoccupied,7,15,Wednesday,2021-08-04
147,1003,Unoccupied,7,15,Wednesday,2021-08-04
148,1004,Unoccupied,7,15,Wednesday,2021-08-04
149,1005,Present,7,15,Wednesday,2021-08-04
150,1001,Unoccupied,7,30,Wednesday,2021-08-04
151,1002,Unoccupied,7,30,Wednesday,2021-08-04
152,1003,Unoccupied,7,30,Wednesday,2021-08-04
153,1004,Present,7,30,Wednesday,2021-08-04
154,1005,Present,7,30,Wednesday,2021-08-04
155,1001,Unoccupied,7,45,Wednesday,2021-08-04
156,1002,Unoccupied,7,45,Wednesday,2021-08-04
157,1003,Unoccupied,7,45,Wednesday,2021-08-04
158,1004,Present,7,45,Wednesday,2021-08-04
159,1005,Unoccupied,7,45,Wednesday,2021-08-04
160,1001,Unoccupied,8,0,Wednesday,2021-08-04
161,1002,Unoccupied,8,0,Wednesday,2021-08-04
162,1003,Unoccupied,8,0,Wednesday,2021-08-04
163,1004,Unoccupied,8,0,Wednesday,2021-08-04
164,1005,Present,8,0,Wednesday,2021-08-04
165,1001,Unoccupied,8,15,Wednesday,2021-08-04
166,1002,Unoccupied,8,15,Wednesday,2021-08-04
167,1003,Present,8,15,Wednesday,2021-08-04
168,1004,Unoccupied,8,15,Wednesday,2021-08-04
169,1005,Present,8,15,Wednesday,2021-08-04
170,1001,Unoccupied,8,30,Wednesday,2021-08-04
171,1002,Present,8,30,Wednesday,2021-08-04
172,1003,Unoccupied,8,30,Wednesday,2021-08-04
173,1004,Unoccupied,8,30,Wednesday,2021-08-04
174,1005,Unoccupied,8,30,Wednesday,2021-08-04
175,1001,Unoccupied,8,45,Wednesday,2021-08-04
176,1002,Unoccupied,8,45,Wednesday,2021-08-04
177,1003,Present,8,45,Wednesday,2021-08-04
178,1004,Present,8,45,Wednesday,2021-08-04
179,1005,Unoccupied,8,45,Wednesday,2021-08-04
180,1001,Unoccupied,9,0,Wednesday,2021-08-04
181,1002,Unoccupied,9,0,Wednesday,2021-08-04
182,1003,Present,9,0,Wednesday,2021-08-04
183,1004,Present,9,0,Wednesday,2021-08-04
184,1005,Present,9,0,Wednesday,2021-08-04
185,1001,Unoccupied,9,15,Wednesday,2021-08-04
186,1002,Unoccupied,9,15,Wednesday,2021-08-04
187,1003,Unoccupied,9,15,Wednesday,2021-08-04
188,1004,Unoccupied,9,15,Wednesday,2021-08-04
