the_geom,marker_id,meter_id,bay_id,last_edit,rd_seg_id,rd_seg_dsc
"MULTIPOLYGON (((144.954631022064 -37.814247302719, 144.954608556661 -37.81425379835, 144.954584583159 -37.814202001432, 144.954607078152 -37.814195462162, 144.954631022064 -37.814247302719)))",4497W,572B,9590,20201208140823,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954497006156 -37.813958128989, 144.954474329887 -37.813964776836, 144.954452248871 -37.813917471779, 144.954475001729 -37.81391088835, 144.954497006156 -37.813958128989)))",4457W,572B,9585,20201208140823,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.9544479082 -37.813852664095, 144.954425106139 -37.813859261084, 144.954401713433 -37.813808489843, 144.954424555592 -37.813801880037, 144.9544479082 -37.813852664095)))",4461W,572B,9583,20201208140822,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954607078152 -37.814195462162, 144.954584583159 -37.814202001432, 144.954559359728 -37.814147503605, 144.95458190052 -37.814140950716, 144.954607078152 -37.814195462162)))",4499W,572B,9589,20201208140823,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954556722923 -37.814086439265, 144.954534154565 -37.814093044839, 144.954528562915 -37.814080964784, 144.954509181432 -37.814039440808, 144.954531840765 -37.814032913418, 144.954556722923 -37.814086439265)))",4453W,572B,9587,20201208140823,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954475001729 -37.81391088835, 144.954452248871 -37.813917471779, 144.954427207811 -37.813863822393, 144.954425106139 -37.813859261084, 144.9544479082 -37.813852664095, 144.954475001729 -37.81391088835)))",4459W,572B,9584,20201208140822,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.95458190052 -37.814140950716, 144.954559359728 -37.814147503605, 144.954534154565 -37.814093044839, 144.954556722923 -37.814086439265, 144.95458190052 -37.814140950716)))",4451W,572B,9588,20201208140823,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954531840765 -37.814032913418, 144.954509181432 -37.814039440808, 144.954483961148 -37.813985408926, 144.954506654511 -37.813978841579, 144.954531840765 -37.814032913418)))",4455W,572B,9586,20201208140823,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954401205285 -37.813751096014, 144.954378320757 -37.813757718597, 144.954354923571 -37.813706947268, 144.954377856169 -37.813700311107, 144.954401205285 -37.813751096014)))",4465W,572A,9581,20201208140822,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.954424555592 -37.813801880037, 144.954401713433 -37.813808489843, 144.954378320757 -37.813757718597, 144.954401205285 -37.813751096014, 144.954424555592 -37.813801880037)))",4463W,572A,9582,20201208140822,20194,King Street between Lonsdale Street and Little Lonsdale Street
"MULTIPOLYGON (((144.96903403458 -37.815067690829, 144.96905445196 -37.815111557207, 144.969028882927 -37.815119047435, 144.969008465561 -37.815075181053, 144.96903403458 -37.815067690829)))",661W,517A,15873,20201208141521,20147,Russell Street between Flinders Lane and Collins Street
"MULTIPOLYGON (((144.969101700078 -37.815213064209, 144.969122117535 -37.815256930576, 144.969096548457 -37.815264420818, 144.969076091299 -37.815220469952, 144.969101700078 -37.815213064209)))",655W,517A,15876,20201208141521,20147,Russell Street between Flinders Lane and Collins Street
"MULTIPOLYGON (((144.965544680124 -37.810184304638, 144.965480680911 -37.8102030509, 144.965474513118 -37.810189765525, 144.965538525153 -37.810171048325, 144.965544680124 -37.810184304638)))",3410N,660A,9883,20201208140839,20038,Little Lonsdale Street between Russell Street and Swanston Street
"MULTIPOLYGON (((144.965412502069 -37.810223021702, 144.965348482457 -37.81024172248, 144.965342307157 -37.810228421649, 144.965406319257 -37.810209704523, 144.965412502069 -37.810223021702)))",3414N,660A,9885,20201208140839,20038,Little Lonsdale Street between Russell Street and Swanston Street
"MULTIPOLYGON (((144.969078095306 -37.815162352497, 144.969101700078 -37.815213064209, 144.969076091299 -37.815220469952, 144.969052487653 -37.815169759156, 144.969078095306 -37.815162352497)))",657W,517A,15875,20201208141521,20147,Russell Street between Flinders Lane and Collins Street
"MULTIPOLYGON (((144.965278456496 -37.810247091063, 144.965342303727 -37.81022842249, 144.965348482457 -37.81024172248, 144.96528463408 -37.810260391036, 144.965278456496 -37.810247091063)))",3416N,660A,17153,20201208141643,20038,Little Lonsdale Street between Russell Street and Swanston Street
"MULTIPOLYGON (((144.965612853493 -37.81016432375, 144.965544680124 -37.810184304638, 144.965538525153 -37.810171048325, 144.965606718946 -37.810151109248, 144.965612853493 -37.81016432375)))",3408N,660A,9882,20201208140839,20038,Little Lonsdale Street between Russell Street and Swanston Street
"MULTIPOLYGON (((144.96905445196 -37.815111557207, 144.969078095306 -37.815162352497, 144.969052487653 -37.815169759156, 144.969028882927 -37.815119047435, 144.96905445196 -37.815111557207)))",659W,517A,15874,20201208141521,20147,Russell Street between Flinders Lane and Collins Street
"MULTIPOLYGON (((144.965676783114 -37.810145586126, 144.965612853493 -37.81016432375, 144.965606718946 -37.810151109248, 144.965670727462 -37.810132393717, 144.965676783114 -37.810145586126)))",3406N,660A,15612,20201208141454,20038,Little Lonsdale Street between Russell Street and Swanston Street
"MULTIPOLYGON (((144.965480680911 -37.8102030509, 144.965412502069 -37.810223021702, 144.965406319257 -37.810209704523, 144.965474513118 -37.810189765525, 144.965480680911 -37.8102030509)))",3412N,660A,9884,20201208140839,20038,Little Lonsdale Street between Russell Street and Swanston Street
"MULTIPOLYGON (((144.962548974629 -37.788627571636, 144.962519241369 -37.788669404569, 144.962495611756 -37.788658237501, 144.962525173021 -37.788617044139, 144.962548974629 -37.788627571636)))",,,16496,20210617111221,22512,Princes Park Drive between Cemetery Road West and MacPherson Street
"MULTIPOLYGON (((144.958899987361 -37.790499049995, 144.958893497519 -37.790556284008, 144.958868633279 -37.790554409397, 144.958875122005 -37.790497175366, 144.958899987361 -37.790499049995)))",,,23917,20210311112023,22438,Royal Parade between Gatehouse Street and MacArthur Road
"MULTIPOLYGON (((144.973520644952 -37.800319419852, 144.973530067606 -37.800265003885, 144.973557916376 -37.800267767593, 144.973548570044 -37.800322508399, 144.973520644952 -37.800319419852)))",,,613,20201223122239,20604,Barrup Street between Owen Street and Murchison Street
"MULTIPOLYGON (((144.972148305841 -37.795009940917, 144.972047876978 -37.794999004238, 144.972051597164 -37.794977583275, 144.972152019188 -37.794988519833, 144.972148305841 -37.795009940917)))",,,13176,20210629124059,20573,Kay Street between Canning Street and Rathdowne Street
"MULTIPOLYGON (((144.957903693323 -37.798720413453, 144.957897226627 -37.798774226857, 144.957870110599 -37.798772076849, 144.957876578474 -37.798718262566, 144.957903693323 -37.798720413453)))",14002E,,23786,20210305154209,22514,Royal Parade between Grattan Street and Story Street
"MULTIPOLYGON (((144.959167153238 -37.788127225962, 144.959189748253 -37.788129003505, 144.959183150106 -37.788182804895, 144.959160555025 -37.788181029152, 144.959167153238 -37.788127225962)))",,,23878,20210623144303,22434,Royal Parade between MacArthur Road and Leonard Street
"MULTIPOLYGON (((144.959865043348 -37.782494666474, 144.959871567846 -37.782440857405, 144.959894162689 -37.782442620372, 144.959887638133 -37.782496432145, 144.959865043348 -37.782494666474)))",,,23898,20210623144303,22387,Royal Parade between Ievers Street and Walker Street
"MULTIPOLYGON (((144.963884126262 -37.782793861982, 144.963875581914 -37.782847108294, 144.963848977956 -37.782844418858, 144.963857414331 -37.782791176989, 144.963884126262 -37.782793861982)))",,,16528,20210629124059,22511,Garton Street between MacPherson Street and Bowen Crescent
"MULTIPOLYGON (((144.977787523999 -37.813813766105, 144.977778934459 -37.813865576903, 144.977752704066 -37.813862882486, 144.977761377423 -37.81381108124, 144.977787523999 -37.813813766105)))",11812E,,13821,20201208141114,21859,Lansdowne Street between Wellington Parade and St Andrews Place
