,Sensor Name,Date,Total Pedestrian Count (Day Sum)
0,sensor_name,2009-05-01,
1,231 Bourke St,2009-05-01,
2,Alfred Place,2009-05-01,
3,Australia on Collins,2009-05-01,22555.0
4,Birrarung Marr,2009-05-01,
5,Bourke St - Spencer St (North),2009-05-01,
6,Bourke St - Spencer St (South),2009-05-01,
7,Bourke St Bridge,2009-05-01,
8,Bourke St-Russell St (West),2009-05-01,
9,Bourke Street Mall (North),2009-05-01,36869.0
10,Bourke Street Mall (South),2009-05-01,27587.0
11,Chinatown-Lt Bourke St (South),2009-05-01,
12,Chinatown-Swanston St (North),2009-05-01,
13,City Square,2009-05-01,
14,Collins Place (North),2009-05-01,12437.0
15,Collins Place (South),2009-05-01,14863.0
16,Collins St (North),2009-05-01,
17,Elizabeth St-La Trobe St (East),2009-05-01,
18,Elizabeth St-Lonsdale St (South),2009-05-01,
19,Errol Street (East),2009-05-01,
20,Faraday St-Lygon St (West),2009-05-01,
21,Flagstaff Station,2009-05-01,23350.0
22,Flinders La - Swanston St (West) Temp,2009-05-01,
23,Flinders La-Swanston St (West),2009-05-01,
24,Flinders Ln -Degraves St (Crossing),2009-05-01,
25,Flinders Ln -Degraves St (North),2009-05-01,
26,Flinders Ln -Degraves St (South),2009-05-01,
27,Flinders St-Elizabeth St (East),2009-05-01,
28,Flinders St-Spark La,2009-05-01,
29,Flinders St-Spring St (West),2009-05-01,
30,Flinders St-Swanston St (West),2009-05-01,
31,Flinders Street Station Underpass,2009-05-01,29015.0
32,Flinders la - Swanston St (West) Temp,2009-05-01,
33,Grattan St-Swanston St (West),2009-05-01,
34,La Trobe St (North),2009-05-01,
35,Lincoln-Swanston (West),2009-05-01,
36,Lincoln-Swanston(West),2009-05-01,
37,Little Collins St-Swanston St (East),2009-05-01,
38,Lonsdale St (South),2009-05-01,
39,Lonsdale St - Elizabeth St (North),2009-05-01,
40,Lonsdale St-Spring St (West),2009-05-01,
41,Lygon St (East),2009-05-01,
42,Lygon St (West),2009-05-01,
43,Melbourne Central,2009-05-01,
44,Melbourne Central-Elizabeth St (East),2009-05-01,
45,Melbourne Convention Exhibition Centre,2009-05-01,
46,Monash Rd-Swanston St (West),2009-05-01,
47,New Quay,2009-05-01,7462.0
48,Pelham St (S),2009-05-01,
49,Pelham St (South),2009-05-01,
50,Princes Bridge,2009-05-01,25590.0
51,QV Market-Elizabeth St (West),2009-05-01,
52,QV Market-Peel St,2009-05-01,
53,QVM-Franklin St (North),2009-05-01,
54,QVM-Queen St (East),2009-05-01,
55,QVM-Therry St (South),2009-05-01,
56,Queen St (West),2009-05-01,
57,Royal Pde-Grattan St,2009-05-01,
58,Sandridge Bridge,2009-05-01,9396.0
59,Southbank,2009-05-01,
60,Southern Cross Station,2009-05-01,9243.0
61,Spencer St-Collins St (North),2009-05-01,
62,Spencer St-Collins St (South),2009-05-01,
63,St Kilda Rd-Alexandra Gardens,2009-05-01,
64,State Library,2009-05-01,23178.0
65,State Library-New,2009-05-01,
66,Swanston St - City Square,2009-05-01,
67,Swanston St - RMIT Building 14,2009-05-01,
68,Swanston St - RMIT Building 80,2009-05-01,
69,The Arts Centre,2009-05-01,
70,Tin Alley-Swanston St (West),2009-05-01,
71,Town Hall (West),2009-05-01,45185.0
72,Victoria Point,2009-05-01,7877.0
73,Waterfront City,2009-05-01,3864.0
74,Webb Bridge,2009-05-01,
75,Westwood Place,2009-05-01,
76,sensor_name,2009-05-02,
77,231 Bourke St,2009-05-02,
78,Alfred Place,2009-05-02,
79,Australia on Collins,2009-05-02,15110.0
80,Birrarung Marr,2009-05-02,
81,Bourke St - Spencer St (North),2009-05-02,
82,Bourke St - Spencer St (South),2009-05-02,
83,Bourke St Bridge,2009-05-02,
84,Bourke St-Russell St (West),2009-05-02,
85,Bourke Street Mall (North),2009-05-02,30003.0
86,Bourke Street Mall (South),2009-05-02,22090.0
87,Chinatown-Lt Bourke St (South),2009-05-02,
88,Chinatown-Swanston St (North),2009-05-02,
89,City Square,2009-05-02,
90,Collins Place (North),2009-05-02,2580.0
91,Collins Place (South),2009-05-02,4795.0
92,Collins St (North),2009-05-02,
93,Elizabeth St-La Trobe St (East),2009-05-02,
94,Elizabeth St-Lonsdale St (South),2009-05-02,
95,Errol Street (East),2009-05-02,
96,Faraday St-Lygon St (West),2009-05-02,
97,Flagstaff Station,2009-05-02,1286.0
98,Flinders La - Swanston St (West) Temp,2009-05-02,
99,Flinders La-Swanston St (West),2009-05-02,
100,Flinders Ln -Degraves St (Crossing),2009-05-02,
101,Flinders Ln -Degraves St (North),2009-05-02,
102,Flinders Ln -Degraves St (South),2009-05-02,
103,Flinders St-Elizabeth St (East),2009-05-02,
104,Flinders St-Spark La,2009-05-02,
105,Flinders St-Spring St (West),2009-05-02,
106,Flinders St-Swanston St (West),2009-05-02,
107,Flinders Street Station Underpass,2009-05-02,19645.0
108,Flinders la - Swanston St (West) Temp,2009-05-02,
109,Grattan St-Swanston St (West),2009-05-02,
110,La Trobe St (North),2009-05-02,
111,Lincoln-Swanston (West),2009-05-02,
112,Lincoln-Swanston(West),2009-05-02,
113,Little Collins St-Swanston St (East),2009-05-02,
114,Lonsdale St (South),2009-05-02,
115,Lonsdale St - Elizabeth St (North),2009-05-02,
116,Lonsdale St-Spring St (West),2009-05-02,
117,Lygon St (East),2009-05-02,
118,Lygon St (West),2009-05-02,
119,Melbourne Central,2009-05-02,
120,Melbourne Central-Elizabeth St (East),2009-05-02,
121,Melbourne Convention Exhibition Centre,2009-05-02,
122,Monash Rd-Swanston St (West),2009-05-02,
123,New Quay,2009-05-02,8808.0
124,Pelham St (S),2009-05-02,
125,Pelham St (South),2009-05-02,
126,Princes Bridge,2009-05-02,26182.0
127,QV Market-Elizabeth St (West),2009-05-02,
128,QV Market-Peel St,2009-05-02,
129,QVM-Franklin St (North),2009-05-02,
130,QVM-Queen St (East),2009-05-02,
131,QVM-Therry St (South),2009-05-02,
132,Queen St (West),2009-05-02,
133,Royal Pde-Grattan St,2009-05-02,
134,Sandridge Bridge,2009-05-02,7874.0
135,Southbank,2009-05-02,
136,Southern Cross Station,2009-05-02,1577.0
137,Spencer St-Collins St (North),2009-05-02,
138,Spencer St-Collins St (South),2009-05-02,
139,St Kilda Rd-Alexandra Gardens,2009-05-02,
140,State Library,2009-05-02,17875.0
141,State Library-New,2009-05-02,
142,Swanston St - City Square,2009-05-02,
143,Swanston St - RMIT Building 14,2009-05-02,
144,Swanston St - RMIT Building 80,2009-05-02,
145,The Arts Centre,2009-05-02,
146,Tin Alley-Swanston St (West),2009-05-02,
147,Town Hall (West),2009-05-02,38856.0
148,Victoria Point,2009-05-02,2293.0
149,Waterfront City,2009-05-02,5913.0
150,Webb Bridge,2009-05-02,
151,Westwood Place,2009-05-02,
152,sensor_name,2009-05-03,
153,231 Bourke St,2009-05-03,
154,Alfred Place,2009-05-03,
155,Australia on Collins,2009-05-03,10281.0
156,Birrarung Marr,2009-05-03,
157,Bourke St - Spencer St (North),2009-05-03,
158,Bourke St - Spencer St (South),2009-05-03,
159,Bourke St Bridge,2009-05-03,
160,Bourke St-Russell St (West),2009-05-03,
161,Bourke Street Mall (North),2009-05-03,22327.0
162,Bourke Street Mall (South),2009-05-03,16333.0
163,Chinatown-Lt Bourke St (South),2009-05-03,
164,Chinatown-Swanston St (North),2009-05-03,
165,City Square,2009-05-03,
166,Collins Place (North),2009-05-03,1732.0
167,Collins Place (South),2009-05-03,3208.0
168,Collins St (North),2009-05-03,
169,Elizabeth St-La Trobe St (East),2009-05-03,
170,Elizabeth St-Lonsdale St (South),2009-05-03,
171,Errol Street (East),2009-05-03,
172,Faraday St-Lygon St (West),2009-05-03,
173,Flagstaff Station,2009-05-03,819.0
174,Flinders La - Swanston St (West) Temp,2009-05-03,
175,Flinders La-Swanston St (West),2009-05-03,
176,Flinders Ln -Degraves St (Crossing),2009-05-03,
177,Flinders Ln -Degraves St (North),2009-05-03,
