,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
0,2015-01-01,4,1,Public Holiday,0.0,13.3,26.9,23.6,471563
1,2015-01-02,5,1,Not a public holiday,0.0,15.4,38.8,26.8,389048
2,2015-01-03,6,1,Not a public holiday,0.0,20.0,38.2,26.5,291761
3,2015-01-04,7,1,Not a public holiday,4.6,16.3,21.4,25.2,382364
4,2015-01-05,1,1,Not a public holiday,0.0,15.0,22.0,30.7,487220
5,2015-01-06,2,1,Not a public holiday,0.0,17.7,26.0,31.6,485340
6,2015-01-07,3,1,Not a public holiday,0.0,18.9,37.4,20.7,427142
7,2015-01-08,4,1,Not a public holiday,21.6,23.1,28.2,13.5,474146
8,2015-01-09,5,1,Not a public holiday,1.8,16.5,18.0,3.1,493430
9,2015-01-10,6,1,Not a public holiday,7.4,13.6,21.7,5.6,425481
10,2015-01-11,7,1,Not a public holiday,0.0,15.6,27.5,29.9,388144
11,2015-01-12,1,1,Not a public holiday,0.0,16.1,31.3,31.6,484633
12,2015-01-13,2,1,Not a public holiday,0.0,20.2,25.6,4.2,428901
13,2015-01-14,3,1,Not a public holiday,17.8,18.3,22.7,15.2,469651
14,2015-01-15,4,1,Not a public holiday,0.0,15.8,20.0,14.6,484780
15,2015-01-16,5,1,Not a public holiday,0.0,13.1,27.3,30.3,578750
16,2015-01-17,6,1,Not a public holiday,0.0,15.9,25.0,27.5,441219
17,2015-01-18,7,1,Not a public holiday,0.0,15.3,19.5,23.4,434167
18,2015-01-19,1,1,Not a public holiday,0.0,13.5,23.6,29.0,528505
19,2015-01-20,2,1,Not a public holiday,0.0,13.0,30.4,19.6,565802
20,2015-01-21,3,1,Not a public holiday,0.0,19.7,33.1,25.8,586215
21,2015-01-22,4,1,Not a public holiday,0.0,18.7,35.8,23.1,562570
22,2015-01-23,5,1,Not a public holiday,0.0,20.2,25.0,28.6,647374
23,2015-01-24,6,1,Not a public holiday,0.0,15.8,26.3,30.3,551271
24,2015-01-25,7,1,Not a public holiday,0.0,14.7,22.0,25.4,483016
25,2015-01-26,1,1,Public Holiday,3.0,11.6,19.8,19.9,583404
26,2015-01-27,2,1,Not a public holiday,0.6,11.7,19.1,17.7,506995
27,2015-01-28,3,1,Not a public holiday,0.0,13.3,25.4,27.0,554508
28,2015-01-29,4,1,Not a public holiday,0.0,12.8,22.2,28.9,549153
29,2015-01-30,5,1,Not a public holiday,0.0,13.1,21.0,27.6,611914
30,2015-01-31,6,1,Not a public holiday,0.0,14.3,20.2,26.2,454552
31,2015-02-01,7,2,Not a public holiday,11.8,13.2,19.0,17.3,359600
32,2015-02-02,1,2,Not a public holiday,2.6,13.5,21.1,23.9,497991
33,2015-02-03,2,2,Not a public holiday,0.0,16.1,20.0,22.7,519223
34,2015-02-04,3,2,Not a public holiday,0.0,14.8,19.0,21.2,531553
35,2015-02-05,4,2,Not a public holiday,0.0,13.3,24.2,28.8,553957
36,2015-02-06,5,2,Not a public holiday,0.0,14.5,35.7,28.4,598130
37,2015-02-07,6,2,Not a public holiday,0.0,18.8,35.0,16.1,456256
38,2015-02-08,7,2,Not a public holiday,0.0,18.9,21.5,16.6,393458
39,2015-02-09,1,2,Not a public holiday,0.0,13.6,28.3,28.6,516238
40,2015-02-10,2,2,Not a public holiday,0.0,16.4,27.8,27.7,533244
41,2015-02-11,3,2,Not a public holiday,0.0,18.1,26.8,24.1,518877
42,2015-02-12,4,2,Not a public holiday,0.0,17.8,21.9,23.8,566425
43,2015-02-13,5,2,Not a public holiday,0.0,16.1,32.4,14.9,577716
44,2015-02-14,6,2,Not a public holiday,20.8,19.0,25.1,20.8,601566
45,2015-02-15,7,2,Not a public holiday,0.4,18.2,34.4,25.7,458469
46,2015-02-16,1,2,Not a public holiday,0.0,17.4,24.6,26.3,522039
47,2015-02-17,2,2,Not a public holiday,0.0,17.6,20.6,8.3,554552
48,2015-02-18,3,2,Not a public holiday,0.0,17.7,21.2,7.8,629421
49,2015-02-19,4,2,Not a public holiday,0.0,18.2,26.9,24.7,641733
50,2015-02-20,5,2,Not a public holiday,0.0,17.4,25.3,24.7,696494
51,2015-02-21,6,2,Not a public holiday,0.0,18.1,36.1,20.0,711394
52,2015-02-22,7,2,Not a public holiday,2.2,20.3,35.3,11.7,703631
53,2015-02-23,1,2,Not a public holiday,0.0,21.1,29.3,4.7,546358
54,2015-02-24,2,2,Not a public holiday,3.6,15.9,20.1,21.4,614174
55,2015-02-25,3,2,Not a public holiday,0.0,14.0,27.0,24.1,639207
56,2015-02-26,4,2,Not a public holiday,0.0,16.0,23.2,18.5,631904
57,2015-02-27,5,2,Not a public holiday,0.0,14.8,24.3,21.7,698009
