,Date,Pedestrian_Count
0,2020-11-01,454264
1,2020-11-02,511068
2,2020-11-03,526702
3,2020-11-04,560514
4,2020-11-05,575543
5,2020-11-06,620547
6,2020-11-07,568009
7,2020-11-08,560304
8,2020-11-09,594607
9,2020-11-10,606144
10,2020-11-11,577280
11,2020-11-12,603925
12,2020-11-13,674580
13,2020-11-14,568899
14,2020-11-15,459714
15,2020-11-16,612778
16,2020-11-17,638628
17,2020-11-18,634350
18,2020-11-19,628563
19,2020-11-20,695658
20,2020-11-21,574173
21,2020-11-22,376168
22,2020-11-23,529428
23,2020-11-24,562311
24,2020-11-25,634350
25,2020-11-26,611201
26,2020-11-27,717793
27,2020-11-28,533067
28,2020-11-29,470929
29,2020-11-30,607164
30,2020-12-01,544145
31,2020-12-02,604313
32,2020-12-03,638010
33,2020-12-04,699128
34,2020-12-05,529588
35,2020-12-06,474881
36,2020-12-07,571666
37,2020-12-08,550304
38,2020-12-09,615422
39,2020-12-10,603827
40,2020-12-11,699128
41,2020-12-12,578914
42,2020-12-13,535460
43,2020-12-14,618533
44,2020-12-15,649957
45,2020-12-16,669239
46,2020-12-17,681577
47,2020-12-18,697524
48,2020-12-19,605530
49,2020-12-20,546498
50,2020-12-21,561844
51,2020-12-22,556818
52,2020-12-23,665138
53,2020-12-24,676891
54,2020-12-25,672882
55,2020-12-26,662026
56,2020-12-27,371121
57,2020-12-28,661993
58,2020-12-29,712458
59,2020-12-30,719227
60,2020-12-31,663005
61,2021-01-01,628496
62,2021-01-02,632300
63,2021-01-03,556052
64,2021-01-04,714053
65,2021-01-05,765829
66,2021-01-06,799484
67,2021-01-07,797803
68,2021-01-08,814602
69,2021-01-09,632300
70,2021-01-10,556052
71,2021-01-11,714053
72,2021-01-12,765829
73,2021-01-13,799484
74,2021-01-14,797803
75,2021-01-15,814602
76,2021-01-16,632300
77,2021-01-17,556052
78,2021-01-18,714053
79,2021-01-19,765829
80,2021-01-20,799484
81,2021-01-21,791994
82,2021-01-22,814602
83,2021-01-23,632300
84,2021-01-24,526312
85,2021-01-25,703868
86,2021-01-26,569691
87,2021-01-27,799484
88,2021-01-28,791994
89,2021-01-29,814602
90,2021-01-30,632300
91,2021-01-31,526312
92,2021-02-01,701019
93,2021-02-02,752795
94,2021-02-03,793675
95,2021-02-04,791994
96,2021-02-05,814602
97,2021-02-06,618784
98,2021-02-07,523766
99,2021-02-08,701019
100,2021-02-09,752795
101,2021-02-10,793675
102,2021-02-11,791994
103,2021-02-12,814602
104,2021-02-13,618784
105,2021-02-14,516505
106,2021-02-15,701019
107,2021-02-16,752795
108,2021-02-17,793675
109,2021-02-18,791994
110,2021-02-19,814602
111,2021-02-20,618784
112,2021-02-21,516505
113,2021-02-22,701019
114,2021-02-23,752795
115,2021-02-24,793675
116,2021-02-25,791994
117,2021-02-26,814602
118,2021-02-27,618784
119,2021-02-28,516505
120,2021-03-01,701019
121,2021-03-02,752795
122,2021-03-03,793675
123,2021-03-04,783750
124,2021-03-05,805226
125,2021-03-06,618784
126,2021-03-07,533573
127,2021-03-08,569691
128,2021-03-09,754174
129,2021-03-10,793675
130,2021-03-11,791994
131,2021-03-12,796983
132,2021-03-13,618784
133,2021-03-14,518165
134,2021-03-15,702399
135,2021-03-16,754174
136,2021-03-17,793675
137,2021-03-18,791994
138,2021-03-19,805226
139,2021-03-20,622498
140,2021-03-21,518165
141,2021-03-22,703868
142,2021-03-23,755644
143,2021-03-24,799484
144,2021-03-25,783750
145,2021-03-26,814602
146,2021-03-27,622498
147,2021-03-28,526312
148,2021-03-29,703868
149,2021-03-30,755644
150,2021-03-31,799484
