,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
231 Bourke St,18.545454545454547,15.545454545454545,11.681818181818182,10.636363636363637,10.181818181818182,10.272727272727273,13.227272727272727,21.90909090909091,36.81818181818182,64.68181818181819,115.5,183.8181818181818,244.04545454545453,313.0,335.8636363636364,415.3636363636364,389.40909090909093,197.3181818181818,133.4090909090909,85.72727272727273,65.27272727272727,49.04545454545455,38.04545454545455,25.09090909090909,"(-37.81333081, 144.96675572)",144.96675572,-37.81333081
Alfred Place,2.1818181818181817,1.9090909090909092,1.5,0.3181818181818182,0.6818181818181818,2.9545454545454546,18.545454545454547,8.545454545454545,13.454545454545455,23.0,48.0,47.22727272727273,37.13636363636363,52.13636363636363,49.22727272727273,37.09090909090909,44.72727272727273,34.81818181818182,26.0,15.681818181818182,21.0,14.272727272727273,12.272727272727273,2.5454545454545454,"(-37.81379749, 144.96995745)",144.96995745,-37.81379749
Birrarung Marr,7.0,5.2727272727272725,3.4545454545454546,4.863636363636363,4.454545454545454,5.590909090909091,20.363636363636363,56.5,127.95454545454545,184.5,235.9090909090909,288.8636363636364,297.6363636363636,361.40909090909093,339.95454545454544,266.8181818181818,230.54545454545453,159.0,77.54545454545455,41.13636363636363,32.31818181818182,21.227272727272727,11.5,11.045454545454545,"(-37.81862929, 144.97169395)",144.97169395,-37.81862929
Bourke St - Spencer St (North),27.272727272727273,23.318181818181817,16.181818181818183,14.590909090909092,12.727272727272727,15.636363636363637,36.09090909090909,44.45454545454545,60.5,85.4090909090909,139.9090909090909,162.1818181818182,188.13636363636363,208.5909090909091,224.5909090909091,224.45454545454547,200.63636363636363,179.27272727272728,145.0,103.4090909090909,80.81818181818181,69.4090909090909,54.63636363636363,38.18181818181818,"(-37.81686074, 144.95358075)",144.95358075,-37.81686074
Bourke St Bridge,7.863636363636363,3.3636363636363638,2.727272727272727,2.8636363636363638,1.5,2.6818181818181817,8.363636363636363,15.136363636363637,25.136363636363637,34.40909090909091,55.45454545454545,67.0,76.77272727272727,82.54545454545455,75.22727272727273,75.4090909090909,77.18181818181819,68.13636363636364,50.63636363636363,29.681818181818183,24.727272727272727,23.045454545454547,16.318181818181817,9.863636363636363,"(-37.8176735, 144.95025595)",144.95025595,-37.8176735
Bourke St-Russell St (West),47.81818181818182,35.57575757575757,22.833333333333336,17.787878787878785,12.56060606060606,19.030303030303028,23.66666666666667,22.772727272727277,38.83333333333334,68.12121212121211,147.16666666666663,237.3181818181818,328.69696969696975,377.21212121212125,365.96969696969694,370.74242424242425,371.7121212121212,340.16666666666663,275.01515151515156,206.31818181818178,151.18181818181813,112.39393939393939,76.8030303030303,55.378787878787875,"(-37.81244703, 144.96778757)",144.96778757,-37.81244703
Bourke Street Mall (North),25.454545454545453,14.954545454545455,11.272727272727273,9.727272727272727,8.590909090909092,10.090909090909092,16.818181818181817,31.272727272727273,86.27272727272727,177.3181818181818,374.3636363636364,638.4090909090909,877.8181818181819,1071.590909090909,1191.2272727272727,1199.090909090909,1056.6818181818182,718.7727272727273,341.54545454545456,212.5909090909091,101.9090909090909,64.27272727272727,50.40909090909091,35.22727272727273,"(-37.8134944, 144.96515324)",144.96515324,-37.813494399999996
Bourke Street Mall (South),12.954545454545455,13.545454545454545,8.272727272727273,8.409090909090908,7.954545454545454,8.227272727272727,13.227272727272727,21.545454545454547,45.18181818181818,121.18181818181819,258.5,433.8181818181818,580.5909090909091,700.2272727272727,736.3181818181819,757.0909090909091,584.9545454545455,328.6363636363636,148.5,89.0,56.77272727272727,34.18181818181818,26.545454545454547,20.40909090909091,"(-37.81380667, 144.96516719)",144.96516719,-37.81380667
Building 80 RMIT,0.0,0.0,0.0,0.0606060606060606,0.09090909090909091,0.0,2.1515151515151514,6.893939393939394,14.030303030303031,29.10606060606061,49.48484848484849,67.6969696969697,76.62121212121211,83.98484848484848,85.16666666666666,79.96969696969698,60.8939393939394,17.439393939393938,2.3030303030303028,0.5757575757575758,0.2727272727272727,0.045454545454545456,0.0,0.0606060606060606,"(-37.80825648, 144.96304859)",144.96304859,-37.80825648
Chinatown-Lt Bourke St (South),9.590909090909092,8.090909090909092,4.590909090909091,3.727272727272727,2.3636363636363638,1.8636363636363635,4.7272727272727275,7.363636363636363,12.045454545454545,26.454545454545453,50.77272727272727,85.36363636363636,125.68181818181819,150.72727272727272,140.86363636363637,163.13636363636363,149.8181818181818,112.27272727272727,105.0,81.72727272727273,71.36363636363636,47.18181818181818,29.363636363636363,17.90909090909091,"(-37.81172913, 144.9682466)",144.96824660000001,-37.81172913
