,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
231 Bourke St,5.7727272727272725,3.8636363636363638,3.272727272727273,3.772727272727273,3.3636363636363638,10.363636363636363,14.636363636363637,49.95454545454545,59.13636363636363,74.86363636363636,88.04545454545455,108.45454545454545,139.63636363636363,138.1818181818182,118.04545454545455,115.36363636363636,117.0,104.72727272727273,78.04545454545455,47.09090909090909,23.818181818181817,16.09090909090909,16.636363636363637,6.681818181818182,"(-37.81333081, 144.96675572)",144.96675572,-37.81333081
Alfred Place,0.4090909090909091,0.5454545454545454,0.3181818181818182,0.5909090909090909,0.7272727272727273,2.772727272727273,9.772727272727273,14.863636363636363,26.772727272727273,28.136363636363637,27.954545454545453,23.318181818181817,43.72727272727273,35.04545454545455,32.72727272727273,25.045454545454547,18.636363636363637,15.318181818181818,8.454545454545455,6.7272727272727275,2.772727272727273,1.0909090909090908,1.5,1.4090909090909092,"(-37.81379749, 144.96995745)",144.96995745,-37.81379749
Birrarung Marr,2.0,2.909090909090909,4.136363636363637,4.181818181818182,3.4545454545454546,17.954545454545453,53.59090909090909,117.86363636363636,116.68181818181819,110.0909090909091,113.04545454545455,103.18181818181819,118.5,122.95454545454545,116.0909090909091,131.9090909090909,177.04545454545453,212.0,140.22727272727272,47.72727272727273,7.954545454545454,6.045454545454546,2.4545454545454546,5.136363636363637,"(-37.81862929, 144.97169395)",144.97169395,-37.81862929
Bourke St - Spencer St (North),8.818181818181818,4.0,6.954545454545454,4.136363636363637,7.0,34.13636363636363,77.13636363636364,118.13636363636364,152.36363636363637,117.18181818181819,109.95454545454545,117.0,146.77272727272728,160.27272727272728,167.8181818181818,170.54545454545453,204.3181818181818,218.72727272727272,142.04545454545453,86.36363636363636,35.09090909090909,41.59090909090909,33.68181818181818,13.545454545454545,"(-37.81686074, 144.95358075)",144.95358075,-37.81686074
Bourke St Bridge,1.1363636363636365,1.0,0.9545454545454546,1.4090909090909092,1.5454545454545454,10.545454545454545,29.136363636363637,46.59090909090909,46.09090909090909,37.72727272727273,50.31818181818182,54.04545454545455,60.09090909090909,64.95454545454545,58.90909090909091,66.63636363636364,68.22727272727273,79.54545454545455,57.0,31.636363636363637,9.318181818181818,5.863636363636363,5.2727272727272725,2.0454545454545454,"(-37.8176735, 144.95025595)",144.95025595,-37.8176735
Bourke St-Russell St (West),121.56060606060606,103.7424242424242,60.28787878787878,53.96969696969697,36.166666666666664,39.71212121212121,39.196969696969695,66.74242424242424,112.71212121212123,127.98484848484848,175.31818181818178,234.72727272727272,387.77272727272725,405.71212121212125,323.0151515151515,316.2121212121212,343.92424242424244,385.1515151515152,346.93939393939394,282.8939393939393,226.63636363636363,192.04545454545453,172.46969696969697,124.34848484848486,"(-37.81244703, 144.96778757)",144.96778757,-37.81244703
Bourke Street Mall (North),6.545454545454546,2.8181818181818183,2.227272727272727,2.1363636363636362,2.590909090909091,9.590909090909092,37.95454545454545,56.36363636363637,86.72727272727273,96.27272727272727,126.9090909090909,169.3181818181818,213.5,233.63636363636363,242.72727272727272,248.63636363636363,263.8181818181818,227.4090909090909,121.45454545454545,80.0909090909091,23.227272727272727,20.954545454545453,15.0,8.909090909090908,"(-37.8134944, 144.96515324)",144.96515324,-37.813494399999996
Bourke Street Mall (South),18.59090909090909,20.227272727272727,5.454545454545454,8.272727272727273,4.7272727272727275,7.545454545454546,14.136363636363637,41.5,63.77272727272727,83.36363636363636,125.77272727272727,160.9090909090909,196.63636363636363,208.72727272727272,197.63636363636363,191.22727272727272,191.36363636363637,136.36363636363637,74.68181818181819,44.72727272727273,20.59090909090909,20.59090909090909,10.227272727272727,8.181818181818182,"(-37.81380667, 144.96516719)",144.96516719,-37.81380667
Building 80 RMIT,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,9.727272727272727,19.90909090909091,23.227272727272727,29.272727272727273,37.22727272727273,45.04545454545455,55.36363636363637,51.18181818181818,51.45454545454545,49.09090909090909,29.318181818181817,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,"(-37.80825648, 144.96304859)",144.96304859,-37.80825648
Chinatown-Lt Bourke St (South),2.727272727272727,1.4545454545454546,1.1818181818181819,0.7727272727272727,1.1363636363636365,4.090909090909091,12.0,15.681818181818182,25.136363636363637,28.045454545454547,42.22727272727273,54.95454545454545,60.68181818181818,65.0909090909091,63.63636363636363,66.86363636363636,52.04545454545455,55.59090909090909,45.63636363636363,34.77272727272727,13.5,10.863636363636363,4.954545454545454,3.9545454545454546,"(-37.81172913, 144.9682466)",144.96824660000001,-37.81172913
Chinatown-Swanston St (North),9.272727272727273,5.590909090909091,4.181818181818182,3.5454545454545454,3.1363636363636362,6.954545454545454,7.136363636363637,14.909090909090908,32.31818181818182,40.86363636363637,54.31818181818182,89.77272727272727,124.04545454545455,136.54545454545453,126.9090909090909,130.5,137.6818181818182,132.5909090909091,127.4090909090909,93.0909090909091,43.72727272727273,30.772727272727273,22.772727272727273,17.045454545454547,"(-37.81237202, 144.96550671)",144.96550671,-37.81237202
Collins Place (North),0.6818181818181818,0.45454545454545453,0.2727272727272727,0.22727272727272727,0.6818181818181818,3.590909090909091,13.590909090909092,31.59090909090909,41.36363636363637,36.13636363636363,32.95454545454545,37.27272727272727,42.86363636363637,44.54545454545455,41.18181818181818,41.63636363636363,47.22727272727273,39.13636363636363,21.454545454545453,10.454545454545455,3.9545454545454546,2.0454545454545454,3.5454545454545454,0.8181818181818182,"(-37.81344861, 144.97305354)",144.97305354,-37.81344861
Collins Place (South),1.0,0.7272727272727273,0.8181818181818182,1.0454545454545454,2.272727272727273,23.272727272727273,68.31818181818181,101.54545454545455,138.63636363636363,134.36363636363637,130.3181818181818,140.27272727272728,166.27272727272728,153.86363636363637,129.1818181818182,114.63636363636364,104.68181818181819,113.0909090909091,61.54545454545455,30.818181818181817,17.045454545454547,13.0,10.454545454545455,3.1363636363636362,"(-37.81362542, 144.97323592)",144.97323592,-37.81362542
Collins Street (North),5.090909090909091,1.7272727272727273,3.0,8.272727272727273,2.909090909090909,15.5,27.227272727272727,62.77272727272727,114.27272727272727,128.72727272727272,154.0,162.22727272727272,193.13636363636363,203.27272727272728,195.13636363636363,177.8181818181818,139.27272727272728,116.18181818181819,77.0,40.45454545454545,15.863636363636363,11.090909090909092,11.409090909090908,6.7727272727272725,"(-37.8156419, 144.965499)",144.965499,-37.8156419
Elizabeth St-La Trobe St (East),20.59090909090909,15.363636363636363,14.545454545454545,15.454545454545455,16.727272727272727,69.0909090909091,137.5,143.3181818181818,184.54545454545453,210.72727272727272,284.1363636363636,355.3636363636364,460.45454545454544,476.5,550.0454545454545,598.0454545454545,617.1363636363636,621.3636363636364,507.45454545454544,333.1818181818182,89.31818181818181,67.04545454545455,54.09090909090909,35.86363636363637,"(-37.80988941, 144.96134331)",144.96134331,-37.80988941
