bay_id,st_marker_id,lat,lon
2671,10180E,-37.8040527480692,144.94954174409875
6647,13622E,-37.81944571124622,144.94364028336634
3380,6203W,-37.806349134859786,144.95100392489394
3282,5846E,-37.80652889345573,144.95356284829148
4617,8347W,-37.82398272026749,144.9684977951452
9011,9174N,-37.83080635719813,144.96791912070805
8829,8528E,-37.82301688122173,144.9675509946321
5879,12906N,-37.79833223440656,144.964953915928
6760,13103W,-37.82088566429645,144.9441655051868
4197,C6670,-37.80871070565439,144.9585441698922
946,C790,-37.81157057108945,144.96753234404272
958,C830,-37.81116388797592,144.9673469528956
3284,5850E,-37.806470560294805,144.95357314589475
2652,10153W,-37.80481793310244,144.94921772651412
2653,10155W,-37.80476269838175,144.94922777133996
5917,12804N,-37.8027954891266,144.96721631450913
954,C822,-37.8112575098866,144.96738963162676
2681,10190E,-37.80379246057316,144.9495876166959
1270,4462E,-37.81370335407711,144.9546191683335
2323,2888N,-37.810907523740994,144.9666268212244
5109,9910N,-37.82555338488256,144.96862208844982
2672,10181W,-37.80404052141371,144.94935384858712
2666,10174E,-37.80421438564064,144.94951325623254
6421,13668E,-37.82103994258789,144.94543155458342
2655,10159W,-37.80465392902081,144.94924754947715
2657,10162E,-37.80459147449535,144.9494476362235
4329,C6996,-37.809234010653554,144.956283910284
4405,C7244,-37.80795060562168,144.95211398570711
2656,10160E,-37.80464318737358,144.9494385370504
3629,7578N,-37.80562156829398,144.95449038760398
1052,975W,-37.818654156115066,144.9622532484584
2678,10187W,-37.803879688971975,144.94938219754158
2661,10168E,-37.804416546517615,144.94947831042316
6742,6581S,-37.80841314412618,144.9599170672416
2665,10173W,-37.80424624833567,144.94931762698118
8323,12107W,-37.810012000580045,144.98349324243753
3026,5121W,-37.80341088444709,144.95713839031447
3860,C5616,-37.80721481684331,144.9549108590483
9012,9172N,-37.83072932690226,144.96818485448006
3686,7646N,-37.80500159217506,144.95712214565845
3516,6676N,-37.80867892311177,144.95830745188204
957,C828,-37.8111871873981,144.96735757463318
5177,C8006,-37.810444828813935,144.95256857742612
6048,13018N,-37.8210556374137,144.94697668939432
2680,10189W,-37.80382682159421,144.94939150990004
5249,11523S,-37.81184392505163,144.95207745463983
2663,10170E,-37.80435822131767,144.9494885385869
2322,2886N,-37.8108887374072,144.96669066831026
6427,13681W,-37.8208595675166,144.94618719281783
5855,C9122,-37.79840475600588,144.96477329313018
877,775W,-37.81221754261522,144.96770542370388
5185,C8022,-37.81053163250514,144.95226223951698
875,771W,-37.81231930547644,144.96775142225908
8347,781W,-37.8121116398716,144.9676573100245
3510,6664N,-37.80861997525496,144.95851053592747
3661,7620N,-37.80498763656492,144.94875372356168
8348,783W,-37.81205654670124,144.96763232945378
955,C824,-37.81123421045719,144.96737901042525
9064,9278N,-37.82897744884528,144.969902966706
9065,9280N,-37.82898732000513,144.96986900459305
5752,12442N,-37.81184753134404,144.9758455824391
4360,C7154,-37.80710988161803,144.95384108436636
4431,C7702,-37.80362895153358,144.95478126097842
3665,7624N,-37.804981341212326,144.9486975025199
1268,4460E,-37.81375394177102,144.95464267215107
4611,8341W,-37.82418550936762,144.96843740980995
3858,C5612,-37.80726545039158,144.95490180880097
5104,9902N,-37.82552097320152,144.96873292859686
951,C810,-37.81135346943457,144.96743345892835
1542,1912N,-37.81448487130381,144.96971035097545
6060,13042N,-37.82111067346008,144.94365836931635
3669,7628N,-37.80497509749722,144.94864127967384
6184,13258N,-37.81991234380873,144.94322369995194
5083,9872N,-37.82527566721832,144.9695816357146
1264,4456E,-37.8138551724101,144.95468997104118
4281,C6898,-37.80927077090735,144.95587045729843
4615,8345W,-37.82404081749422,144.96848053408235
5089,9887S,-37.82555406424633,144.96898712837856
3955,C5878,-37.80507303067749,144.95378898323872
3601,7336E,-37.80537810506202,144.94933123203518
3694,7656N,-37.80497846789832,144.956914516136
3977,C5922,-37.804322468655904,144.9539231482384
5077,9860N,-37.82522705779425,144.96974789039888
5113,9918N,-37.8255856298431,144.96851178027129
5075,9856N,-37.82521056177717,144.96980438213149
3386,6215W,-37.80619898611389,144.95093556067548
