census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_Cafe
2002,Carlton,241,95.0,32.0,0.0,18.599999999999998,2.6,54.9,3.9,32.800000000000004,102.0,24.0,27.900000000000002,0.0,29.200000000000003,114.4,10.4,9.0,166.0,6.0,12.0,534.5,80.0,33
2002,Docklands,24,11.5,4.800000000000001,0.2,5.3999999999999995,0.8,0.9,1.7999999999999998,0.8,3.0,4.0,5.4,0.0,2.8000000000000003,5.6000000000000005,5.6000000000000005,2.4,11.0,21.599999999999998,1.5,73.5,850.0,26
2002,East Melbourne,39,27.0,17.6,0.0,25.2,0.8,10.8,2.4,13.600000000000001,153.0,8.0,7.2,0.0,8.0,56.0,11.200000000000001,3.0,16.0,3.5999999999999996,3.5,244.0,78.0,5
2002,Kensington,8,6.0,0.8,0.0,36.0,0.4,1.8,1.2,1.6,9.0,0.8,19.8,0.0,1.6,4.800000000000001,2.4000000000000004,1.2,7.0,3.0,11.5,84.5,81.0,0
2002,Melbourne (CBD),1072,496.5,391.20000000000005,1.4000000000000001,55.199999999999996,13.600000000000001,128.70000000000002,15.899999999999999,496.0,332.0,172.8,260.1,3.1,121.0,1074.4,128.8,88.8,1317.0,77.39999999999999,64.0,3582.0,1452.0,0
2002,Melbourne (Remainder),37,12.0,19.200000000000003,0.2,21.599999999999998,1.0,7.2,1.2,31.200000000000003,54.0,8.8,6.3,0.30000000000000004,5.4,75.2,3.2,3.0,17.0,4.2,4.0,189.0,0.0,0
2002,North Melbourne,79,42.0,25.6,0.4,22.2,4.0,12.6,6.6,17.6,33.0,19.200000000000003,58.5,0.0,26.6,88.80000000000001,5.6000000000000005,9.0,93.0,25.8,37.5,416.0,89.0,20
2002,Parkville,30,25.5,2.4000000000000004,0.0,14.399999999999999,0.0,6.3,2.1,4.0,48.0,0.8,1.8,0.0,4.2,4.800000000000001,3.2,0.6,19.0,2.4,1.5,103.0,84.0,0
2002,Port Melbourne,3,2.0,4.800000000000001,0.0,5.3999999999999995,2.2,1.8,1.5,1.6,0.0,6.4,33.300000000000004,0.1,0.4,16.8,4.0,1.7999999999999998,8.0,12.6,17.5,90.0,0.0,0
2002,South Yarra,10,7.5,0.8,0.0,2.4,0.0,10.8,1.7999999999999998,0.0,5.0,0.8,0.0,0.0,2.2,1.6,1.6,0.0,10.0,0.0,0.0,34.5,0.0,0
2002,Southbank,100,45.5,15.200000000000001,0.4,22.8,1.6,9.0,6.3,18.400000000000002,12.0,31.200000000000003,12.6,0.5,9.600000000000001,72.8,8.0,10.2,96.0,9.6,10.5,290.5,897.0,0
2002,West Melbourne (Industrial),13,5.0,3.2,0.2,3.0,1.2000000000000002,0.0,2.4,0.8,0.0,0.8,17.1,0.0,1.6,4.800000000000001,0.8,6.6,9.0,53.4,98.5,188.0,0.0,0
2002,West Melbourne (Residential),50,22.0,24.8,0.0,11.4,2.2,8.1,2.6999999999999997,12.0,14.0,12.0,37.800000000000004,0.1,12.600000000000001,56.800000000000004,6.4,2.4,48.0,13.2,27.0,240.0,31.0,5
2003,Carlton,274,101.0,30.400000000000002,0.0,21.599999999999998,2.4000000000000004,61.2,4.5,35.2,96.0,23.200000000000003,27.0,0.0,33.2,126.4,13.600000000000001,13.2,168.0,6.6,14.0,570.0,793.0,0
2003,Docklands,50,18.0,4.0,0.2,5.3999999999999995,0.8,1.8,1.7999999999999998,2.4000000000000004,6.0,4.0,2.7,0.0,2.6,4.800000000000001,5.6000000000000005,1.2,16.0,10.799999999999999,1.5,72.5,791.0,0
2003,East Melbourne,44,27.5,16.0,0.2,24.599999999999998,0.8,11.700000000000001,2.1,12.0,104.0,6.4,5.4,0.0,9.4,58.400000000000006,13.600000000000001,4.2,16.0,1.7999999999999998,3.0,221.5,0.0,0
