id,data_upd_at,pv_last_wk,pv_last_mth,pv_total,download_count,log_time
b2ak-trbp,2021-11-04 22:38:23+00:00,111,779,73850,8834,2021-11-19 19:07:17.807629
y79a-us3f,,3,33,66899,3178,2021-11-19 19:07:17.807629
fp38-wiyy,2021-09-30 16:06:54+00:00,40,265,39834,6395,2021-11-19 19:07:17.807629
vh2v-4nfs,2021-11-19 08:06:30+00:00,148,640,38603,12085562,2021-11-19 19:07:17.807629
7q9g-yyvg,2018-03-02 01:46:14+00:00,110,464,32075,1819,2021-11-19 19:07:17.807629
i8px-csib,2017-05-12 05:48:58+00:00,205,883,30393,3321,2021-11-19 19:07:17.807629
crvt-b4kt,2021-08-23 16:04:33+00:00,118,515,25353,39776,2021-11-19 19:07:17.807629
xt2y-tnn9,2021-11-02 22:16:33+00:00,74,308,24665,16158,2021-11-19 19:07:17.807629
gh7s-qda8,2021-09-29 06:47:23+00:00,40,150,23419,6264,2021-11-19 19:07:17.807629
r5bg-2hj8,2020-09-22 05:30:26+00:00,173,660,20314,2598,2021-11-19 19:07:17.807629
pmhb-s6pn,2021-11-02 22:05:44+00:00,62,332,19588,3338,2021-11-19 19:07:17.807629
ntht-5rk7,2021-09-14 16:04:00+00:00,68,298,17921,602876,2021-11-19 19:07:17.807629
qe9w-cym8,,14,45,17006,127163,2021-11-19 19:07:17.807629
ez6b-syvw,2015-06-15 05:55:16+00:00,20,79,14186,3520,2021-11-19 19:07:17.807629
def8-4wbt,2021-09-30 00:09:06+00:00,28,117,13847,1007540,2021-11-19 19:07:17.807629
8fgn-5q6t,2021-08-13 16:53:00+00:00,16,41,13265,2269,2021-11-19 19:07:17.807629
e56b-j9mj,2021-09-23 16:08:47+00:00,62,242,13048,2212262,2021-11-19 19:07:17.807629
67fb-mvax,2017-05-12 05:53:17+00:00,62,306,11390,1284,2021-11-19 19:07:17.807629
a7rp-xtya,2021-09-30 16:46:36+00:00,60,246,11362,163068,2021-11-19 19:07:17.807629
44kh-ty54,2021-11-02 22:25:14+00:00,40,109,10606,1979,2021-11-19 19:07:17.807629
j5vt-ppat,2017-04-06 05:48:40+00:00,14,179,10471,3223,2021-11-19 19:07:17.807629
krh5-hhjn,2021-11-02 22:29:27+00:00,14,68,10059,1580,2021-11-19 19:07:17.807629
bs7n-5veh,2021-11-02 22:13:48+00:00,11,62,10013,2264,2021-11-19 19:07:17.807629
aia8-ryiq,2021-03-18 04:20:13+00:00,40,178,9606,3197896,2021-11-19 19:07:17.807629
2dqj-9ydd,2018-08-17 04:41:48+00:00,28,163,9485,0,2021-11-19 19:07:17.807629
t3zn-qgfx,,20,181,8690,3474376,2021-11-19 19:07:17.807629
mq3i-cbxd,2015-05-12 06:33:58+00:00,2,24,8585,3571,2021-11-19 19:07:17.807629
xzxc-g5i9,2015-01-20 23:37:21+00:00,2,12,8106,1593,2021-11-19 19:07:17.807629
d6mv-s43h,2021-11-19 08:03:25+00:00,34,119,7934,20748,2021-11-19 19:07:17.807629
