Geo Point,Geo Shape,segid_1,mapbase_mc,insol_scor,verticalsu,segid,driveways,parklane,objectid,climate_ty,narrowing,closepart,farmlane,walls,farm_rank,vert_rank,fores_rank,forest,park_rank,binsperct,mapbase__1,wsud
"-37.81535672343349, 144.95569265063773","{""coordinates"": [[[[144.9556606568115, -37.81534714316935], [144.95570961184546, -37.81533315799097], [144.9557246371641, -37.815366308126414], [144.95567569815546, -37.81538028818194], [144.9556606568115, -37.81534714316935]]]], ""type"": ""MultiPolygon""}",20061,0.0,4.056745,66.7131,20061,0,63.5166,0,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Highest potential,0.0,Bourke Place,Probably Unsuitable
"-37.81037958674067, 144.97089952599487","{""coordinates"": [[[[144.9708657242154, -37.81014593422135], [144.97115180265533, -37.81074127545088], [144.97108082833384, -37.81076252791654], [144.97099198519362, -37.810571838135175], [144.97092637293747, -37.810591038101954], [144.9709008860893, -37.8105345582981], [144.97090142566034, -37.8105343614791], [144.97090191395523, -37.810534093315404], [144.9709023361374, -37.81053376195505], [144.97090267937904, -37.81053337746621], [144.97090293325098, -37.810532951531435], [144.9709030900394, -37.8105324970925], [144.9709031449804, -37.81053202795735], [144.97090309640458, -37.810531558380376], [144.97090294578797, -37.81053110262944], [144.97090269770692, -37.81053067455232], [144.97090235969924, -37.81053028715592], [144.97090194203514, -37.81052995221106], [144.97090145740515, -37.810529679894906], [144.97090092053452, -37.81052947848162], [144.97090034773572, -37.81052935409106], [144.97089975641308, -37.81052931050275], [144.97089916453348, -37.8105293490411], [144.97089859008096, -37.81052946853516], [144.97084905047942, -37.81041968594127], [144.97084959004974, -37.8104194891225], [144.970850078344, -37.810419220959005], [144.97085050052573, -37.81041888959881], [144.97085084376712, -37.81041850511011], [144.9708510976389, -37.810418079175435], [144.97085125442734, -37.81041762473657], [144.97085130936856, -37.810417155601435], [144.97085126079313, -37.81041668602443], [144.97085111017702, -37.810416230273454], [144.9708508620966, -37.81041580219622], [144.9708505240897, -37.8104154147997], [144.9708501064265, -37.81041507985468], [144.97084962179744, -37.810414807538336], [144.97084908492775, -37.81041460612483], [144.97084851212998, -37.81041448173404], [144.9708479208082, -37.81041443814551], [144.97084732892955, -37.810414476683626], [144.97084675447786, -37.81041459617746], [144.97079641295528, -37.81030303433568], [144.97079695246038, -37.81030283794625], [144.97079744081188, -37.81030257024591], [144.97079786318528, -37.81030223936106], [144.97079820675896, -37.81030185533616], [144.97079846110321, -37.81030142982874], [144.97079861849713, -37.810300975755666], [144.97079867416284, -37.810300506900894], [144.97079862641053, -37.810300037497086], [144.97079847668974, -37.81029958179362], [144.9707982295455, -37.810299153623966], [144.97079789248014, -37.81029876598575], [144.9707974757257, -37.81029843064622], [144.97079699193338, -37.810298157785056], [144.97079645578927, -37.81029795568529], [144.97079588356868, -37.81029783048192], [144.97079529264212, -37.81029778597564], [144.97079470094795, -37.81029782351753], [144.97079412644777, -37.81029794196794], [144.97079358658127, -37.81029813773116], [144.97079309773676, -37.810298404864504], [144.9707926747538, -37.810298735258876], [144.97079233047256, -37.8102991188847], [144.9707920753441, -37.8102995440965], [144.97079191711322, -37.810299997986434], [144.9707918605832, -37.81030046677611], [144.9707919074701, -37.810300936234825], [144.9707920563506, -37.81030139211154], [144.97070645170803, -37.81032548056827], [144.97068746787804, -37.8102836938395], [144.9706879796598, -37.81028350828403], [144.97068844596495, -37.810283258427816], [144.97068885407344, -37.810282951086506], [144.97068919285292, -37.81028259464381], [144.970689453062, -37.81028219882283], [144.97068962760272, -37.81028177442083], [144.97068971171396, -37.810281333014714], [144.97068970310124, -37.8102808866452], [144.9706896019996, -37.81028044748849], [144.9706894111668, -37.81028002752391], [144.9706891358085, -37.81027963820733], [144.9706887834359, -37.81027929015863], [144.97068836366114, -37.81027899287188], [144.97068788793482, -37.81027875445657], [144.97068736923396, -37.810278581416206], [144.97068682170777, -37.81027847847099], [144.97068626029167, -37.81027844842912], [144.9706857003001, -37.81027849211003], [144.97068515700863, -37.81027860832222], [144.97067899583521, -37.810265046661975], [144.97067953483315, -37.81026484892939], [144.9706800223639, -37.810264579944686], [144.97068044361401, -37.810264247880774], [144.97068078578408, -37.81026386282731], [144.97068103847744, -37.810263436483936], [144.9706811940161, -37.81026298180484], [144.97068124767407, -37.81026251260528], [144.97068119782105, -37.81026204314158], [144.9706810459718, -37.810261587678184], [144.9706807967401, -37.810261160054154], [144.97068045769882, -37.81026077326256], [144.9706800391495, -37.81026043905595], [144.9706795538096, -37.810260167588936], [144.9706790164259, -37.810259967109985], [144.97067844332653, -37.810259843710504], [144.9706778519248, -37.810259801139914], [144.9706772601902, -37.810259840691714], [144.97067668610225, -37.810259961164135], [144.97065321662447, -37.81020830312875], [144.97070005989966, -37.81019455459929], [144.9706864748103, -37.810166464182906], [144.97097421540062, -37.810083180276166], [144.97098875224398, -37.81010982625187], [144.9708657242154, -37.81014593422135]]]], ""type"": ""MultiPolygon""}",20226,20226.0,3.110616,48.86824,20226,5 or more,0.0,2,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Good potential,Good potential,38.521944,Lowest potential,40.0,Punch Lane,Consider
"-37.810217121848865, 144.97162762401734","{""coordinates"": [[[[144.9717580200683, -37.810563850452965], [144.97147428051426, -37.80993917253757], [144.97161365324467, -37.80989683897261], [144.97162534860178, -37.809920942367256], [144.9715126932378, -37.8099542170611], [144.97179209372752, -37.81055387735753], [144.9717580200683, -37.810563850452965]]]], ""type"": ""MultiPolygon""}",20227,20227.0,2.269407,57.564357,20227,2,48.897065,3,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Good potential,40.0,Little Bourke Place,Consider
"-37.81077581774339, 144.97188375120993","{""coordinates"": [[[[144.97184322645086, -37.81063745823709], [144.971967301624, -37.81089726802682], [144.9719200307459, -37.810910362646965], [144.97180052445017, -37.810649882626926], [144.97184322645086, -37.81063745823709]]]], ""type"": ""MultiPolygon""}",20228,20228.0,1.731598,63.224829,20228,1,0.0,4,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Highest potential,55.532329,Lowest potential,40.0,Cl1639,Consider
"-37.811226042417026, 144.97139352262127","{""coordinates"": [[[[144.9716104991305, -37.81162708504803], [144.9715504876009, -37.81164457046312], [144.9713191842572, -37.81113548837484], [144.97129467572137, -37.81108246620542], [144.97129258170781, -37.8110830672607], [144.97118323349034, -37.81084499279749], [144.97117881023138, -37.81083179994925], [144.9712403842004, -37.810814562423076], [144.9716104991305, -37.81162708504803]]]], ""type"": ""MultiPolygon""}",20231,20231.0,2.754746,67.186286,20231,1,65.118885,7,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Highest potential,40.0,Liverpool Street,Consider
"-37.8131805651399, 144.97156163273422","{""coordinates"": [[[[144.97144190205148, -37.81298558101388], [144.97149008026778, -37.8129700996988], [144.97168158185494, -37.813372902154065], [144.97162946721545, -37.813386522392086], [144.97144190205148, -37.81298558101388]]]], ""type"": ""MultiPolygon""}",20240,20240.0,2.23413,55.203771,20240,4,0.0,13,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Good potential,Good potential,41.519374,Lowest potential,40.0,McGraths Lane,Consider
"-37.812714034948, 144.9732382331711","{""coordinates"": [[[[144.97344334854117, -37.81263572373666], [144.9734599258627, -37.812672417513674], [144.97302584564844, -37.812792576113466], [144.97301053862225, -37.81275915829704], [144.97344334854117, -37.81263572373666]]]], ""type"": ""MultiPolygon""}",20244,20244.0,2.427456,55.800251,20244,0,54.50466,17,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Good potential,Lowest potential,0.0,Highest potential,0.0,Ulster Lane,Probably Unsuitable
"-37.815866684899426, 144.97038374615923","{""coordinates"": [[[[144.97021260693592, -37.81558338045222], [144.97028159978004, -37.815562527890854], [144.97041086319095, -37.81584682885705], [144.9705182548706, -37.815815132709346], [144.97053003715683, -37.81584097426399], [144.97042273255528, -37.81587293236297], [144.97054547840392, -37.816142894863994], [144.97043010606475, -37.81617753369036], [144.97041741717405, -37.81615057526193], [144.9704685621703, -37.81613560693917], [144.97032370443642, -37.81581692949889], [144.97025027638892, -37.81583915561948], [144.97024949881796, -37.81583755884818], [144.97023875197135, -37.8158154740976], [144.97031351464466, -37.815792547345026], [144.97021260693592, -37.81558338045222]]]], ""type"": ""MultiPolygon""}",20251,20251.0,1.69227,61.408306,20251,2,0.0,24,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Highest potential,52.747509,Lowest potential,40.0,Higson Lane,Consider
"-37.816070884780686, 144.97010070091366","{""coordinates"": [[[[144.96989391433928, -37.81567970114442], [144.9699383293486, -37.81566627698204], [144.970312358964, -37.81647857062074], [144.97027279331698, -37.81649045008634], [144.96989391433928, -37.81567970114442]]]], ""type"": ""MultiPolygon""}",20252,20252.0,1.789866,0.0,20252,3,47.993065,25,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Good potential,20.0,Oliver Lane,Consider
"-37.815043593615314, 144.9694430083061","{""coordinates"": [[[[144.96931209721052, -37.81506077317395], [144.96955633427237, -37.81498988551641], [144.96957338479942, -37.81502687544766], [144.96932903383941, -37.815097189828755], [144.96931209721052, -37.81506077317395]]]], ""type"": ""MultiPolygon""}",20253,20253.0,2.067394,68.713046,20253,2,0.0,26,Shaded-Sheltered,Probably Unsuitable,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Lowest potential,0.0,Beaney Lane,Consider
