Species,Common name(s),Certain,Beach and Dunes,Saltmarsh,Coastal marshlands and brackish flats,Swamp scrub,Woodlands and heathlands on sand,"Woodlands and forests on sedimentary hills, valleys and ridges",Grasslands and Woodlands on fertile plains,Cliffs and escarpments,River banks and creeklines,Wet heathland,Freshwater wetland,Saltwater wetland,Most likely occurrence,EPBC Category of threat,FFG Extinction Risk,FFG Category of Threat
Hypolaena fastigata,Tassel Rope-rush,,1.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0,3.1,,,
Hypoxis vaginata var. brevistigmata,Yellow Star,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Hypoxis vaginata var. vaginata,Yellow Star,,0.0,0.0,0.0,0.0,1.0,2.1,1.0,0.0,1.0,1.0,0.0,0,2.1,,,
Isoetes muelleri,Rock Quillwort,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0,2.1,,,
Isolepis cernua var. cernua,Nodding Club-sedge,1,1.0,2.1,3.1,2.1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,3.1,,,
Isolepis hookeriana,Grassy Club-sedge,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,,,
Isolepis inundata,Swamp Club-sedge,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.1,1.0,2.1,0,2.1,,,
Isolepis stellata,Star Club-sedge,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Isolepis victoriensis,Victorian Club-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Juncus australis,Austral Rush,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,1.0,3.1,0,3.1,,,
Juncus caespiticius,"Grassy Rush, Tufted Rush",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,1.0,2.1,0,2.1,,,
Juncus fockei,Slender Joint-leaf Rush,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Juncus pauciflorus,Loose-flower Rush,,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0,2.1,,,
