Date,Min temperature (°C),Max temperature (°C),Total Rainfall (mm),Time of maximum gust,Direction of wind,max wind speed (km/h),max gust speed(km/h),max pressure (hPa),Max Humidity (%),Min Humidity (%),source_file,day,month,year,month_name,weekday,rain_day,temperature_range,humidity_range,gust_to_wind_ratio,wet_and_humid_day
2015-01-01,13.6,26.1,0.0, 17:00,SSW,20.0,28.0,1015.9,92.0,35.0,2015-2016 Historical,1,1,2015,January,Thursday,0,12.500000000000002,57.0,1.4,0
2015-01-02,15.5,38.2,0.0,13:30,NNW,22.0,33.0,1015.5,92.0,12.0,2015-2016 Historical,2,1,2015,January,Friday,0,22.700000000000003,80.0,1.5,0
2015-01-03,21.8,37.7,0.0,14:30,N,37.0,57.0,1012.6,84.0,19.0,2015-2016 Historical,3,1,2015,January,Saturday,0,15.900000000000002,65.0,1.5405405405405406,0
2015-01-04,16.0,22.4,4.2,2:30,NNE,20.0,41.0,1020.4,93.0,33.0,2015-2016 Historical,4,1,2015,January,Sunday,1,6.399999999999999,60.0,2.05,1
2015-01-05,15.1,21.5,0.0,18:00,SSW,22.0,41.0,1021.0,86.0,60.0,2015-2016 Historical,5,1,2015,January,Monday,0,6.4,26.0,1.8636363636363635,0
2015-01-06,18.0,25.9,0.0,16:30,S,17.0,28.0,1020.4,89.0,52.0,2015-2016 Historical,6,1,2015,January,Tuesday,0,7.899999999999999,37.0,1.6470588235294117,0
2015-01-07,19.1,37.3,19.0,13:47,NW,39.0,61.0,1017.0,95.0,27.0,2015-2016 Historical,7,1,2015,January,Wednesday,1,18.199999999999996,68.0,1.564102564102564,1
2015-01-08,21.2,27.8,19.4,16:30,WSW,11.0,28.0,1012.0,87.0,56.0,2015-2016 Historical,8,1,2015,January,Thursday,1,6.600000000000001,31.0,2.5454545454545454,1
2015-01-09,13.6,20.8,3.6,4:00,SSW,15.0,24.0,1012.9,99.0,73.0,2015-2016 Historical,9,1,2015,January,Friday,1,7.200000000000001,26.0,1.6,1
2015-01-10,13.9,18.8,5.2,15:00,S,11.0,20.0,1014.9,96.0,71.0,2015-2016 Historical,10,1,2015,January,Saturday,1,4.9,25.0,1.8181818181818181,1
2015-01-11,17.7,26.8,0.0,18:30,SE,26.0,44.0,1015.9,94.0,52.0,2015-2016 Historical,11,1,2015,January,Sunday,0,9.100000000000001,42.0,1.6923076923076923,0
2015-01-12,16.1,31.0,0.0,15:30,S,19.0,35.0,1019.0,95.0,32.0,2015-2016 Historical,12,1,2015,January,Monday,0,14.899999999999999,63.0,1.8421052631578947,0
2015-01-13,20.2,25.4,13.6,18:00,N,24.0,37.0,1007.7,90.0,47.0,2015-2016 Historical,13,1,2015,January,Tuesday,1,5.199999999999999,43.0,1.5416666666666667,1
2015-01-14,17.1,22.0,15.8,14:30,WSW,17.0,33.0,1007.9,98.0,63.0,2015-2016 Historical,14,1,2015,January,Wednesday,1,4.899999999999999,35.0,1.9411764705882353,1
2015-01-15,16.1,19.8,0.0,20:30,S,17.0,30.0,1010.7,74.0,62.0,2015-2016 Historical,15,1,2015,January,Thursday,0,3.6999999999999993,12.0,1.7647058823529411,0
2015-01-16,13.3,27.0,0.0,16:30,NW,20.0,35.0,1010.1,80.0,30.0,2015-2016 Historical,16,1,2015,January,Friday,0,13.7,50.0,1.75,0
2015-01-17,16.2,24.7,0.0,17:30,S,20.0,39.0,1014.3,72.0,35.0,2015-2016 Historical,17,1,2015,January,Saturday,0,8.5,37.0,1.95,0
2015-01-18,15.4,19.4,0.0,14:00,SSE,20.0,33.0,1018.8,77.0,47.0,2015-2016 Historical,18,1,2015,January,Sunday,0,3.9999999999999982,30.0,1.65,0
2015-01-19,13.7,23.4,0.0,18:00,S,19.0,35.0,1018.7,84.0,33.0,2015-2016 Historical,19,1,2015,January,Monday,0,9.7,51.0,1.8421052631578947,0
2015-01-20,13.1,29.9,0.0,9:30,N,24.0,43.0,1011.5,85.0,31.0,2015-2016 Historical,20,1,2015,January,Tuesday,0,16.799999999999997,54.0,1.7916666666666667,0
2015-01-21,19.8,32.6,0.0,19:30,SE,20.0,33.0,1010.4,84.0,28.0,2015-2016 Historical,21,1,2015,January,Wednesday,0,12.8,56.0,1.65,0
2015-01-22,19.0,35.0,0.0,19:30,SSW,24.0,41.0,1012.3,90.0,26.0,2015-2016 Historical,22,1,2015,January,Thursday,0,16.0,64.0,1.7083333333333333,0
2015-01-23,17.1,24.7,0.0,16:00,S,20.0,37.0,1008.9,83.0,46.0,2015-2016 Historical,23,1,2015,January,Friday,0,7.599999999999998,37.0,1.85,0
2015-01-24,15.9,26.0,0.0,17:30,SSW,19.0,28.0,1008.2,83.0,41.0,2015-2016 Historical,24,1,2015,January,Saturday,0,10.1,42.0,1.4736842105263157,0
2015-01-25,14.7,21.3,0.0,5:30,W,20.0,43.0,1013.6,79.0,33.0,2015-2016 Historical,25,1,2015,January,Sunday,0,6.600000000000001,46.0,2.15,0
2015-01-26,11.7,19.5,1.0,16:00,S,20.0,39.0,1017.9,86.0,46.0,2015-2016 Historical,26,1,2015,January,Monday,1,7.800000000000001,40.0,1.95,1
2015-01-27,11.8,18.7,0.6,18:00,S,20.0,39.0,1018.3,77.0,48.0,2015-2016 Historical,27,1,2015,January,Tuesday,1,6.899999999999999,29.0,1.95,0
2015-01-28,13.4,24.5,0.0,19:00,SSE,26.0,46.0,1019.8,77.0,35.0,2015-2016 Historical,28,1,2015,January,Wednesday,0,11.1,42.0,1.7692307692307692,0
2015-01-29,12.9,20.8,0.0,17:00,S,24.0,43.0,1020.9,78.0,38.0,2015-2016 Historical,29,1,2015,January,Thursday,0,7.9,40.0,1.7916666666666667,0
2015-01-30,13.3,20.8,0.0,13:00,S,22.0,35.0,1018.0,81.0,44.0,2015-2016 Historical,30,1,2015,January,Friday,0,7.5,37.0,1.5909090909090908,0
2015-01-31,14.4,19.8,2.4,13:30,S,22.0,39.0,1013.7,92.0,59.0,2015-2016 Historical,31,1,2015,January,Saturday,1,5.4,33.0,1.7727272727272727,1
2015-02-01,13.3,18.6,9.2,18:00,SSW,22.0,41.0,1017.2,97.0,73.0,2015-2016 Historical,1,2,2015,February,Sunday,1,5.300000000000001,24.0,1.8636363636363635,1
2015-02-02,15.7,20.5,3.8,18:30,S,20.0,43.0,1023.3,84.0,59.0,2015-2016 Historical,2,2,2015,February,Monday,1,4.800000000000001,25.0,2.15,1
2015-02-03,16.2,19.5,0.0,17:00,S,17.0,35.0,1023.2,72.0,56.0,2015-2016 Historical,3,2,2015,February,Tuesday,0,3.3000000000000007,16.0,2.0588235294117645,0
2015-02-04,15.1,18.3,0.0,14:30,SSW,20.0,41.0,1021.0,82.0,53.0,2015-2016 Historical,4,2,2015,February,Wednesday,0,3.200000000000001,29.0,2.05,0
2015-02-05,13.5,23.6,0.0,17:00,SSW,20.0,35.0,1024.1,86.0,50.0,2015-2016 Historical,5,2,2015,February,Thursday,0,10.100000000000001,36.0,1.75,0
2015-02-06,14.7,35.4,0.0,17:30,SE,13.0,22.0,1025.4,95.0,23.0,2015-2016 Historical,6,2,2015,February,Friday,0,20.7,72.0,1.6923076923076923,0
2015-02-07,23.0,33.8,0.0,12:00,N,26.0,41.0,1020.6,54.0,26.0,2015-2016 Historical,7,2,2015,February,Saturday,0,10.799999999999997,28.0,1.5769230769230769,0
2015-02-08,17.5,23.7,0.0,8:30,SSW,20.0,32.0,1025.3,86.0,48.0,2015-2016 Historical,8,2,2015,February,Sunday,0,6.199999999999999,38.0,1.6,0
2015-02-09,13.8,27.8,0.0,19:30,SE,17.0,28.0,1025.4,78.0,44.0,2015-2016 Historical,9,2,2015,February,Monday,0,14.0,34.0,1.6470588235294117,0
2015-02-10,16.6,27.1,0.0,18:30,SSW,15.0,26.0,1022.0,94.0,53.0,2015-2016 Historical,10,2,2015,February,Tuesday,0,10.5,41.0,1.7333333333333334,0
2015-02-11,18.2,26.5,0.0,18:30,S,24.0,39.0,1023.6,98.0,58.0,2015-2016 Historical,11,2,2015,February,Wednesday,0,8.3,40.0,1.625,0
2015-02-12,18.0,21.7,0.0,17:30,SW,17.0,33.0,1025.6,81.0,54.0,2015-2016 Historical,12,2,2015,February,Thursday,0,3.6999999999999993,27.0,1.9411764705882353,0
2015-02-13,16.3,31.9,11.0,16:30,S,20.0,35.0,1023.3,95.0,31.0,2015-2016 Historical,13,2,2015,February,Friday,1,15.599999999999998,64.0,1.75,1
2015-02-14,19.0,24.8,19.6,8:30,N,0.0,7.0,1020.2,100.0,62.0,2015-2016 Historical,14,2,2015,February,Saturday,1,5.800000000000001,38.0,inf,1
2015-02-15,18.5,34.2,0.4,18:00,SE,7.0,15.0,1017.9,92.0,24.0,2015-2016 Historical,15,2,2015,February,Sunday,1,15.700000000000003,68.0,2.142857142857143,1
2015-02-16,17.5,27.8,0.0,18:00,S,20.0,39.0,1019.3,77.0,45.0,2015-2016 Historical,16,2,2015,February,Monday,0,10.3,32.0,1.95,0
2015-02-17,17.7,20.0,0.0,18:30,SSW,17.0,26.0,1019.7,76.0,67.0,2015-2016 Historical,17,2,2015,February,Tuesday,0,2.3000000000000007,9.0,1.5294117647058822,0
2015-02-18,17.8,20.9,0.0,20:30,SSE,13.0,24.0,1021.9,84.0,66.0,2015-2016 Historical,18,2,2015,February,Wednesday,0,3.099999999999998,18.0,1.8461538461538463,0
2015-02-19,18.8,26.4,0.0,18:00,SSW,11.0,20.0,1019.4,86.0,57.0,2015-2016 Historical,19,2,2015,February,Thursday,0,7.599999999999998,29.0,1.8181818181818181,0
2015-02-20,17.5,23.3,0.0,15:00,SSW,19.0,30.0,1016.4,100.0,63.0,2015-2016 Historical,20,2,2015,February,Friday,0,5.800000000000001,37.0,1.5789473684210527,0
2015-02-21,18.2,35.8,1.6,12:00,N,22.0,35.0,1016.2,93.0,26.0,2015-2016 Historical,21,2,2015,February,Saturday,1,17.599999999999998,67.0,1.5909090909090908,1
2015-02-22,23.0,34.7,1.6,10:00,N,24.0,37.0,1013.6,72.0,27.0,2015-2016 Historical,22,2,2015,February,Sunday,1,11.700000000000003,45.0,1.5416666666666667,0
2015-02-23,16.8,28.9,3.2,12:00,S,19.0,39.0,1019.7,94.0,45.0,2015-2016 Historical,23,2,2015,February,Monday,1,12.099999999999998,49.0,2.0526315789473686,1
2015-02-24,16.0,19.9,3.2,16:30,SSW,20.0,37.0,1021.0,73.0,46.0,2015-2016 Historical,24,2,2015,February,Tuesday,1,3.8999999999999986,27.0,1.85,0
2015-02-25,14.2,26.6,0.0,2:00,SSE,11.0,20.0,1017.3,95.0,46.0,2015-2016 Historical,25,2,2015,February,Wednesday,0,12.400000000000002,49.0,1.8181818181818181,0
2015-02-26,17.6,22.9,0.0,3:00,WSW,9.0,19.0,1011.8,88.0,58.0,2015-2016 Historical,26,2,2015,February,Thursday,0,5.299999999999997,30.0,2.111111111111111,0
2015-02-27,14.9,23.8,0.0,15:30,S,13.0,20.0,1011.8,98.0,45.0,2015-2016 Historical,27,2,2015,February,Friday,0,8.9,53.0,1.5384615384615385,0
2015-02-28,18.0,32.1,13.2,20:30,W,22.0,48.0,1010.5,100.0,26.0,2015-2016 Historical,28,2,2015,February,Saturday,1,14.100000000000001,74.0,2.1818181818181817,1
