"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2025",,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday 18 March 2026   IDCJDW3033.202511,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,
Observations were drawn from Melbourne (Olympic Park) {station 086338},,,,,,,,,,,
,,,,,,,,,,,
,Date,Min temperature (°C),Max temperature (°C),Total Rainfall (mm),Time of maximum  gust,Direction of wind,max wind speed (km/h),max  gust speed(km/h),max pressure (hPa),Max Humidity (%),Min Humidity (%)
,1/01/2015,13.6,26.1,0, 17:00,SSW,20,28,1015.9,92,35
,2/01/2015,15.5,38.2,0,13:30,NNW,22,33,1015.5,92,12
,3/01/2015,21.8,37.7,0,14:30,N,37,57,1012.6,84,19
,4/01/2015,16,22.4,4.2,2:30,NNE,20,41,1020.4,93,33
,5/01/2015,15.1,21.5,0,18:00,SSW,22,41,1021,86,60
,6/01/2015,18,25.9,0,16:30,S,17,28,1020.4,89,52
,7/01/2015,19.1,37.3,19,13:47,NW,39,61,1017,95,27
,8/01/2015,21.2,27.8,19.4,16:30,WSW,11,28,1012,87,56
,9/01/2015,13.6,20.8,3.6,4:00,SSW,15,24,1012.9,99,73
,10/01/2015,13.9,18.8,5.2,15:00,S,11,20,1014.9,96,71
,11/01/2015,17.7,26.8,0,18:30,SE,26,44,1015.9,94,52
,12/01/2015,16.1,31,0,15:30,S,19,35,1019,95,32
,13/01/2015,20.2,25.4,13.6,18:00,N,24,37,1007.7,90,47
,14/01/2015,17.1,22,15.8,14:30,WSW,17,33,1007.9,98,63
,15/01/2015,16.1,19.8,0,20:30,S,17,30,1010.7,74,62
,16/01/2015,13.3,27,0,16:30,NW,20,35,1010.1,80,30
,17/01/2015,16.2,24.7,0,17:30,S,20,39,1014.3,72,35
,18/01/2015,15.4,19.4,0,14:00,SSE,20,33,1018.8,77,47
,19/01/2015,13.7,23.4,0,18:00,S,19,35,1018.7,84,33
,20/01/2015,13.1,29.9,0,9:30,N,24,43,1011.5,85,31
,21/01/2015,19.8,32.6,0,19:30,SE,20,33,1010.4,84,28
,22/01/2015,19,35,0,19:30,SSW,24,41,1012.3,90,26
,23/01/2015,17.1,24.7,0,16:00,S,20,37,1008.9,83,46
,24/01/2015,15.9,26,0,17:30,SSW,19,28,1008.2,83,41
,25/01/2015,14.7,21.3,0,5:30,W,20,43,1013.6,79,33
,26/01/2015,11.7,19.5,1,16:00,S,20,39,1017.9,86,46
,27/01/2015,11.8,18.7,0.6,18:00,S,20,39,1018.3,77,48
,28/01/2015,13.4,24.5,0,19:00,SSE,26,46,1019.8,77,35
,29/01/2015,12.9,20.8,0,17:00,S,24,43,1020.9,78,38
,30/01/2015,13.3,20.8,0,13:00,S,22,35,1018,81,44
,31/01/2015,14.4,19.8,2.4,13:30,S,22,39,1013.7,92,59
,1/02/2015,13.3,18.6,9.2,18:00,SSW,22,41,1017.2,97,73
,2/02/2015,15.7,20.5,3.8,18:30,S,20,43,1023.3,84,59
,3/02/2015,16.2,19.5,0,17:00,S,17,35,1023.2,72,56
,4/02/2015,15.1,18.3,0,14:30,SSW,20,41,1021,82,53
,5/02/2015,13.5,23.6,0,17:00,SSW,20,35,1024.1,86,50
,6/02/2015,14.7,35.4,0,17:30,SE,13,22,1025.4,95,23
,7/02/2015,23,33.8,0,12:00,N,26,41,1020.6,54,26
,8/02/2015,17.5,23.7,0,8:30,SSW,20,32,1025.3,86,48
,9/02/2015,13.8,27.8,0,19:30,SE,17,28,1025.4,78,44
,10/02/2015,16.6,27.1,0,18:30,SSW,15,26,1022,94,53
,11/02/2015,18.2,26.5,0,18:30,S,24,39,1023.6,98,58
,12/02/2015,18,21.7,0,17:30,SW,17,33,1025.6,81,54
,13/02/2015,16.3,31.9,11,16:30,S,20,35,1023.3,95,31
,14/02/2015,19,24.8,19.6,8:30,N,0,7,1020.2,100,62
,15/02/2015,18.5,34.2,0.4,18:00,SE,7,15,1017.9,92,24
,16/02/2015,17.5,27.8,0,18:00,S,20,39,1019.3,77,45
,17/02/2015,17.7,20,0,18:30,SSW,17,26,1019.7,76,67
,18/02/2015,17.8,20.9,0,20:30,SSE,13,24,1021.9,84,66
,19/02/2015,18.8,26.4,0,18:00,SSW,11,20,1019.4,86,57
,20/02/2015,17.5,23.3,0,15:00,SSW,19,30,1016.4,100,63
,21/02/2015,18.2,35.8,1.6,12:00,N,22,35,1016.2,93,26
,22/02/2015,23,34.7,1.6,10:00,N,24,37,1013.6,72,27
,23/02/2015,16.8,28.9,3.2,12:00,S,19,39,1019.7,94,45
,24/02/2015,16,19.9,3.2,16:30,SSW,20,37,1021,73,46
,25/02/2015,14.2,26.6,0,2:00,SSE,11,20,1017.3,95,46
