"Daily Weather Observations for Melbourne (Olympic Park), Victoria for March 2025"
"Prepared at 13:01 UTC on Thursday 12 March 2026   IDCJDW3033.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,14.8,25.1,0,,,SSW,31,17:27,18.4,71,,NNW,6,1015.4,23.5,48,,SW,9,1013.8
,2025-03-2,15.9,21.0,0,,,SSW,35,16:08,18.6,71,, ,Calm,1017.1,20.3,60,,SE,13,1018.4
,2025-03-3,11.4,20.7,0.4,,,SSW,37,15:55,16.1,66,,ESE,4,1022.4,20.2,55,,SSW,17,1021.8
,2025-03-4,11.9,33.1,0,,,NW,33,15:09,14.5,76,,NNE,7,1021.3,31.0,34,,N,7,1017.5
,2025-03-5,14.5,35.3,0,,,S,43,15:17,24.3,44,,N,15,1019.7,34.6,26,,ENE,6,1016.5
,2025-03-6,18.2,23.5,0,,,SSE,31,21:18,18.4,87,,SSW,9,1024.1,21.4,74,,S,11,1022.2
,2025-03-7,16.2,28.7,0,,,SE,26,23:08,18.9,81,,NE,6,1022.4,27.9,43,,SSW,11,1019.8
,2025-03-8,15.6,33.3,0,,,NNW,35,09:15,20.6,67,,NNE,7,1020.7,32.8,17,,SSE,9,1017.7
,2025-03-9,18.3,34.5,0,,,NNW,39,14:09,22.0,56,,NNE,11,1018.9,33.6,32,,N,22,1014.3
,2025-03-10,21.8,32.2,1.8,,,NNW,28,09:15,23.3,73,,N,7,1018.2,31.9,38,,S,11,1016.3
,2025-03-11,19.8,32.5,0,,,SSE,30,14:46,22.2,72,, ,Calm,1020.6,31.3,40,,SSE,11,1018.7
,2025-03-12,20.6,35.4,0,,,NNW,43,10:19,25.6,54,,N,15,1018.9,33.3,31,,NNE,22,1015.1
,2025-03-13,18.1,23.9,2.6,,,SSW,26,16:24,19.7,75,,SSW,4,1019.4,23.0,60,,SSW,11,1018.2
,2025-03-14,14.5,27.4,0,,,SSW,28,17:23,15.4,93,,NE,9,1019.3,25.8,36,,SSW,13,1018.8
,2025-03-15,15.4,34.9,0,,,SSW,35,21:13,20.8,73,,NE,9,1016.5,33.8,28,,WNW,4,1011.8
,2025-03-16,20.1,21.4,4.6,,,SSW,48,16:26,20.3,97,,NNE,2,1006.7,14.8,86,,W,13,1010.5
,2025-03-17,11.1,19.1,18.0,,,SSE,31,09:25,13.7,70,,W,4,1023.5,18.5,48,,S,15,1024.3
,2025-03-18,11.5,25.0,0,,,SE,22,19:29,13.3,66,,NE,9,1023.9,23.2,44,,SSW,9,1019.4
,2025-03-19,12.4,32.5,0,,,,,,15.1,75,,N,7,1017.4,30.7,33,,N,17,1012.0
,2025-03-20,15.1,27.9,0,,,N,54,11:01,25.3,53,,N,24,1011.4,24.4,66,,N,22,1010.2
,2025-03-21,15.5,19.6,11.8,,,SSE,24,02:16,15.9,86,,SSE,6,1017.4,18.6,65,,SSE,7,1017.1
,2025-03-22,10.7,20.1,0.6,,,S,26,15:32,13.7,86,, ,Calm,1019.8,19.5,51,,S,13,1019.5
,2025-03-23,11.4,21.8,0,,,S,28,17:53,14.2,98,, ,Calm,1021.4,21.1,58,,S,11,1019.3
,2025-03-24,14.2,21.0,0,,,SSW,33,14:44,17.8,71,,SSE,7,1021.8,20.2,59,,S,13,1021.3
,2025-03-25,12.8,22.4,0,,,SSW,30,16:59,15.6,87,,ESE,2,1023.6,22.0,60,,SW,11,1020.6
,2025-03-26,15.6,21.1,0,,,S,31,14:10,18.0,79,,SSE,9,1023.4,20.7,63,,S,13,1022.8
,2025-03-27,14.6,21.1,0,,,S,28,12:07,17.0,69,,SSE,9,1024.8,20.6,65,,SSW,13,1022.5
,2025-03-28,14.5,30.1,0,,,N,33,10:29,16.3,96,,NNE,9,1019.9,29.6,39,,N,15,1016.4
,2025-03-29,16.3,21.5,0.2,,,SSW,33,16:26,20.3,83,,SW,4,1015.6,19.7,75,,S,17,1016.0
,2025-03-30,16.4,21.5,0.4,,,SSE,43,13:31,17.1,74,,SE,13,1020.7,20.9,51,,ESE,19,1019.8
,2025-03-31,14.9,21.9,0,,,ESE,41,09:58,16.4,61,,SE,13,1021.4,20.8,41,,SE,13,1019.6
