Transfer_Year,Small_Area,Type,Median_Price,Transaction_Count
2000,Carlton,Residential Apartment,223000,125
2000,Docklands,Residential Apartment,,3
2000,Parkville,Residential Apartment,235000,128
2000,Southbank,Residential Apartment,267500,179
2000,West Melbourne (Residential),House/Townhouse,311000,19
2001,Carlton,Residential Apartment,20,263
2001,East Melbourne,House/Townhouse,670000,35
2001,Kensington,House/Townhouse,285000,282
2001,Kensington,Residential Apartment,236000,55
2001,Melbourne (Remainder),Residential Apartment,355000,53
2001,North Melbourne,House/Townhouse,34,120
2001,North Melbourne,Residential Apartment,225000,150
2001,Parkville,House/Townhouse,50,28
2001,West Melbourne (Residential),House/Townhouse,337000,43
2002,East Melbourne,Residential Apartment,373000,154
2002,Kensington,House/Townhouse,305000,207
2002,Melbourne (CBD),Residential Apartment,317800,1362
2002,Melbourne (Remainder),Residential Apartment,367562,48
2002,North Melbourne,Residential Apartment,280000,162
2002,Parkville,House/Townhouse,645000,31
2002,Southbank,Residential Apartment,350000,671
2002,West Melbourne (Residential),House/Townhouse,385500,60
2003,Carlton,Residential Apartment,329950,353
2003,Melbourne (Remainder),Residential Apartment,369000,39
2004,Carlton,House/Townhouse,410000,81
2004,Carlton,Residential Apartment,347250,279
2004,East Melbourne,House/Townhouse,750000,42
2004,Kensington,House/Townhouse,378000,194
2004,Melbourne (CBD),Residential Apartment,293500,1071
2004,North Melbourne,Residential Apartment,305000,164
2004,Parkville,House/Townhouse,450000,26
2004,South Yarra,Residential Apartment,328000,117
2004,West Melbourne (Residential),House/Townhouse,400500,62
2005,Carlton,Residential Apartment,305000,174
2005,East Melbourne,House/Townhouse,740000,39
2005,East Melbourne,Residential Apartment,387500,594
2005,Kensington,House/Townhouse,393500,159
2005,Kensington,Residential Apartment,280000,69
2005,Melbourne (CBD),Residential Apartment,329500,1714
2005,North Melbourne,House/Townhouse,455750,172
2005,South Yarra,House/Townhouse,1005000,41
2006,Carlton,Residential Apartment,338050,188
2006,East Melbourne,Residential Apartment,350000,172
2006,Kensington,House/Townhouse,426250,140
2006,Melbourne (CBD),Residential Apartment,305000,1056
2006,Melbourne (Remainder),Residential Apartment,395000,73
2006,Parkville,House/Townhouse,850000,98
2006,South Yarra,House/Townhouse,922500,49
2006,South Yarra,Residential Apartment,385000,141
2006,West Melbourne (Residential),Residential Apartment,380000,58
2007,Carlton,House/Townhouse,670000,99
2007,Kensington,Residential Apartment,306750,82
2007,Melbourne (CBD),Residential Apartment,350000,1874
2007,North Melbourne,House/Townhouse,550000,130
2007,North Melbourne,Residential Apartment,330000,188
2007,Parkville,House/Townhouse,780000,149
2007,Parkville,Residential Apartment,369000,79
2007,West Melbourne (Residential),Residential Apartment,398500,112
2008,Carlton,House/Townhouse,632500,54
2008,Melbourne (Remainder),Residential Apartment,440000,93
2008,Parkville,House/Townhouse,650000,74
2008,South Yarra,Residential Apartment,522500,114
2009,Carlton,House/Townhouse,631250,65
2009,Docklands,Residential Apartment,490000,589
2009,Melbourne (Remainder),Residential Apartment,615000,171
2009,South Yarra,Residential Apartment,530000,115
2009,Southbank,Residential Apartment,510000,1258
2009,West Melbourne (Residential),Residential Apartment,499000,259
2010,Docklands,Residential Apartment,596250,407
2010,Kensington,House/Townhouse,624500,184
2010,Melbourne (CBD),Residential Apartment,385000,2210
2010,Melbourne (Remainder),Residential Apartment,621000,106
2010,Parkville,Residential Apartment,506000,37
2010,South Yarra,House/Townhouse,1825000,33
2011,Carlton,Residential Apartment,475000,293
2011,Docklands,House/Townhouse,1495000,52
2011,Docklands,Residential Apartment,560000,575
2011,East Melbourne,Residential Apartment,545000,139
2011,Melbourne (CBD),House/Townhouse,,2
2011,North Melbourne,Residential Apartment,445000,344
2011,South Yarra,Residential Apartment,569000,85
2012,Carlton,House/Townhouse,810000,68
2012,Melbourne (CBD),House/Townhouse,,2
2012,Melbourne (Remainder),Residential Apartment,575000,64
2012,Parkville,Residential Apartment,515000,133
2012,South Yarra,Residential Apartment,52,103
2012,Southbank,Residential Apartment,570000,1013
2012,West Melbourne (Residential),Residential Apartment,510000,216
2013,Docklands,Residential Apartment,585000,1195
2013,East Melbourne,House/Townhouse,1825000,42
2013,East Melbourne,Residential Apartment,617500,176
2013,North Melbourne,Residential Apartment,450000,192
2013,Parkville,House/Townhouse,101,27
2013,South Yarra,Residential Apartment,650000,113
2013,West Melbourne (Residential),House/Townhouse,858000,29
2014,Carlton,Residential Apartment,435000,579
