pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:ALM_EN1_11197_walkway_1","vic:rail:ALM_EN1","11197","1","1","30"
"vic:rail:ALM_EN1_26101_walkway_1","vic:rail:ALM_EN1","26101","1","1","18"
"vic:rail:BEL_PR1_vic:rail:BEL_EN1_walkway_1","vic:rail:BEL_PR1","vic:rail:BEL_EN1","1","1","90"
"vic:rail:BEL_BR1_vic:rail:BEL_EN2_walkway_1","vic:rail:BEL_BR1","vic:rail:BEL_EN2","1","1","18"
"vic:rail:BEL_EN1_26117_walkway_1","vic:rail:BEL_EN1","26117","1","1","240"
"vic:rail:BEL_EN1_vic:rail:BEL_CN1_walkway_1","vic:rail:BEL_EN1","vic:rail:BEL_CN1","1","1","18"
"vic:rail:BEL_EN2_vic:rail:BEL_CN1_walkway_1","vic:rail:BEL_EN2","vic:rail:BEL_CN1","1","1","18"
"vic:rail:BEL_CN1_15381_stairs_1","vic:rail:BEL_CN1","15381","2","1","42"
"vic:rail:BEL_CN1_15381_elevator_1","vic:rail:BEL_CN1","15381","5","1","60"
"vic:rail:BEL_CN1_15382_stairs_1","vic:rail:BEL_CN1","15382","2","1","42"
"vic:rail:BEL_CN1_15382_elevator_1","vic:rail:BEL_CN1","15382","5","1","60"
"vic:rail:CHL_BR1_vic:rail:CHL_EN1_walkway_1","vic:rail:CHL_BR1","vic:rail:CHL_EN1","1","1","12"
"vic:rail:CHL_BR1_vic:rail:CHL_DP1_walkway_1","vic:rail:CHL_BR1","vic:rail:CHL_DP1","1","1","120"
"vic:rail:CHL_PR1_vic:rail:CHL_EN1_walkway_1","vic:rail:CHL_PR1","vic:rail:CHL_EN1","1","1","84"
"vic:rail:CHL_PR1_vic:rail:CHL_DP1_walkway_1","vic:rail:CHL_PR1","vic:rail:CHL_DP1","1","1","246"
"vic:rail:CHL_PR2_vic:rail:CHL_EN1_walkway_1","vic:rail:CHL_PR2","vic:rail:CHL_EN1","1","1","72"
"vic:rail:CHL_PR2_vic:rail:CHL_DP1_walkway_1","vic:rail:CHL_PR2","vic:rail:CHL_DP1","1","1","54"
"vic:rail:CHL_DP1_vic:rail:CHL_EN1_walkway_1","vic:rail:CHL_DP1","vic:rail:CHL_EN1","1","1","72"
"vic:rail:CHL_DP1_vic:rail:CHL_DP2_walkway_1","vic:rail:CHL_DP1","vic:rail:CHL_DP2","1","1","36"
"vic:rail:CHL_DP1_vic:rail:CHL_DP3_walkway_1","vic:rail:CHL_DP1","vic:rail:CHL_DP3","1","1","72"
"vic:rail:CHL_DP2_26140_walkway_1","vic:rail:CHL_DP2","26140","1","1","66"
"vic:rail:CHL_DP2_vic:rail:CHL_DP3_walkway_1","vic:rail:CHL_DP2","vic:rail:CHL_DP3","1","1","36"
"vic:rail:CHL_DP2_vic:rail:CHL_EN2_walkway_1","vic:rail:CHL_DP2","vic:rail:CHL_EN2","1","1","120"
"vic:rail:CHL_DP3_vic:rail:CHL_EN4_walkway_1","vic:rail:CHL_DP3","vic:rail:CHL_EN4","1","1","66"
"vic:rail:CHL_DP3_vic:rail:CHL_EN5_walkway_1","vic:rail:CHL_DP3","vic:rail:CHL_EN5","1","1","66"
"vic:rail:CHL_EN1_14330_walkway_1","vic:rail:CHL_EN1","14330","1","1","6"
"vic:rail:CHL_EN2_26140_walkway_1","vic:rail:CHL_EN2","26140","1","1","60"
"vic:rail:CHL_EN2_14331_walkway_1","vic:rail:CHL_EN2","14331","1","1","6"
"vic:rail:CHL_EN3_14331_walkway_1","vic:rail:CHL_EN3","14331","1","1","6"
"vic:rail:CWD_PR1_vic:rail:CWD_EN5_walkway_1","vic:rail:CWD_PR1","vic:rail:CWD_EN5","1","1","24"
"vic:rail:CWD_PR1_vic:rail:CWD_EN6_walkway_1","vic:rail:CWD_PR1","vic:rail:CWD_EN6","1","1","42"
"vic:rail:CWD_PR1_vic:rail:CWD_EN3_walkway_1","vic:rail:CWD_PR1","vic:rail:CWD_EN3","1","1","90"
"vic:rail:CWD_PR1_vic:rail:CWD_EN2_walkway_1","vic:rail:CWD_PR1","vic:rail:CWD_EN2","1","1","108"
"vic:rail:CWD_EN1_vic:rail:CWD_EN4_walkway_1","vic:rail:CWD_EN1","vic:rail:CWD_EN4","1","1","42"
"vic:rail:CWD_EN1_14335_stairs_1","vic:rail:CWD_EN1","14335","2","1","18"
"vic:rail:CWD_EN2_26142_walkway_1","vic:rail:CWD_EN2","26142","1","1","174"
"vic:rail:CWD_EN2_14335_walkway_1","vic:rail:CWD_EN2","14335","1","1","180"
