service_id,date,exception_type
"MF10-21-663-aus","20250818","2"
"MF10-21-663-aus","20250819","2"
"MF10-21-663-aus","20250820","2"
"MF10-21-663-aus","20250825","2"
"MF10-21-663-aus","20250826","2"
"MF10-21-663-aus","20250827","2"
"MF10-21-663-aus","20250901","2"
"MF10-21-663-aus","20250902","2"
"MF10-21-663-aus","20250903","2"
"MF10-21-663-aus","20250908","2"
"MF10-21-663-aus","20250909","2"
"MF10-21-663-aus","20250910","2"
"MF10-21-663-aus","20250915","2"
"MF10-21-663-aus","20250916","2"
"MF10-21-663-aus","20250917","2"
"MF10-21-663-aus","20250922","2"
"MF10-21-663-aus","20250923","2"
"MF10-21-663-aus","20250924","2"
"MF10-21-663-aus","20250929","2"
"MF10-21-663-aus","20250930","2"
"MF10-21-663-aus","20251001","2"
"MF10-21-663-aus","20251006","2"
"MF10-21-663-aus","20251007","2"
"MF10-21-663-aus","20251008","2"
"MF10-21-663-aus","20251013","2"
"MF10-21-663-aus","20251014","2"
"MF10-21-663-aus","20251015","2"
"MF10-21-663-aus","20251020","2"
"MF10-21-663-aus","20251021","2"
"MF10-21-663-aus","20251022","2"
"MF10-21-663-aus","20251027","2"
"MF10-21-663-aus","20251028","2"
"MF10-21-663-aus","20251029","2"
"MF10-21-663-aus","20251103","2"
"MF10-21-663-aus","20251104","2"
"MF10-21-663-aus","20251105","2"
"MF10-21-664-aus","20250818","2"
"MF10-21-664-aus","20250819","2"
"MF10-21-664-aus","20250820","2"
"MF10-21-664-aus","20250825","2"
"MF10-21-664-aus","20250826","2"
"MF10-21-664-aus","20250827","2"
"MF10-21-664-aus","20250901","2"
"MF10-21-664-aus","20250902","2"
"MF10-21-664-aus","20250903","2"
"MF10-21-664-aus","20250908","2"
"MF10-21-664-aus","20250909","2"
"MF10-21-664-aus","20250910","2"
"MF10-21-664-aus","20250915","2"
"MF10-21-664-aus","20250916","2"
"MF10-21-664-aus","20250917","2"
"MF10-21-664-aus","20250922","2"
"MF10-21-664-aus","20250923","2"
"MF10-21-664-aus","20250924","2"
"MF10-21-664-aus","20250929","2"
"MF10-21-664-aus","20250930","2"
"MF10-21-664-aus","20251001","2"
"MF10-21-664-aus","20251006","2"
