document_name,term,definition,purpose_or_function,permit_related_information,authority_involved,related_components,source_section
08-Management-of-Sites-of-Cultural-Significance.pdf,planning scheme,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
08-Management-of-Sites-of-Cultural-Significance.pdf,zone,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
08-Management-of-Sites-of-Cultural-Significance.pdf,overlay,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
08-Management-of-Sites-of-Cultural-Significance.pdf,planning permit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
08-Management-of-Sites-of-Cultural-Significance.pdf,responsible authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
08-Management-of-Sites-of-Cultural-Significance.pdf,planning authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
08-Management-of-Sites-of-Cultural-Significance.pdf,schedule,"MANAGEMENT OF SITES OF CULTURAL SIGNIFICANCE 8.01 General Policy The protection and conservation of land, features or buildings designated as Sites of Cultural Significancemust beensured. Management of Sites of Cultural Significance The use, development, alteration or demolition of a site or feature, designated as a Site of Cultural Significance in Schedule 2, may only be allowed where it will be subject toaplanningpermit andwhereit is demonstratedthat:  the integrity and the special values of the site or feature will not be jeopardised; and  where relevant, advice pursuant to the provisions of the Archaeological and Aboriginal Relics Preservation Act 1972 (as amended) and/or the Historical Buildings Act 1981,has beenobtainedandhadregardto. Restoration of Sites of Cultural Significancemust beactivelyencouragedandall owners and occupiers of Sites of Cultural Significance must be informed of their site’s importanceandsignificance,andofthebest ways toconserveandprotect them.",Not specified,Not specified,Not specified,schedule,8.01
14-Manufacturing-and-Industry.pdf,planning scheme,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
14-Manufacturing-and-Industry.pdf,zone,"Saw Mills 62. REGIONALSTRATEGYPLAN - MANUFACTURINGANDINDUSTRY New sawmills may be allowed in existing industrial zones or in appropriate zones withinRural PolicyAreas, providedthat it is demonstratedthat;  thesiteis suitableandcapableofsupportingsuchauseanddevelopment;  there are no physical or environmental constraints affecting the land on which thedevelopment andusewill occur;  detriment tothelandscapevalues oftheareawill beminimised;  thereis adequateprovisionofessential services;  noise and waste discharges to the environment are controlled and are in accordancewithstandards approvedbytheE.P.A.;  the land is not within an area subject to high bush fire danger and that appropriatemeasures forfirepreventionaretaken,and  the land is serviced with suitable vehicular access and the development will not causeadversetrafficimpacts onsurroundingroads. Employment Issues In support of the primary purposes for these policies, consideration must be given not only to employment generation, but to servicing the educational and training needs of theRegion's residents.",Designates land for particular uses.,Not specified,Not specified,zone,Not specified
14-Manufacturing-and-Industry.pdf,overlay,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
14-Manufacturing-and-Industry.pdf,planning permit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
14-Manufacturing-and-Industry.pdf,responsible authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
14-Manufacturing-and-Industry.pdf,planning authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
14-Manufacturing-and-Industry.pdf,schedule,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
