Geo Point,Geo Shape,total
"-37.843406112352376, 144.98490735020218","{""coordinates"": [[[[144.98541694518966, -37.84319604667665], [144.98530342507928, -37.843736843962766], [144.9844418608, -37.84362280261452], [144.9844032066201, -37.84357292739343], [144.98451131989884, -37.84307602627635], [144.98541694518966, -37.84319604667665]]]], ""type"": ""MultiPolygon""}",68.7764274386
"-37.84218330812017, 144.98515315955768","{""coordinates"": [[[[144.9855461804882, -37.84253066979061], [144.98546594924125, -37.84292160549242], [144.9845651072796, -37.842802154030196], [144.98483811260553, -37.841444234669844], [144.9857437246753, -37.84156810961699], [144.98563924912895, -37.84207719357423], [144.9856374286443, -37.84208604789806], [144.9855545260107, -37.842490001758556], [144.9855461804882, -37.84253066979061]]]], ""type"": ""MultiPolygon""}",162.968659394
"-37.83593758973465, 144.97696708749334","{""coordinates"": [[[[144.97721026778774, -37.83652568204119], [144.97712899683629, -37.836920457337605], [144.9769529390968, -37.836847804225386], [144.9767811002, -37.83676905401907], [144.97661381563518, -37.83668436047426], [144.97645141199632, -37.836593888949956], [144.97654301314319, -37.83613682248592], [144.97654430051617, -37.83612838269481], [144.97668162932607, -37.83546614887829], [144.9766849369462, -37.83543783696546], [144.97676182153992, -37.83506055018803], [144.97749449901872, -37.83515266930904], [144.97741783648118, -37.835529446634425], [144.97741233472868, -37.83555822553254], [144.97730445842902, -37.83607451221103], [144.9772976604698, -37.836107046667514], [144.97724686255492, -37.8363501581759], [144.97724177369756, -37.83637451240291], [144.97721608407053, -37.836497458166676], [144.97721026778774, -37.83652568204119]]]], ""type"": ""MultiPolygon""}",485.948970382
"-37.83578656889672, 144.9812595716383","{""coordinates"": [[[[144.9822490509734, -37.834943284170805], [144.98214351158904, -37.83545289740574], [144.98213138040796, -37.83550777788962], [144.98209986903964, -37.83565963445095], [144.98208426217408, -37.83571154455509], [144.98190954499339, -37.836576284664645], [144.98190240464396, -37.83660496991213], [144.98178180390178, -37.83720445291349], [144.98115236627498, -37.83712453142043], [144.98110163842296, -37.837117136976566], [144.98075566940926, -37.837075354487304], [144.98087790840069, -37.83646677462686], [144.98088512474317, -37.83643632174158], [144.9810604145202, -37.835573539852184], [144.98107113592832, -37.835517472795566], [144.9811009080857, -37.83536738916785], [144.98111266892556, -37.8353136838877], [144.98100793406846, -37.835299257440106], [144.9809962114432, -37.83535278786049], [144.98096264860078, -37.83551436841708], [144.98095910645097, -37.83553675583619], [144.98077915736735, -37.8364203467819], [144.98077075310584, -37.836456853094006], [144.9806373456123, -37.83711534626183], [144.98177137903434, -37.83726132715395], [144.98169594215102, -37.83762055512916], [144.98083415322472, -37.837510721024685], [144.98056684868138, -37.83747363986806], [144.98010341232987, -37.837414547427464], [144.98016474320707, -37.83710640709902], [144.98017005717813, -37.837079708588305], [144.98030590808787, -37.83639715136241], [144.9803137795985, -37.83635768910289], [144.98049435255106, -37.83547517289877], [144.98049908645592, -37.83545095931755], [144.98053123674856, -37.835295175476894], [144.98054259340915, -37.83524007157176], [144.98064399767776, -37.83474804027518], [144.9806482315245, -37.83472676934399], [144.98072997285763, -37.834340570506875], [144.98073599486384, -37.834309745675625], [144.98074186113024, -37.83428266323312], [144.98080082155252, -37.834010462275174], [144.9809953928094, -37.83403470677733], [144.98227553298966, -37.834210058420226], [144.9823024371665, -37.83421617744368], [144.98232694781646, -37.834226894467584], [144.98234783398905, -37.83424167112218], [144.9823640468238, -37.834259765451826], [144.9823747720928, -37.834280268749154], [144.98237947113537, -37.834302151427785], [144.9823779081426, -37.834324314631075], [144.9823445723011, -37.83449059714088], [144.98234003430295, -37.83451452646463], [144.9822490509734, -37.834943284170805]]]], ""type"": ""MultiPolygon""}",2884.86399262
"-37.83406350461134, 144.97631822658767","{""coordinates"": [[[[144.97877825475032, -37.83374864641492], [144.97849512956597, -37.83509103233124], [144.97775722009214, -37.834997779583254], [144.97753135520054, -37.8349692351124], [144.97679877346968, -37.834876649385805], [144.9765811069426, -37.834849139195136], [144.97496203318602, -37.83464449593505], [144.9747522223182, -37.834392955242485], [144.97460039772554, -37.83423925607906], [144.97444245664693, -37.8340894843372], [144.97427856051982, -37.83394379306798], [144.97410887686408, -37.83380233115173], [144.97393357911105, -37.83366524314596], [144.97375284642578, -37.833532669137504], [144.97356686352433, -37.83340474459975], [144.97337582048462, -37.833281600254146], [144.9731799125523, -37.83316336193657], [144.97297933994165, -37.833050150468985], [144.97297496883252, -37.83304708456533], [144.97297132126312, -37.8330434721754], [144.97296850417374, -37.833039419208326], [144.97296660015635, -37.83303504449001], [144.97296566503326, -37.833030476279575], [144.9729657262206, -37.83302584850897], [144.97296678192401, -37.83302129685632], [144.97296880119225, -37.83301695476805], [144.97297172482357, -37.83301294954662], [144.9729754671022, -37.833009398617946], [144.9729799183111, -37.833006406089], [144.97298494794856, -37.833004059695426], [144.9729904085546, -37.83300242822932], [144.9729961400339, -37.83300155952237], [144.97300197434967, -37.83300147904348], [144.97300774045027, -37.833002189152225], [144.97609565286183, -37.833401670029346], [144.97619458383983, -37.833414467243756], [144.97877825475032, -37.83374864641492]]]], ""type"": ""MultiPolygon""}",1937.34736799
"-37.830704618332284, 144.96629606157555","{""coordinates"": [[[[144.96718661865953, -37.83094943357159], [144.96598201268355, -37.83130057755087], [144.96536138974412, -37.83067308080506], [144.96541710545816, -37.830487612076126], [144.96678903676002, -37.83008913140366], [144.96718661865953, -37.83094943357159]]]], ""type"": ""MultiPolygon""}",8010.54341636
"-37.829273313152484, 144.966278821237","{""coordinates"": [[[[144.9666694088239, -37.8298350354545], [144.96550998428802, -37.83017159193772], [144.96603268352249, -37.828443765810626], [144.96703270132883, -37.828634079875854], [144.9666694088239, -37.8298350354545]]]], ""type"": ""MultiPolygon""}",1213.35972686
"-37.827919536972495, 144.96031443183432","{""coordinates"": [[[[144.9601135554865, -37.8284054492641], [144.95999389857923, -37.82843158034696], [144.9599301885393, -37.8282936042565], [144.95981349569348, -37.82803812361673], [144.95973589556513, -37.827870591996515], [144.95973071036764, -37.827857627411305], [144.95964487792202, -37.827671570367386], [144.9600020131364, -37.82756791952459], [144.96004233477217, -37.82755621690337], [144.96061718387926, -37.82738937613478], [144.96078603727528, -37.82775472703997], [144.96090448833954, -37.828009794170995], [144.9609854648786, -37.82818515963941], [144.9609017214085, -37.828206693921146], [144.9601135554865, -37.8284054492641]]]], ""type"": ""MultiPolygon""}",265.783239
"-37.82817657604828, 144.9637377029284","{""coordinates"": [[[[144.9640303407645, -37.82913703621383], [144.96400679602925, -37.829240446426425], [144.96395980052893, -37.82923248762065], [144.96390206774942, -37.82919528204626], [144.9638810709872, -37.8291739791302], [144.96326311782377, -37.82854701018409], [144.96323386070452, -37.828509858499444], [144.9630808251989, -37.82831552849175], [144.96287094883795, -37.82810258593182], [144.96271007753947, -37.82797281471243], [144.96281513398753, -37.827820401734876], [144.96302039443356, -37.82771561354254], [144.9636238489724, -37.82761401941381], [144.9643774071932, -37.82739869477483], [144.96441108171993, -37.82746612202886], [144.96443835752675, -37.82753534487258], [144.96445908429735, -37.827605981866455], [144.96447314780127, -37.82767764377747], [144.96448047052428, -37.82774993572369], [144.9644811342764, -37.82781918122758], [144.96447561254593, -37.827888290090755], [144.964463933055, -37.8279569151355], [144.96439351841772, -37.82817315079333], [144.96437144145116, -37.828240946505005], [144.96417706098202, -37.82868592475491], [144.9641097349201, -37.82886655651576], [144.96405137041543, -37.82906562137563], [144.96404029545704, -37.82910122302125], [144.9640303407645, -37.82913703621383]]]], ""type"": ""MultiPolygon""}",4372.55748844
"-37.827599861257376, 144.95443394746553","{""coordinates"": [[[[144.95484077676474, -37.82751306113924], [144.95476048473253, -37.82766844823448], [144.95469378734396, -37.82765353394877], [144.95467033732305, -37.8277084005641], [144.9546403139744, -37.82780580796478], [144.9545861588731, -37.827938495957646], [144.9545722942631, -37.82794252641663], [144.95455127025554, -37.82802556728778], [144.95378843180947, -37.82785491983695], [144.9537845239446, -37.82784646019785], [144.95362346186937, -37.827793615765835], [144.95360818600687, -37.827788603659], [144.95415313809568, -37.827532636568115], [144.95413971883562, -37.8275296357677], [144.95411386364535, -37.8275234288856], [144.9543097555551, -37.82743423509329], [144.95450200797794, -37.82734019133077], [144.9546904301192, -37.82724139093386], [144.95487483498806, -37.827137931959065], [144.95505503958293, -37.827029917085945], [144.955230865073, -37.826917453515385], [144.95512324987138, -37.82706207343376], [144.9550222773516, -37.82720967653779], [144.9549280788163, -37.82736007094401], [144.95484077676474, -37.82751306113924]]]], ""type"": ""MultiPolygon""}",0.0
