,block_id,geo_point_coords,CLUE,block_area,total_energy_consumption,total_jobs,business_establishments
0,869,"-37.843406112352376, 144.98490735020218",South Yarra,17177.000556931802,135.01050943,0,0
1,868,"-37.84218330812017, 144.98515315955768",South Yarra,19658.176469308528,162.9686594,47,3
2,864,"-37.83593758973465, 144.97696708749334",South Yarra,19412.92005422523,485.9489704,11,4
3,861,"-37.83578656889672, 144.9812595716383",South Yarra,83145.65579394069,2884.863993,202,17
4,863,"-37.83406350461134, 144.97631822658767",Melbourne (Remainder),98538.48024198323,1937.347368,0,1
5,746,"-37.830704618332284, 144.96629606157555",Southbank,20830.04620578051,8010.543416,1449,47
6,744,"-37.829273313152484, 144.966278821237",Southbank,24196.848380055897,1213.359727,168,10
7,734,"-37.827919536972495, 144.96031443183432",Southbank,27439.084628686993,6502.743001,250,16
8,740,"-37.82817657604828, 144.9637377029284",Southbank,27376.868755324896,4372.557488,202,6
9,728,"-37.827599861257376, 144.95443394746553",Southbank,10845.035006974518,0.0,0,2
10,778,"-37.82491678587185, 144.93348521684402",Port Melbourne,105841.32680254434,6448.522329,889,30
11,780,"-37.825721024223554, 144.92336247943234",Port Melbourne,114328.77747967796,0.0,0,2
12,852,"-37.8307311439858, 144.97366437123915",Melbourne (Remainder),1592981.9349532875,2757.677827646,258,23
13,806,"-37.82666631816131, 144.95838717714992",Southbank,54160.30746629443,22654.946647,797,19
14,729,"-37.82700528530559, 144.9563172079273",Southbank,38291.08953766466,6122.958387,92,3
15,809,"-37.82586912315373, 144.96123183810005",Southbank,12143.281579858769,1733.71359,64,6
16,742,"-37.826733641999645, 144.9687446768786",Southbank,59028.4949378448,1679.162033,8,5
17,736,"-37.82606485488025, 144.9631525329207",Southbank,50229.94553726296,4158.569711,301,11
18,739,"-37.82483317872804, 144.96763483297423",Southbank,33141.85299450117,3097.406485,676,10
19,773,"-37.823154607386094, 144.94005552158262",Docklands,22921.47924758702,1703.9466986,180,32
20,808,"-37.8242675015963, 144.96119609566335",Southbank,27931.804931025163,6762.073167,747,34
21,807,"-37.82416699427056, 144.95981872477418",Southbank,24349.980603126787,24803.24025,593,5
22,660,"-37.82521911662433, 144.98418835045626",Melbourne (Remainder),289185.45925237995,35595.56468,1980,20
23,811,"-37.82347693917185, 144.96359597499426",Southbank,21791.220112588606,11351.674994,96,9
24,786,"-37.825824663639175, 144.91627848176725",Port Melbourne,1267210.925119647,34193.16461,1529,53
25,781,"-37.82228544071431, 144.9239028029379",Port Melbourne,230945.79784526688,10759.46063,1320,82
26,1108,"-37.82060188283007, 144.94356668030292",Docklands,839271.9815339617,109414.0359007,16780,193
27,801,"-37.82173515248995, 144.96455379868308",Southbank,48607.264114427555,21809.577898,4833,67
28,1105,"-37.820543759797125, 144.95157362804156",Docklands,105551.38066312164,129243.8553339,25531,142
29,1,"-37.82146786297553, 144.95658674375144",Melbourne (CBD),44375.460088007334,2639.853639,454,21
30,752,"-37.82194954991465, 144.96844533430155",Southbank,69750.91144020259,851.6409959,1770,14
31,1104,"-37.819251278807506, 144.94797534594042",Docklands,12459.427169308148,2704.612714,210,46
32,13,"-37.81855892830977, 144.96153713738002",Melbourne (CBD),25444.139741844847,12716.678215,2333,67
33,656,"-37.818005221254154, 144.98051191944526",East Melbourne,66896.1764596097,6791.2117717,684,32
34,23,"-37.81766093100974, 144.96113444401297",Melbourne (CBD),24677.95248613425,47491.7308,3614,100
35,24,"-37.817104196252366, 144.9630691727303",Melbourne (CBD),30781.647494865505,33590.60739,7380,204
