,block_id,geo_point_coords,CLUE,block_area,total_jobs,business_establishments,commercial_area,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
0,869,"-37.843406112352376, 144.98490735020218",South Yarra,17177.000556931802,0,0,3601.0,1.8265704139255983,27774.0,residence,public_service,"residence: 27774, public_service: 3601"
1,868,"-37.84218330812017, 144.98515315955768",South Yarra,19658.176469308528,45,3,1287.0,1.1697019025333197,21707.0,residence,public_service,"residence: 21707, public_service: 1287"
2,864,"-37.83593758973465, 144.97696708749334",South Yarra,19412.92005422523,19,4,3869.0,1.2200185452297547,19814.0,residence,public_service,"residence: 19814, public_service: 3869"
3,861,"-37.83578656889672, 144.9812595716383",South Yarra,83145.65579394069,205,19,8024.0,0.8863671898490588,65673.0,residence,public_service,"residence: 65673, public_service: 5812, leisure: 1836"
4,863,"-37.83406350461134, 144.97631822658767",Melbourne (Remainder),98538.48024198323,0,1,0.0,,0.0,,,
5,746,"-37.830704618332284, 144.96629606157555",Southbank,20830.04620578051,1644,54,32529.0,1.8532405184829572,6074.0,business,residence,"business: 27270, residence: 6074, public_service: 4658, leisure: 601"
6,744,"-37.829273313152484, 144.966278821237",Southbank,24196.848380055897,207,17,12773.0,0.8635311621755662,8121.0,public_service,residence,"public_service: 8209, residence: 8121, business: 4564"
7,734,"-37.827919536972495, 144.96031443183432",Southbank,27439.084628686993,244,26,15226.0,0.9935857720762419,12037.0,residence,public_service,"residence: 12037, public_service: 10676, business: 4550"
8,740,"-37.82817657604828, 144.9637377029284",Southbank,27376.868755324896,145,3,0.0,,0.0,,,
9,728,"-37.827599861257376, 144.95443394746553",Southbank,10845.035006974518,0,3,0.0,,0.0,,,
10,778,"-37.82491678587185, 144.93348521684402",Port Melbourne,105841.32680254434,749,32,41052.0,0.6481514724917565,27549.0,business,residence,"business: 37472, residence: 27549, public_service: 3580"
11,780,"-37.825721024223554, 144.92336247943234",Port Melbourne,114328.77747967796,0,2,0.0,,0.0,,,
12,852,"-37.8307311439858, 144.97366437123915",Melbourne (Remainder),1592981.9349532875,272,23,857722.0,0.6196351368911494,129345.0,public_service,residence,"public_service: 846827, residence: 129345, business: 10783"
13,806,"-37.82666631816131, 144.95838717714992",Southbank,54160.30746629443,840,27,41985.0,0.7752031019202363,0.0,public_service,leisure,"public_service: 28213, leisure: 11294"
14,729,"-37.82700528530559, 144.9563172079273",Southbank,38291.08953766466,148,10,26106.0,3.6183437361259827,112444.0,residence,public_service,"residence: 112444, public_service: 23378, business: 372"
15,809,"-37.82586912315373, 144.96123183810005",Southbank,12143.281579858769,20,3,0.0,,0.0,,,
16,742,"-37.826733641999645, 144.9687446768786",Southbank,59028.4949378448,2,5,15482.0,1.302093921528766,61378.0,residence,public_service,"residence: 61378, public_service: 15482"
17,736,"-37.82606485488025, 144.9631525329207",Southbank,50229.94553726296,71,5,0.0,0.0985088295606124,4948.0,residence,business,residence: 4948
18,739,"-37.82483317872804, 144.96763483297423",Southbank,33141.85299450117,334,5,5709.0,0.17226396306689598,0.0,public_service,business,public_service: 5709
19,773,"-37.823154607386094, 144.94005552158262",Docklands,22921.47924758702,158,28,51303.0,12.133676541163126,226813.0,residence,public_service,"residence: 226813, public_service: 47102, business: 3158, leisure: 1043"
20,808,"-37.8242675015963, 144.96119609566335",Southbank,27931.804931025163,819,31,44704.0,4.630661272421324,84635.0,residence,public_service,"residence: 84635, public_service: 29103, business: 13216, leisure: 714"
21,807,"-37.82416699427056, 144.95981872477418",Southbank,24349.980603126787,848,5,12926.0,0.6863526222842827,3786.0,business,residence,"business: 10108, residence: 3786, leisure: 2818"
22,660,"-37.82521911662433, 144.98418835045626",Melbourne (Remainder),289185.45925237995,1717,17,120469.0,0.6776112177325934,75486.0,residence,public_service,"residence: 75486, public_service: 62203, leisure: 47433, business: 10833"
23,811,"-37.82347693917185, 144.96359597499426",Southbank,21791.220112588606,27,3,11375.0,0.8107475563305953,6292.0,public_service,residence,"public_service: 11375, residence: 6292"
24,786,"-37.825824663639175, 144.91627848176725",Port Melbourne,1267210.925119647,3364,66,127001.0,0.3293392571081352,290341.0,residence,business,"residence: 290341, business: 80039, public_service: 43782, leisure: 1208"
25,781,"-37.82228544071431, 144.9239028029379",Port Melbourne,230945.79784526688,1943,111,109119.0,0.71457706380307,55909.0,business,residence,"business: 57323, residence: 55909, manufacture: 39211, public_service: 12213"
26,1108,"-37.82060188283007, 144.94356668030292",Docklands,839271.9815339617,17788,127,448661.0,0.8168910876224723,236932.0,residence,public_service,"residence: 236932, public_service: 219879, business: 206275, leisure: 12191, education: 3248, healthcare: 715"
27,801,"-37.82173515248995, 144.96455379868308",Southbank,48607.264114427555,2936,66,135394.0,3.4488242434217296,32243.0,public_service,business,"public_service: 70839, business: 56331, residence: 32243, leisure: 6458"
28,1105,"-37.820543759797125, 144.95157362804156",Docklands,105551.38066312164,13881,78,375289.0,3.8816685772754402,34425.0,business,public_service,"business: 231029, public_service: 136348, residence: 34425, leisure: 6332"
29,1,"-37.82146786297553, 144.95658674375144",Melbourne (CBD),44375.460088007334,657,29,22741.0,0.5514366197183098,1729.0,business,public_service,"business: 10964, public_service: 10362, residence: 1729, leisure: 517"
30,752,"-37.82194954991465, 144.96844533430155",Southbank,69750.91144020259,2067,14,11744.0,0.16837275985663083,0.0,public_service,leisure,"public_service: 8476, leisure: 3268"
31,1104,"-37.819251278807506, 144.94797534594042",Docklands,12459.427169308148,261,52,18755.0,4.444016373705755,36613.0,residence,public_service,"residence: 36613, public_service: 11606, leisure: 3483, business: 2676"
32,13,"-37.81855892830977, 144.96153713738002",Melbourne (CBD),25444.139741844847,2360,85,61468.0,2.9538987580569094,13691.0,business,public_service,"business: 38049, public_service: 19146, residence: 13691, leisure: 1858, education: 1209"
33,656,"-37.818005221254154, 144.98051191944526",East Melbourne,66896.1764596097,814,40,30313.0,1.3454167663238459,59690.0,residence,business,"residence: 59690, business: 19201, public_service: 10970, healthcare: 142"
34,23,"-37.81766093100974, 144.96113444401297",Melbourne (CBD),24677.95248613425,2836,119,91745.0,4.126028285447988,10073.0,business,public_service,"business: 47045, public_service: 39483, residence: 10073, leisure: 3215"
35,24,"-37.817104196252366, 144.9630691727303",Melbourne (CBD),30781.647494865505,7422,197,224155.0,8.353432312140606,32972.0,business,public_service,"business: 141759, public_service: 72947, residence: 32972, leisure: 4875, healthcare: 853"
36,662,"-37.817015663178, 144.98922477115508",East Melbourne,9646.684363737175,0,2,0.0,,0.0,,,
37,655,"-37.81657784744424, 144.9766578286724",East Melbourne,66027.80210744617,407,8,20774.0,1.6092356157329577,85479.0,residence,public_service,"residence: 85479, public_service: 15864, business: 3829, leisure: 1081"
38,658,"-37.819605162783866, 144.9851065883063",East Melbourne,596121.2001056649,4104,13,49732.0,0.08342601585919637,0.0,leisure,business,leisure: 49732
