,Unnamed: 0,block_id,geo_point_coords,CLUE,block_area,total_energy_consumption,total_jobs,business_establishments,commercial_area,energy_consumption_per_sqm,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
0,0,869,"-37.843406112352376, 144.98490735020218",South Yarra,17177.000556931802,135.01050943,0,0,3076.0,0.004302651708312085,1.826628631309309,28300.0,residence,public_service,"residence: 28300, public_service: 3076"
1,1,868,"-37.84218330812017, 144.98515315955768",South Yarra,19658.176469308528,162.9686594,47,3,2958.0,0.007296968605017792,1.1293620917692542,19243.0,residence,public_service,"residence: 19243, public_service: 2958"
2,2,864,"-37.83593758973465, 144.97696708749334",South Yarra,19412.92005422523,485.9489704,11,4,3878.0,0.01991132276870022,1.2547908510199877,20480.0,residence,public_service,"residence: 20480, public_service: 3878"
3,3,861,"-37.83578656889672, 144.9812595716383",South Yarra,83145.65579394069,2884.863993,202,17,8055.0,0.035659087255956574,0.9727223525166877,72822.0,residence,public_service,"residence: 72822, public_service: 5730, leisure: 1951, retail: 374"
4,4,863,"-37.83406350461134, 144.97631822658767",Melbourne (Remainder),98538.48024198324,1937.347368,0,1,0.0,,,0.0,,,
5,5,746,"-37.830704618332284, 144.96629606157555",Southbank,20830.04620578051,8010.543416,1449,47,25398.0,0.2545119471276055,1.5108977436389823,6074.0,business,residence,"business: 20740, residence: 6074, public_service: 4658"
6,6,744,"-37.829273313152484, 144.966278821237",Southbank,24196.848380055897,1213.359727,168,10,9963.0,0.06707586817075868,0.7473962638452637,8121.0,residence,public_service,"residence: 8121, public_service: 6783, business: 3180"
7,7,734,"-37.827919536972495, 144.96031443183432",Southbank,27439.084628686996,6502.743001,250,16,27912.0,0.04837473681077904,4.898465687525055,106497.0,residence,public_service,"residence: 106497, public_service: 25125, business: 1968, retail: 819"
8,8,740,"-37.82817657604828, 144.9637377029284",Southbank,27376.868755324896,4372.557488,202,6,519.0,8.423892100192678,0.01895821157218001,0.0,retail,business,retail: 519
9,9,728,"-37.827599861257376, 144.95443394746553",Southbank,10845.035006974518,0.0,0,2,0.0,,,0.0,,,
10,10,778,"-37.82491678587185, 144.93348521684402",Port Melbourne,105841.32680254434,6448.522329,889,30,34273.0,0.10429944032868559,0.5841025689477612,27549.0,business,residence,"business: 31846, residence: 27549, public_service: 2427"
