Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total establishments in block
2022,1,Melbourne (CBD),6,2,0,1,0,0,1,2,0,0,0,0,3,3,0,1,2,1,0,22
2022,4,Melbourne (CBD),11,0,0,5,0,1,0,0,1,0,0,0,2,0,0,0,6,5,0,31
2022,6,Melbourne (CBD),13,0,0,6,0,0,0,0,0,2,0,0,2,0,0,1,3,0,0,27
2022,16,Melbourne (CBD),18,1,0,3,3,1,0,6,1,0,0,0,4,6,0,2,8,0,0,53
2022,23,Melbourne (CBD),14,2,0,1,0,3,0,9,3,1,0,1,7,31,2,4,5,0,0,83
2022,25,Melbourne (CBD),23,4,0,3,3,23,0,6,11,3,13,0,32,14,0,5,46,2,25,213
2022,27,Melbourne (CBD),12,3,0,2,7,1,2,38,4,0,0,2,7,34,1,4,21,0,1,139
2022,28,Melbourne (CBD),25,4,0,0,1,0,1,19,24,1,1,0,11,25,12,3,20,2,1,150
2022,36,Melbourne (CBD),11,3,1,2,0,0,1,3,6,2,3,0,10,6,4,0,13,0,0,65
2022,38,Melbourne (CBD),19,3,0,0,1,4,0,27,55,1,4,0,15,26,1,7,9,1,3,176
2022,44,Melbourne (CBD),22,11,0,0,3,2,1,16,5,0,2,0,11,27,1,4,12,0,1,118
2022,45,Melbourne (CBD),14,1,0,3,0,3,0,2,2,2,1,0,8,1,1,3,56,0,3,100
2022,46,Melbourne (CBD),26,1,0,2,1,2,1,1,4,3,0,0,16,7,5,1,28,0,0,98
2022,54,Melbourne (CBD),28,7,0,6,1,18,0,4,6,1,2,0,19,28,1,3,24,1,0,149
2022,71,Melbourne (CBD),9,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,14
2022,73,Melbourne (CBD),2,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,14
2022,74,Melbourne (CBD),37,4,0,2,2,8,0,4,2,1,1,0,12,48,0,4,9,1,1,136
2022,77,Melbourne (CBD),16,2,0,0,3,9,0,8,3,0,0,1,9,10,3,1,2,0,0,67
