,CLUE,total_energy_consumption,energy_consumption_per_sqm,commercial_area,residential_area,plot_ratio,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,total_jobs
0,Docklands,449178,0.10744684744551267,2511276,1669191,2.203639394140661,residence,public_service,72917
1,Southbank,410564,0.13583639179497428,1357201,1665288,1.770434312986981,residence,public_service,42283
2,Melbourne (Remainder),139236,0.09385072695286434,1263063,220527,0.4782186011399189,public_service,residence,16490
3,West Melbourne (Residential),81693,0.11374575853479568,187276,530931,0.8657644256501006,residence,public_service,4290
4,Kensington,80934,0.04209865985880767,174042,1748442,0.3896276506807546,residence,business,6306
5,West Melbourne (Industrial),82361,0.038041803906027356,1640692,524321,0.3359357204435752,public_service,residence,3016
6,North Melbourne,170453,0.10979952357701163,428526,1123876,0.5718669383313545,residence,public_service,7460
7,East Melbourne,174633,0.129505702068585,552314,796144,0.6068850860939551,residence,public_service,20309
8,South Yarra,55276,0.07830027381581389,63942,642007,0.4588714846019945,residence,public_service,933
9,Melbourne (CBD),1840094,0.17812000454570007,7430202,2900440,3.996857651456209,business,public_service,215597
10,Port Melbourne,135552,0.12992744107582743,404737,638553,0.15182644614147864,residence,business,8491
11,Parkville,286033,0.15103917218960938,1433955,459812,0.35143319433250747,public_service,residence,27300
12,Carlton,214601,0.09973857090073363,1044045,1107590,0.6640604866673107,residence,public_service,14801
