,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
0,2387,0.0,14732.0,0.0,0.0,0.0,0.0,0.0,0,12419.0,14732.0
1,2390,0.0,23358.0,0.0,0.0,0.0,0.0,964.0,0,10460.0,24322.0
2,2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,2505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6693.0,0.0
4,2506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5407.0,0.0
5,2507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2599.0,0.0
6,2508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2135.0,0.0
7,2509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3680.0,0.0
8,2513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20041.0,0.0
9,2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3635.0,0.0
10,2517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3429.0,0.0
11,2519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5362.0,0.0
12,2520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13208.0,0.0
13,2529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5609.0,0.0
14,2534,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1216.0
15,2536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8812.0,0.0
16,2542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9938.0,0.0
17,2543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8993.0,0.0
18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19,4,1038.0,5818.0,6051.0,0.0,0.0,0.0,0.0,0,0.0,12907.0
20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
21,11,972.0,6216.0,40520.0,0.0,0.0,0.0,20797.0,0,48918.0,68505.0
22,13,791.0,36310.0,2106.0,0.0,0.0,0.0,23652.0,0,13691.0,62859.0
23,24,3920.0,139041.0,5164.0,3632.0,2228.0,0.0,71840.0,0,33866.0,225825.0
24,31,2644.0,21655.0,4487.0,22422.0,851.0,0.0,39242.0,0,71142.0,91301.0
25,33,2190.0,46685.0,18900.0,3866.0,2209.0,0.0,28387.0,0,24589.0,102237.0
26,38,1938.0,29172.0,9342.0,0.0,5593.0,0.0,39701.0,0,28998.0,85746.0
27,41,539.0,37823.0,6440.0,0.0,0.0,0.0,37878.0,0,10921.0,82680.0
28,43,2318.0,74885.0,8194.0,6152.0,0.0,0.0,49084.0,0,28287.0,140633.0
29,52,2326.0,127994.0,3932.0,0.0,0.0,0.0,90091.0,0,2699.0,224343.0
30,55,59924.0,6530.0,4636.0,0.0,0.0,0.0,13450.0,0,1232.0,84540.0
31,66,4466.0,5393.0,10656.0,1728.0,0.0,0.0,6233.0,0,1473.0,28476.0
32,68,1122.0,38612.0,19654.0,0.0,0.0,0.0,26369.0,0,20736.0,85757.0
33,74,3196.0,17848.0,7408.0,2273.0,0.0,0.0,25990.0,0,10146.0,56715.0
