Census year,Block ID,CLUE small area,Commercial Accommodation,Common Area,Community Use,Educational/Research,Entertainment/Recreation - Indoor,Equipment Installation,Hospital/Clinic,House/Townhouse,Institutional Accommodation,Manufacturing,Office,Park/Reserve,Parking - Commercial Covered,Parking - Commercial Uncovered,Parking - Private Covered,Parking - Private Uncovered,"Performances, Conferences, Ceremonies",Private Outdoor Space,Public Display Area,Residential Apartment,Retail - Cars,Retail - Shop,Retail - Showroom,Retail - Stall,Sports and Recreation - Outdoor,Square/Promenade,Storage,Student Accommodation,Transport,Transport/Storage - Uncovered,Unoccupied - Under Construction,Unoccupied - Under Demolition/Condemned,Unoccupied - Under Renovation,Unoccupied - Undeveloped Site,Unoccupied - Unused,Wholesale,Workshop/Studio,Total floor space in block
2013,2387,North Melbourne,0,,0,,,0,0,0,0,0,1460,0,0,0,0,0,0,12419,0,0,0,0,0,0,0,0,24296,0,0,0,0,0,0,0,,,,44471
2013,2390,North Melbourne,0,1040,0,,0,0,0,0,0,,3842,0,0,0,0,0,0,10460,0,0,0,,0,0,0,0,19895,0,0,0,0,0,0,0,5357,,5071,48332
2013,2501,Kensington,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,21456
2013,2505,Kensington,0,0,0,0,0,0,0,3462,0,0,0,0,0,0,,0,0,3231,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6971
2013,2506,Kensington,0,0,0,0,0,0,0,4382,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408
2013,2507,Kensington,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2599
2013,2508,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3830
2013,2509,Kensington,0,0,0,0,0,0,0,3712,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302
2013,2513,Kensington,0,0,0,0,0,0,0,7720,0,0,0,0,0,0,0,0,0,11312,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20241
2013,2516,Kensington,0,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
2013,2517,Kensington,0,0,0,0,0,0,0,1889,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430
2013,2519,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,9998
2013,2520,Kensington,0,,0,,,0,0,3369,0,0,0,0,0,0,0,0,,9991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18812
2013,2529,Kensington,0,0,0,0,0,0,0,2992,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7448
2013,2534,Kensington,0,,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8709
2013,2536,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5223,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9596
2013,2542,Kensington,0,0,0,0,0,0,0,3784,0,0,0,0,0,0,0,0,0,5137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8921
2013,2543,Kensington,0,0,0,0,0,0,0,4072,0,0,0,0,0,0,0,0,0,4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8881
2012,2,Melbourne (CBD),0,,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,20311
2012,4,Melbourne (CBD),0,13687,0,0,5037,0,0,0,0,0,11374,,,0,0,0,0,,,0,0,641,0,363,0,,,0,0,0,0,0,0,0,1518,0,0,72624
2012,5,Melbourne (CBD),0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,917
2012,11,Melbourne (CBD),20138,12374,0,0,5688,,0,0,0,0,11526,0,,0,5366,0,0,945,0,23228,0,595,0,0,,0,1040,0,0,0,0,,,0,7186,0,,96878
2012,13,Melbourne (CBD),0,19277,0,,1693,,0,0,0,0,36092,0,,0,10722,0,0,3173,,,0,2508,0,0,0,0,,0,0,0,0,0,0,0,8613,0,0,103334
2012,24,Melbourne (CBD),0,63211,0,3351,3687,3194,,0,0,0,115866,0,,0,5318,0,0,1387,0,14439,0,3959,0,,0,0,1168,0,0,0,0,0,,0,15332,0,0,274319
2012,31,Melbourne (CBD),0,25099,0,,5918,1478,,0,0,0,50677,0,,0,9282,0,0,824,0,,0,6272,0,0,0,0,9292,0,0,0,0,0,2145,0,3513,0,0,138704
2012,33,Melbourne (CBD),9917,26201,0,6952,9026,2127,1394,0,0,0,50435,0,0,0,6939,0,,692,0,16323,0,3746,0,0,0,0,1776,0,0,0,0,0,,0,16383,,0,157255
2012,38,Melbourne (CBD),,28046,0,,8711,4117,7587,,0,0,42080,0,0,0,4079,0,,3181,0,7967,0,1478,,,0,0,3258,0,,0,0,0,,0,4808,,1607,125385
2012,41,Melbourne (CBD),,15188,0,,3415,,0,0,0,0,32677,0,0,0,5589,,2930,3692,0,,0,,0,0,0,0,,0,0,0,0,,,0,4207,0,,86189
2012,43,Melbourne (CBD),,38733,0,6263,9456,10274,0,0,0,0,104162,0,,0,23772,0,,4515,0,0,0,3351,,0,0,0,,0,0,0,0,0,,0,11077,0,,236886
