geography,year,gender,age,value
Carlton,2032,Male,Age 0-4,412.00
Carlton,2033,Male,Age 0-4,422.00
Carlton,2036,Female,Age 0-4,447.00
Docklands,2026,Female,Age 0-4,568.00
Docklands,2031,Male,Age 0-4,782.00
Docklands,2036,Male,Age 0-4,886.00
Docklands,2042,Female,Age 0-4,974.00
East Melbourne,2025,Male,Age 0-4,58.00
East Melbourne,2027,Male,Age 0-4,71.00
Kensington,2023,Female,Age 0-4,331.00
Kensington,2028,Female,Age 0-4,538.00
Kensington,2039,Female,Age 0-4,743.00
Melbourne (CBD),2023,Male,Age 0-4,449.00
Melbourne (CBD),2036,Male,Age 0-4,1032.00
Melbourne (CBD),2037,Female,Age 0-4,1101.00
Melbourne (CBD),2038,Female,Age 0-4,1123.00
Melbourne (Remainder),2027,Female,Age 0-4,61.00
North Melbourne,2028,Female,Age 0-4,434.00
North Melbourne,2030,Male,Age 0-4,460.00
Parkville,2027,Female,Age 0-4,222.00
Parkville,2036,Male,Age 0-4,289.00
Parkville,2039,Female,Age 0-4,293.00
Parkville,2041,Female,Age 0-4,298.00
South Yarra,2029,Female,Age 0-4,91.00
South Yarra,2033,Female,Age 0-4,104.00
South Yarra,2039,Female,Age 0-4,108.00
South Yarra,2043,Female,Age 0-4,110.00
Southbank,2030,Male,Age 0-4,509.00
Southbank,2036,Female,Age 0-4,713.00
Southbank,2041,Male,Age 0-4,677.00
West Melbourne (Residential),2036,Male,Age 0-4,368.00
West Melbourne (Residential),2037,Male,Age 0-4,382.00
West Melbourne (Residential),2041,Female,Age 0-4,316.00
Melbourne (CBD),2040,Male,Age 0-4,1127.00
Melbourne (Remainder),2033,Female,Age 0-4,77.00
Melbourne (Remainder),2034,Female,Age 0-4,78.00
Melbourne (Remainder),2034,Male,Age 0-4,37.00
Melbourne (Remainder),2042,Male,Age 0-4,38.00
North Melbourne,2024,Female,Age 0-4,293.00
North Melbourne,2041,Female,Age 0-4,761.00
Parkville,2026,Female,Age 0-4,202.00
Port Melbourne,2033,Male,Age 0-4,5.00
Port Melbourne,2035,Female,Age 0-4,12.00
Southbank,2034,Male,Age 0-4,582.00
Southbank,2040,Female,Age 0-4,774.00
Southbank,2043,Female,Age 0-4,821.00
West Melbourne (Industrial),2024,Female,Age 0-4,0.00
West Melbourne (Industrial),2027,Male,Age 0-4,0.00
West Melbourne (Industrial),2028,Female,Age 0-4,0.00
West Melbourne (Industrial),2028,Male,Age 0-4,0.00
City of Melbourne,2027,Male,Age 0-4,3707.00
City of Melbourne,2037,Female,Age 0-4,5438.00
Carlton,2026,Female,Age 0-4,303.00
Carlton,2031,Female,Age 0-4,416.00
Carlton,2037,Male,Age 0-4,418.00
Docklands,2025,Female,Age 0-4,511.00
Docklands,2029,Female,Age 0-4,690.00
Docklands,2038,Female,Age 0-4,882.00
Docklands,2041,Male,Age 0-4,992.00
East Melbourne,2023,Male,Age 0-4,45.00
East Melbourne,2028,Male,Age 0-4,76.00
East Melbourne,2029,Male,Age 0-4,80.00
East Melbourne,2035,Male,Age 0-4,93.00
East Melbourne,2037,Male,Age 0-4,94.00
East Melbourne,2039,Female,Age 0-4,142.00
East Melbourne,2043,Male,Age 0-4,98.00
Kensington,2027,Male,Age 0-4,556.00
Kensington,2032,Female,Age 0-4,617.00
Kensington,2040,Female,Age 0-4,758.00
Kensington,2041,Male,Age 0-4,826.00
Melbourne (CBD),2028,Male,Age 0-4,781.00
Melbourne (CBD),2031,Female,Age 0-4,923.00
Melbourne (CBD),2032,Female,Age 0-4,955.00
Melbourne (CBD),2034,Female,Age 0-4,1014.00
Melbourne (CBD),2035,Male,Age 0-4,1006.00
Melbourne (CBD),2036,Female,Age 0-4,1076.00
