timestamp,vibration_mm_s,tilt_degree,crack_width_mm,temperature_c,humidity_pct,inspection_report,anomaly_label,is_anomaly,anomaly_score,text_risk_score,sensor_threshold_score,final_risk_score,risk_level,recommended_action
2026-05-01 08:00:00,1.276,0.051,0.211,21.45,46.03,"Minor corrosion stains noted, no immediate movement detected.",1,0,-0.1605601283551446,4,0,4,Medium,Schedule engineering inspection within 7 days and monitor the affected sensor readings more frequently.
2026-05-01 08:15:00,0.94,0.058,0.172,23.87,59.2,Routine inspection: no major structural issues observed.,1,0,-0.1538803410888302,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 08:30:00,1.388,0.144,0.227,21.18,67.32,Routine inspection: no major structural issues observed.,1,0,-0.07055054830956886,0,1,1,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 08:45:00,1.435,0.055,0.21,22.16,56.03,Routine inspection: no major structural issues observed.,1,0,-0.18791802879023822,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 09:00:00,0.712,0.105,0.253,20.89,52.98,Routine inspection: no major structural issues observed.,1,0,-0.10127868171695226,0,2,2,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 09:15:00,0.874,0.053,0.209,20.66,54.15,Routine inspection: no major structural issues observed.,1,0,-0.168392812941546,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 09:30:00,1.232,0.108,0.117,19.44,58.69,Routine inspection: no major structural issues observed.,1,0,-0.16821678168458426,0,1,1,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 09:45:00,1.121,0.092,0.177,21.86,44.62,Routine inspection: no major structural issues observed.,1,0,-0.15623516483982713,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 10:00:00,1.196,0.075,0.133,19.3,55.99,Routine inspection: no major structural issues observed.,1,0,-0.18828891479433457,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 10:15:00,0.987,0.079,0.159,22.33,52.66,Routine inspection: no major structural issues observed.,1,0,-0.1892431292998923,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 10:30:00,1.42,0.06,0.24,23.17,66.09,Routine inspection: no major structural issues observed.,1,0,-0.08482868319894454,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 10:45:00,1.394,0.093,0.206,21.73,53.95,Routine inspection: no major structural issues observed.,1,0,-0.19515903921618466,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 11:00:00,1.217,0.066,0.152,20.43,65.01,Routine inspection: no major structural issues observed.,1,0,-0.14720245065150345,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 11:15:00,1.482,0.043,0.139,21.91,48.38,Routine inspection: no major structural issues observed.,1,0,-0.14388300435589135,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 11:30:00,1.317,0.042,0.181,20.38,58.52,Routine inspection: no major structural issues observed.,1,0,-0.18665917998745296,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 11:45:00,0.985,0.085,0.131,22.87,56.92,Routine inspection: no major structural issues observed.,1,0,-0.1650044057972358,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 12:00:00,1.292,0.127,0.153,17.34,49.79,Routine inspection: no major structural issues observed.,1,0,-0.12058658566780317,0,1,1,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 12:15:00,0.96,0.085,0.192,20.33,56.06,Routine inspection: no major structural issues observed.,1,0,-0.20194529442343234,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 12:30:00,1.42,0.076,0.226,17.02,62.28,Routine inspection: no major structural issues observed.,1,0,-0.11598810330863074,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 12:45:00,1.188,0.089,0.204,18.01,53.06,Routine inspection: no major structural issues observed.,1,0,-0.17578671071963564,0,0,0,Low,Continue routine monitoring and normal periodic inspection.
2026-05-01 13:00:00,1.154,0.119,0.088,23.73,44.85,Routine inspection: no major structural issues observed.,1,0,-0.043768219095568495,0,1,1,Low,Continue routine monitoring and normal periodic inspection.
