Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup, Incidents Recorded ," Rate per 100,000 population "
2025,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 58 , 0.8 
2025,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 21 , 0.3 
2025,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 14 , 0.2 
2025,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 103 , 1.5 
2025,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 10,087 ", 142.1 
2025,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,520 ", 120.1 
2025,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 2,343 ", 33.0 
2025,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 13,361 ", 188.3 
2025,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 13,441 ", 189.4 
2025,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 3,994 ", 56.3 
2025,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,817 ", 53.8 
2025,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 167 , 2.4 
2025,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children," 1,205 ", 17.0 
2025,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences," 1,350 ", 19.0 
2025,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 167 , 2.4 
2025,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 285 , 4.0 
2025,December,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences, 1 , 0.0 
2025,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,526 ", 35.6 
2025,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 295 , 4.2 
2025,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 229 , 3.2 
2025,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 150 , 2.1 
2025,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,460 ", 20.6 
2025,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 945 , 13.3 
2025,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 780 , 11.0 
2025,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 950 , 13.4 
2025,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,773 ", 39.1 
2025,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 2,434 ", 34.3 
2025,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving," 1,773 ", 25.0 
2025,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 21 , 0.3 
2025,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people," 1,134 ", 16.0 
2025,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 1,859 ", 26.2 
2025,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,754 ", 38.8 
2025,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 56 , 0.8 
2025,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 706 , 9.9 
2025,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 36,571 ", 515.3 
2025,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 3,630 ", 51.1 
2025,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 329 , 4.6 
2025,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 6,306 ", 88.9 
2025,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 368 , 5.2 
2025,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 7 , 0.1 
2025,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 19,506 ", 274.9 
2025,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 15,191 ", 214.1 
2025,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 91 , 1.3 
2025,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 24,423 ", 344.1 
2025,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 75,874 "," 1,069.1 "
2025,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 33,750 ", 475.6 
