Sensor Name,Suburb,Latitude,Longitude,Avg Hourly Pedestrians,Lighting-Relevant Incidents,Pedestrian (normalised),Crime (normalised),Priority Score,Priority Tier
Swa123_T,Melbourne,-37.81487988,144.9660878,2802,3260584,1.0,0.0,50.0,Medium
VAC_T,Melbourne,-37.82129925,144.96879309,2527,3260584,0.9017506252232941,0.0,45.1,Medium
SouthB_T,Melbourne,-37.82018685,144.96508508,2369,3260584,0.8453018935334048,0.0,42.3,Medium
QVN_T,Melbourne,-37.81057846,144.96444294,2355,3260584,0.8403001071811361,0.0,42.0,Medium
Swa31,Melbourne,-37.81668634,144.96689733,1663,3260584,0.5930689531975706,0.0,29.7,Low
PriNW_T,Melbourne,-37.81874249,144.96787656,1298,3260584,0.46266523758485173,0.0,23.1,Low
Eli124_T,Melbourne,-37.81512416,144.96371988,1271,3260584,0.45301893533404786,0.0,22.7,Low
ElFi_T,Melbourne,-37.81798049,144.96503383,1113,3260584,0.3965702036441586,0.0,19.8,Low
Bou688_T,Melbourne,-37.81686075,144.95358075,845,3260584,0.300821722043587,0.0,15.0,Low
ACMI_T,Melbourne,-37.81726338,144.96872809,784,3260584,0.27902822436584496,0.0,14.0,Low
Spen229_T,Melbourne,-37.81531435,144.95227769,570,3260584,0.20257234726688103,0.0,10.1,Low
Eli197_T,Melbourne,-37.81374643,144.96276183,566,3260584,0.20114326545194713,0.0,10.1,Low
Col15_T,Melbourne,-37.81362543,144.97323591,556,3260584,0.19757056091461236,0.0,9.9,Low
RMIT14_T,Melbourne,-37.80767455,144.96309114,501,3260584,0.17792068595927116,0.0,8.9,Low
Lyg309_T,Carlton,-37.79808192,144.96721013,455,3260584,0.16148624508753126,0.0,8.1,Low
Lon364_T,Melbourne,-37.81234775,144.96153311,452,3260584,0.16041443372633082,0.0,8.0,Low
FLDegN_T,Melbourne,-37.8168479,144.96559789,450,3260584,0.15969989281886388,0.0,8.0,Low
Col623_T,Melbourne,-37.81909256,144.95452748,436,3260584,0.1546981064665952,0.0,7.7,Low
Bourke155_T,Melbourne,-37.81267313,144.96788288,428,3260584,0.15183994283672742,0.0,7.6,Low
Spr201_T,Melbourne,-37.80999341,144.97227587,418,3260584,0.14826723829939265,0.0,7.4,Low
Hammer1584_T,Melbourne,-37.81970749,144.96795734,408,3260584,0.14469453376205788,0.0,7.2,Low
Spencer_T,Melbourne,-37.821728,144.95557015,334,3260584,0.11825652018578063,0.0,5.9,Low
Bou231_T,Melbourne,-37.81333081,144.96675571,320,3260584,0.11325473383351196,0.0,5.7,Low
UM2_T,Carlton,-37.79844526,144.96411782,308,3260584,0.10896748838871026,0.0,5.4,Low
Eli489_T,Melbourne,-37.80740397,144.95987909,288,3260584,0.10182207931404073,0.0,5.1,Low
NewQ_T,Docklands,-37.81457988,144.94292398,283,3260584,0.10003572704537335,0.0,5.0,Low
Lyg161_T,Carlton,-37.80169681,144.96658911,264,3260584,0.0932475884244373,0.0,4.7,Low
FLDegS_T,Melbourne,-37.81688755,144.96562569,256,3260584,0.09038942479456949,0.0,4.5,Low
Spen201_T,Melbourne,-37.81694221,144.95303935,222,3260584,0.0782422293676313,0.0,3.9,Low
King2_T,Melbourne,-37.82009057,144.95758725,224,3260584,0.07895677027509825,0.0,3.9,Low
Lyg260_T,Carlton,-37.80107122,144.96704554,185,3260584,0.06502322257949268,0.0,3.3,Low
Col700_T,Melbourne,-37.81982992,144.95102555,160,3260584,0.05609146123615577,0.0,2.8,Low
Spen161_T,Melbourne,-37.8172861,144.95319102,152,3260584,0.05323329760628796,0.0,2.7,Low
Boyd2837_T,Southbank,-37.82590962,144.96185972,146,3260584,0.051089674883887104,0.0,2.6,Low
WatCit_T,Docklands,-37.81564989,144.93970694,148,3260584,0.05180421579135405,0.0,2.6,Low
UM3_T,Carlton,-37.79698741,144.96441306,118,3260584,0.04108610217934977,0.0,2.1,Low
King335_T,Melbourne,-37.81267639,144.95386444,122,3260584,0.042515183994283674,0.0,2.1,Low
488Mac_T,Melbourne,-37.79432415,144.92973378,109,3260584,0.03787066809574848,0.0,1.9,Low
Col254_T,Melbourne,-37.81564191,144.965499,111,3260584,0.03858520900321544,0.0,1.9,Low
SprFli_T,Melbourne,-37.81515276,144.97467661,98,3260584,0.033940693104680245,0.0,1.7,Low
Pow61_T,Melbourne,-37.82392385,144.96299677,74,3260584,0.02536620221507681,0.0,1.3,Low
Bou283_T,Melbourne,-37.81380668,144.96516718,70,3260584,0.023937120400142908,0.0,1.2,Low
Lat526_T,Melbourne,-37.81304149,144.95155955,66,3260584,0.022508038585209004,0.0,1.1,Low
261Will_T,Melbourne,-37.81295822,144.95678789,58,3260584,0.019649874955341193,0.0,1.0,Low
Spen475_T,Melbourne,-37.80953359,144.94939004,59,3260584,0.02000714540907467,0.0,1.0,Low
Eli263_T,Melbourne,-37.81252157,144.9619401,55,3260584,0.018578063594140763,0.0,0.9,Low
AG_T,Melbourne,-37.8199817,144.96872865,41,3260584,0.013576277241872096,0.0,0.7,Low
Swa607_T,Carlton,-37.804024,144.96308399,32,3260584,0.010360843158270811,0.0,0.5,Low
Spen484_T,Melbourne,-37.80896733,144.94931703,26,3260584,0.008217220435869954,0.0,0.4,Low
Col12_T,Melbourne,-37.81344862,144.97305353,20,3260584,0.006073597713469096,0.0,0.3,Low
Fli114C_T,Melbourne,-37.81632783,144.97090512,10,3260584,0.002500893176134334,0.0,0.1,Low
HarEsB_T,Docklands,-37.81471642,144.9446508,3,3260584,0.0,0.0,0.0,Low
HarEsP_T,Docklands,-37.81441438,144.94433026,5,3260584,0.0007145409074669524,0.0,0.0,Low
BirBridge_T,Melbourne,-37.81757416,144.97329934,5,3260584,0.0007145409074669524,0.0,0.0,Low
