Sensor Name,Suburb,Latitude,Longitude,Avg Hourly Pedestrians,Lighting-Relevant Incidents,Pedestrian (normalised),Crime (normalised),Priority Score,Priority Tier
PriNW_T,Melbourne,-37.81874249,144.96787656,1305,3260584,1.0,0.0,50.0,Medium
MCEC_T,Melbourne,-37.82401776,144.95604426,1112,3260584,0.8519938650306749,0.0,42.6,Medium
Spen229_T,Melbourne,-37.81531435,144.95227769,818,3260584,0.6265337423312883,0.0,31.3,Low
RMIT14_T,Melbourne,-37.80767455,144.96309114,729,3260584,0.558282208588957,0.0,27.9,Low
VAC_T,Melbourne,-37.82129925,144.96879309,721,3260584,0.5521472392638037,0.0,27.6,Low
Swa148_T,Melbourne,-37.81414075,144.96609379,640,3260584,0.49003067484662577,0.0,24.5,Low
Lyg161_T,Carlton,-37.80169681,144.96658911,622,3260584,0.4762269938650307,0.0,23.8,Low
Eli368_T,Melbourne,-37.81009465,144.96143149,549,3260584,0.42024539877300615,0.0,21.0,Low
Spen201_T,Melbourne,-37.81694221,144.95303935,542,3260584,0.4148773006134969,0.0,20.7,Low
LtB170_T,Melbourne,-37.81172914,144.9682466,528,3260584,0.4041411042944785,0.0,20.2,Low
261Will_T,Melbourne,-37.81295822,144.95678789,492,3260584,0.37653374233128833,0.0,18.8,Low
FLDegN_T,Melbourne,-37.8168479,144.96559789,476,3260584,0.3642638036809816,0.0,18.2,Low
Eli250_T,Melbourne,-37.81258467,144.9625775,473,3260584,0.3619631901840491,0.0,18.1,Low
Spr201_T,Melbourne,-37.80999341,144.97227587,384,3260584,0.2937116564417178,0.0,14.7,Low
Eli263_T,Melbourne,-37.81252157,144.9619401,380,3260584,0.2906441717791411,0.0,14.5,Low
FliSS_T,Melbourne,-37.81794046,144.96616678,361,3260584,0.27607361963190186,0.0,13.8,Low
Spencer_T,Melbourne,-37.821728,144.95557015,342,3260584,0.26150306748466257,0.0,13.1,Low
AG_T,Melbourne,-37.8199817,144.96872865,306,3260584,0.2338957055214724,0.0,11.7,Low
LtB210_T,Melbourne,-37.81237202,144.96550671,289,3260584,0.22085889570552147,0.0,11.0,Low
King2_T,Melbourne,-37.82009057,144.95758725,286,3260584,0.21855828220858894,0.0,10.9,Low
Eli124_T,Melbourne,-37.81512416,144.96371988,283,3260584,0.21625766871165644,0.0,10.8,Low
Boyd2837_T,Southbank,-37.82590962,144.96185972,271,3260584,0.20705521472392638,0.0,10.4,Low
WebBN_T,Melbourne,-37.82293543,144.9471751,258,3260584,0.19708588957055215,0.0,9.9,Low
FLDegS_T,Melbourne,-37.81688755,144.96562569,257,3260584,0.19631901840490798,0.0,9.8,Low
Fra118_T,Melbourne,-37.80841815,144.95906316,253,3260584,0.19325153374233128,0.0,9.7,Low
Lat224_T,Melbourne,-37.80996494,144.96216521,238,3260584,0.18174846625766872,0.0,9.1,Low
Errol20_T,North Melbourne,-37.80456984,144.94946228,231,3260584,0.17638036809815952,0.0,8.8,Low
Eli489_T,Melbourne,-37.80740397,144.95987909,206,3260584,0.15720858895705522,0.0,7.9,Low
HarEsP_T,Docklands,-37.81441438,144.94433026,202,3260584,0.15414110429447853,0.0,7.7,Low
SanBri_T,Melbourne,-37.82011242,144.96291897,185,3260584,0.1411042944785276,0.0,7.1,Low
Lyg260_T,Carlton,-37.80107122,144.96704554,167,3260584,0.1273006134969325,0.0,6.4,Low
Vic_T,Melbourne,-37.80606888,144.95644692,160,3260584,0.12193251533742332,0.0,6.1,Low
Fli114F_T,Melbourne,-37.81629332,144.97090877,159,3260584,0.12116564417177914,0.0,6.1,Low
King163_T,Melbourne,-37.81627451,144.95550503,153,3260584,0.1165644171779141,0.0,5.8,Low
AlfPl_T,Melbourne,-37.81379749,144.96995745,95,3260584,0.07208588957055215,0.0,3.6,Low
Spen484_T,Melbourne,-37.80896733,144.94931703,92,3260584,0.06978527607361963,0.0,3.5,Low
KenMac_T,Melbourne,-37.79453803,144.93036194,83,3260584,0.06288343558282208,0.0,3.1,Low
Pel147_T,Carlton,-37.80240719,144.9615673,82,3260584,0.062116564417177916,0.0,3.1,Low
488Mac_T,Melbourne,-37.79432415,144.92973378,76,3260584,0.057515337423312884,0.0,2.9,Low
ACMI_T,Melbourne,-37.81726338,144.96872809,73,3260584,0.05521472392638037,0.0,2.8,Low
Spen475_T,Melbourne,-37.80953359,144.94939004,71,3260584,0.05368098159509203,0.0,2.7,Low
Errol23_T,North Melbourne,-37.80454949,144.94921863,67,3260584,0.05061349693251534,0.0,2.5,Low
WatCit_T,Docklands,-37.81564989,144.93970694,63,3260584,0.04754601226993865,0.0,2.4,Low
Swa607_T,Carlton,-37.804024,144.96308399,51,3260584,0.03834355828220859,0.0,1.9,Low
Col12_T,Melbourne,-37.81344862,144.97305353,45,3260584,0.03374233128834356,0.0,1.7,Low
FliS_T,Melbourne,-37.81911705,144.96558255,45,3260584,0.03374233128834356,0.0,1.7,Low
280Will_T,Melbourne,-37.81246271,144.95690188,39,3260584,0.029141104294478526,0.0,1.5,Low
