X,Y,Break_Date,Address,Pipe_Size_inch,Leak_Type,Pipe_ID,Detected,Install_Year,Break_Year,Age_at_Break,Age_Squared,Leak_Type_Clean
496675.559596383,5058909.67009862,2013-01-28,431 N 4TH,6.0,Corrosion,334.0,No,1948,2013,65,4225,Corrosion
496631.156500341,5059795.59560344,2012-08-11,1126 N 7TH (KMART),8.0,Longitudinal Break,204.0,No,1974,2012,38,1444,Longitudinal
497775.721701407,5058147.62480191,2009-05-28,S WALLACE AVE& E OLIVE ST,6.0,Full Circle Break,408.0,No,1924,2009,85,7225,Circumferential
497263.63439693,5059113.03589881,2011-05-18,Peach St. between Bozeman and Black,6.0,Leaking Joint,1179.0,No,1929,2011,82,6724,Joint
495063.790098881,5058328.75980208,2008-12-04,1922 W BABCOCK,10.0,Longitudinal Break,1241.0,No,1971,2008,37,1369,Longitudinal
496878.991700572,5059049.64189875,2014-07-23,Peach & Grand,6.0,Blow-out,1342.0,No,1903,2014,111,12321,Blowout
497729.421197364,5059781.62029943,2011-05-10,PEAR ST BOSTER SOUTH OF,16.0,Leaking Joint,1662.0,No,1992,2011,19,361,Joint
497554.773501202,5060360.37120397,2014-06-25,N Rouse near Bryant,4.0,Full Circle Break,2136.0,No,1950,2014,64,4096,Circumferential
498452.106398038,5058158.68340192,2012-11-14,1207 E CURTISS,6.0,Full Circle Break,2329.0,No,1971,2012,41,1681,Circumferential
495457.321803248,5058783.9920025,2008-12-19,300 BLOCK NORTH 16TH,6.0,Full Circle Break,2544.0,No,1966,2008,42,1764,Circumferential
496541.990996258,5055174.01930314,2014-04-30,Erwin & Graf,6.0,Corrosion,2840.0,No,1976,2014,38,1444,Corrosion
495170.139002981,5058737.31720246,2011-05-10,BEALL/19TH,6.0,Full Circle Break,3030.0,Yes,1977,2011,34,1156,Circumferential
495166.371898977,5058621.49700235,2010-01-31,BEALL& N 19TH,6.0,Longitudinal Break,3031.0,No,1973,2010,37,1369,Longitudinal
494793.55140263,5062832.24979827,2008-06-03,Springhill & Frontage,8.0,Leaking Joint,3761.0,No,2001,2008,7,49,Joint
495356.436203154,5059248.46280293,2012-02-16,700 BLK OF N.17TH IN FRONT OF 705 N17TH,8.0,Leaking Joint,3817.0,No,1970,2012,42,1764,Joint
495359.144403157,5059167.70749886,2011-11-30,600 N 17TH,8.0,Full Circle Break,3818.0,No,1970,2011,41,1681,Circumferential
498212.892501814,5060298.55020391,2009-02-10,908 E GRIFFIN,18.0,Leaking Joint,4057.0,No,1925,2009,84,7056,Joint
498228.246197829,5060316.01969993,2012-08-28,RAIL ROAD SPUR TRAIL,18.0,Leaking Joint,4057.0,No,1925,2012,87,7569,Joint
