ASSET_ID,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,MATERIAL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,DATE_OF_CONSTRUCTION,SERVICE_STATUS,PIPE_AGE
M474,MAINBG,T,ST GEORGES RD REPLACEMENT MAIN,MSCL,2.72,1400,,,2017-12-01,IN,9.0
Z060,MAINAG,S,CARDINIA CREEK MINI HYDRO,MSCL,1.88,225,,,2017-12-18,IN,9.0
M281,BYPASS,S,CARDINIA-DAND'G-NOTTING HILL M,MSCL,1.74,225,SAND,,2011-08-26,IN,15.0
R144,MAINBG,S,TYABB RESERVOIR,MS,131.3,100,,,2017-02-22,IN,9.0
M281,BYPASS,S,CARDINIA-DAND'G-NOTTING HILL M,MSCL,5.26,225,SAND,,2011-08-26,IN,15.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,7.06,225,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,0.4,225,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,7.62,225,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,0.38,150,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,16.32,150,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,1.26,150,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,1.04,150,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,0.98,300,,,2017-12-18,IN,9.0
Z060,MAINBG,S,CARDINIA CREEK MINI HYDRO,MSCL,0.28,225,,,2017-12-18,IN,9.0
P251,MAINAG,S,GREENVALE PS,MSCL,2.0,600,UNKN,,2005-07-01,IN,21.0
M420,MAINBG,S,TARAGO - WESTERN PORT MAIN,MSCL,1.17,1150,UNKN,,2009-05-01,IN,17.0
M420,MAINBG,S,TARAGO - WESTERN PORT MAIN,MSCL,4.14,1150,UNKN,,2009-05-01,IN,17.0
SL08,MAINBG,S,CARDINIA BYPASS SURGE VESSEL,MS,0.59,600,UNKN,,2011-10-17,IN,15.0
SL08,MAINBG,S,CARDINIA BYPASS SURGE VESSEL,MS,0.73,600,UNKN,,2011-10-17,IN,15.0
M193,MAINBG,T,KENNY ST-BROADMEADOWS MAIN,MS,843.07,1150,CLAY,1/1/1965 12:00:00 AM,1965-01-01,IN,61.0
R086,OUTLET,S,PLENTY RESERVOIR,MS,2.38,150,,,1980-01-01,IN,46.0
R086,INLET,S,PLENTY RESERVOIR,MS,13.98,825,,,1980-01-01,IN,46.0
R086,CROSS,S,PLENTY RESERVOIR,MS,2.35,900,,,1980-01-01,IN,46.0
R086,INLET,S,PLENTY RESERVOIR,MS,3.57,825,,,1980-01-01,IN,46.0
