WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
10080,ACTIVE,KIT 6,5457,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,6,6,8,N,N,8.5,N,N,34.2105629728948
76299,ACTIVE,KIT 4,6390,TREATED,300,DI,NO,NONE,1968-07-01,PURCHASED,REGION,N,7,1,4,N,N,8.5,N,N,0.355117671105161
10110,ACTIVE,KIT 6,5393,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,7,6,8,N,N,6.1,N,Y,67.852910448331
82566,ACTIVE,KIT 6,5393,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,6,6,8,N,N,4.58,N,Y,7.03932838683089
82568,ACTIVE,KIT 6,5394,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,6,6,8,N,N,8.5,N,Y,14.956130761421
10090,ACTIVE,KIT 6,5402,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,6,6,8,N,N,8.5,N,Y,38.5268909037991
82570,ACTIVE,KIT 6,5456,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,6,6,7,N,N,8.5,N,N,12.4519639246543
10030,ACTIVE,KIT 6,21108,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,7,6,7,N,N,8.5,N,N,124.970064901045
10100,ACTIVE,KIT 6,5396,TREATED,450,DI,NO,NONE,1979-01-01,DONATED,DUAL CITY AND REGION,N,6,6,8,N,N,8.5,N,Y,55.671581169996
81620,ACTIVE,KIT 2W,102861,TREATED,300,PVC,NO,NONE,2015-01-06,PURCHASED,KITCHENER,N,0,5,46,N,N,9.35,N,N,63.9485848398879
60080,ACTIVE,KIT 4,12102,TREATED,300,PVC,NO,NONE,1997-09-01,DONATED,KITCHENER,N,7,4,17,N,N,9.35,N,Y,98.0832805701851
61904,ACTIVE,KIT 2W,22070,TREATED,300,DI,NO,NONE,1977-03-01,PURCHASED,KITCHENER,N,7,5,33,N,N,8.5,N,N,141.533052012408
25690,ACTIVE,KIT 4,10351,TREATED,150,PVC,NO,NONE,1976-11-01,DONATED,KITCHENER,N,6,4,12,N,N,9.35,N,Y,42.7365942209405
82572,ACTIVE,KIT 4,10351,TREATED,150,PVC,NO,NONE,1976-11-01,DONATED,KITCHENER,N,6,4,12,N,N,9.35,N,Y,12.1917414998642
74030,ACTIVE,KIT 6,600867,TREATED,200,PVC,NO,NONE,2006-06-01,DONATED,KITCHENER,N,6,6,39,N,N,9.35,N,Y,69.5697443098412
82574,ACTIVE,KIT 6,600867,TREATED,200,PVC,NO,NONE,2006-06-01,DONATED,KITCHENER,N,6,6,39,N,N,9.35,N,Y,8.44509625213796
