OBJECTID,Wat Break Incident ID,Incident date,Type of Asset Broken,Does the road need to be closed?,Does the sidewalk need to be closed?,Estimated Hours for Repair,Estimated Number of Units Impacted,CW Service Request Number,Current status of the break,Status last updated date,CW Workorder #,Date operations was returned to normal service,Nature of Break,Apparent cause of break,Repair Type,Type of Planned Maintenance,List Valves Closed,List Valves Opened,List Hydrants Called Out,List Hydrants Called Back In,Categorization of the Break,Road Segment ID,Closest Civic Number,Street,Related Asset ID,Related Asset Depth (m),Depth of Frost (m),Asset Size (cm),Year Asset Installed,Asset Material,Asset Exists,GLOBALID,UPDATE_BY,UPDATE_DATE,x,y
1,2252,12/1/2017 3:15:00 PM,MAIN,Partially Closed,Open,12-16 hours,47,123456,REPAIR COMPLETED,12/2/2017 12:00:00 AM,177898,1/31/2017 11:30:00 PM,CORROSION AND FITTING/JOINT,AGE,CUTOUT,N/A,"6"" 93563, 94817, 93902,1139; 18""- 1264, 92862,1142",,353,353,CATEGORY 2,6961,125,LANCASTER ST W,134292,1.6,0.3,450,1937,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965,GIS_DATA,10/3/2018 2:42:09 PM,541741.1448,4812353.8463
7874,1311,3/26/2001 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6116,76,CLOVERDALE CRES,4101323,,,13,1965,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077,DAVIDV,12/15/2011 3:38:28 PM,539253.7576,4807874.5871
7875,1325,9/6/2006 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,162230,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,13207,47,WREN CRES,4099987,,,25,1967,XXX,Y,3bdc8931-31c0-4090-a07a-a6847781dd97,DAVIDV,12/15/2011 3:38:28 PM,545329.4589,4810392.1
7876,1328,9/11/2006 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6498,382,GREENBROOK DR,4642530,,,25,1964,PVC,Y,f75ad0b1-5b2a-4125-8ad5-2b9a037debd7,DAVIDV,12/15/2011 3:38:28 PM,539592.5208,4808291.4459
7877,1308,1/27/2000 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22846,224,MONTGOMERY RD,4100648,,,25,1967,XXX,Y,5a3c5d03-0899-4899-95e7-278bc5cbb682,DAVIDV,12/15/2011 3:38:28 PM,543897.8495,4810175.3637
7878,1312,8/11/1998 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,5421,152,WESTHEIGHTS DR,4104575,,,25,1974,XXX,Y,0c575f03-7d3f-44ea-b691-d33a969c4428,DAVIDV,12/15/2011 3:38:28 PM,538063.0983,4808117.2296
7879,1321,5/23/2006 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22124,,RIVER RD E,4138965,,,150,1976,XXX,Y,e82585b3-df56-4d38-8038-536ef084072b,DAVIDV,12/15/2011 3:38:28 PM,547018.7513,4808295.7817
7880,1326,10/30/2006 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,602405,,BLEAMS RD,4659302,,,25,2012,PVC,N,b8f9e9df-09e7-4013-9acc-0e43065d18df,DAVIDV,12/15/2011 3:38:28 PM,538558,4805205
7881,2047,3/12/2015 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,4/15/2015 12:00:00 AM,126895,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,11399,251,MILL ST,4101475,,,,,,N,536f67ed-4ec6-470e-b0d2-7e916e639d6a,DAVIDV,4/15/2015 12:00:00 AM,541546.9539,4809431.1521
7882,1324,6/26/2006 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10973,2969,KINGSWAY DR,4095182,,,150,1975,XXX,Y,04df3fcf-e2a1-448a-93dc-0818ba726403,DAVIDV,12/15/2011 3:38:28 PM,545344.7332,4808248.5222
7883,1718,1/6/2012 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,3/7/2013 12:00:00 AM,59252,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6743,29,DUKE ST E,4087857,,,0,,XXX,N,ba670836-f7c2-4f8a-88da-c0e9fef0748c,DAVIDV,3/7/2013 12:00:00 AM,541452.0388,4810981.0436
7884,1310,6/23/2005 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10703,10,MANITOU DR,4096271,,,50,1976,XXX,Y,50e20f5e-72d2-4c0f-aa80-7d3c65322f28,DAVIDV,12/15/2011 3:38:28 PM,544225.7338,4807510.8402
7885,1309,12/30/2000 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,9926,24,DONALD ST,4096468,,,13,1976,XXX,Y,00a4e0cd-e893-4d28-b324-f40b69f66fa8,DAVIDV,12/15/2011 3:38:28 PM,543332.6691,4811095.1724
7886,1407,10/27/2009 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,15782,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1249,136,GLASGOW ST,4736474,,,300,2017,PVC,N,9b14718d-36b0-4db7-838b-8fbc71796e07,DAVIDV,12/15/2011 3:38:28 PM,539296,4811193
7887,1319,12/4/2006 12:00:00 AM,SERVICE,,,,,,REPAIR COMPLETED,12/15/2011 3:38:28 PM,,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10476,32,SCHUELLER ST,4127031,,,25,2003,XXX,Y,0eaeb433-06db-450d-b658-2517e59862a1,DAVIDV,12/15/2011 3:38:28 PM,543159.7299,4814098.5558
