OBJECTID,MXUNITID,MXSITEID,COMPKEY,COMPTYPE,UNITID,UNITID2,PARALLEL_LINE_NBR,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,ASSET_ID,SUBAREA,Shape,MATERIAL,UPSTREAM_IL,DOWNSTREAM_IL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,GIS_ID,FIELD_TEAM,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,METHOD_OF_CAPTURE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,MI_PRINX
1,,,296455,0,M474-00374BR,M474-00377BR,,MAINBG,T,ST GEORGES RD REPLACEMENT MAIN,M474,,,MSCL,90.243,0,2.72,1400,,,,PRESTON,,12/1/2017 12:00:00 AM,,M474/C/157,M474-1,AS CONSTRUCTED,DIGITAL,8/22/2018 3:44:57 PM,9/26/2018 12:31:01 PM,IN,,,,33343
2,,,293331,0,WZ060-ZA,WZ060T101,,MAINAG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,1.88,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 12:00:00 AM,3/1/2018 2:04:45 PM,IN,,,,33095
3,,,1017825,0,WZ060-01040BR,M281V-EB,,BYPASS,S,CARDINIA-DAND'G-NOTTING HILL M,M281,,,MSCL,0,0,1.74,225,SAND,,,SILVAN,,8/26/2011 12:00:00 AM,,WP258/C/101,M281-1,AS CONSTRUCTED,DIGITISED,12/20/2012 12:00:00 AM,2/27/2018 12:00:00 AM,IN,,,,33096
4,,,234582,10273261,WR144V-R,WR144-0-0019,,MAINBG,S,TYABB RESERVOIR,R144,,,MS,0,0,131.3,100,,,R144-062,WESTERNPORT,,2/22/2017 12:00:00 AM,,WR144/C/012,WR144,AS CONSTRUCTED,DIGITAL,10/17/2011 12:00:00 AM,7/23/2018 12:11:24 PM,IN,,,STORAGE CLEANING PIPE,29823
5,,,227935,10257389,M281V-EA,WZ060-01040BR,,BYPASS,S,CARDINIA-DAND'G-NOTTING HILL M,M281,,,MSCL,0,0,5.26,225,SAND,,,SILVAN,,8/26/2011 12:00:00 AM,,WP258/C/101,M281-1,AS CONSTRUCTED,DIGITISED,12/20/2012 12:00:00 AM,2/27/2018 12:00:00 AM,IN,,,,33097
6,,,293323,0,WZ060-01060BR,WZ060-01010BR,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,7.06,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:36:55 PM,3/1/2018 2:04:42 PM,IN,,,,33085
7,,,293324,0,WZ060-01060BR,WZ060-ZB,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,0.4,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:36:58 PM,3/1/2018 2:04:43 PM,IN,,,,33086
8,,,293325,0,WZ060-ZB,WZ060-01080RED,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,7.62,225,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/003,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:00 PM,3/1/2018 2:04:43 PM,IN,,,,33087
9,,,293326,0,WZ060-01060BR,WZ060-ZC,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,0.38,150,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:05 PM,3/1/2018 2:04:43 PM,IN,,,,33089
10,,,293332,0,WZ060-ZC,WZ060-ZD,,MAINBG,S,CARDINIA CREEK MINI HYDRO,Z060,,,MSCL,0,0,16.32,150,,,,SILVAN,,12/18/2017 12:00:00 AM,,WZ060/C/007,WZ060,AS CONSTRUCTED,DIGITAL,2/28/2018 3:37:07 PM,3/1/2018 2:04:45 PM,IN,,,,33090
