pressure_zone,category,pipe_size,material,lined,pipe_age,shape__length,criticality,condition_score,ASSET_ID,MAIN_NAME,PIPE_AGE,MATERIAL,PIPE_LENGTH
ST GEORGES RD REPLACEMENT MAIN,T,1400.0,MSCL,0,9.0,2.72,6,8.05,M474,ST GEORGES RD REPLACEMENT MAIN,9.0,MSCL,2.72
CARDINIA CREEK MINI HYDRO,S,225.0,MSCL,0,9.0,1.88,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,1.88
CARDINIA-DAND'G-NOTTING HILL M,S,225.0,MSCL,0,15.0,1.74,6,7.75,M281,CARDINIA-DAND'G-NOTTING HILL M,15.0,MSCL,1.74
TYABB RESERVOIR,S,100.0,MS,0,9.0,131.3,6,8.05,R144,TYABB RESERVOIR,9.0,MS,131.3
CARDINIA-DAND'G-NOTTING HILL M,S,225.0,MSCL,0,15.0,5.26,6,7.75,M281,CARDINIA-DAND'G-NOTTING HILL M,15.0,MSCL,5.26
CARDINIA CREEK MINI HYDRO,S,225.0,MSCL,0,9.0,7.06,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,7.06
CARDINIA CREEK MINI HYDRO,S,225.0,MSCL,0,9.0,0.4,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,0.4
CARDINIA CREEK MINI HYDRO,S,225.0,MSCL,0,9.0,7.62,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,7.62
CARDINIA CREEK MINI HYDRO,S,150.0,MSCL,0,9.0,0.38,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,0.38
CARDINIA CREEK MINI HYDRO,S,150.0,MSCL,0,9.0,16.32,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,16.32
CARDINIA CREEK MINI HYDRO,S,150.0,MSCL,0,9.0,1.26,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,1.26
CARDINIA CREEK MINI HYDRO,S,150.0,MSCL,0,9.0,1.04,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,1.04
CARDINIA CREEK MINI HYDRO,S,300.0,MSCL,0,9.0,0.98,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,0.98
CARDINIA CREEK MINI HYDRO,S,225.0,MSCL,0,9.0,0.28,6,8.05,Z060,CARDINIA CREEK MINI HYDRO,9.0,MSCL,0.28
GREENVALE PS,S,600.0,MSCL,0,21.0,2.0,6,7.45,P251,GREENVALE PS,21.0,MSCL,2.0
TARAGO - WESTERN PORT MAIN,S,1150.0,MSCL,0,17.0,1.17,6,7.65,M420,TARAGO - WESTERN PORT MAIN,17.0,MSCL,1.17
TARAGO - WESTERN PORT MAIN,S,1150.0,MSCL,0,17.0,4.14,6,7.65,M420,TARAGO - WESTERN PORT MAIN,17.0,MSCL,4.14
CARDINIA BYPASS SURGE VESSEL,S,600.0,MS,0,15.0,0.59,6,7.75,SL08,CARDINIA BYPASS SURGE VESSEL,15.0,MS,0.59
CARDINIA BYPASS SURGE VESSEL,S,600.0,MS,0,15.0,0.73,6,7.75,SL08,CARDINIA BYPASS SURGE VESSEL,15.0,MS,0.73
KENNY ST-BROADMEADOWS MAIN,T,1150.0,MS,0,61.0,843.07,6,5.45,M193,KENNY ST-BROADMEADOWS MAIN,61.0,MS,843.07
PLENTY RESERVOIR,S,150.0,MS,0,46.0,2.38,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,2.38
PLENTY RESERVOIR,S,825.0,MS,0,46.0,13.98,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,13.98
PLENTY RESERVOIR,S,900.0,MS,0,46.0,2.35,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,2.35
PLENTY RESERVOIR,S,825.0,MS,0,46.0,3.57,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,3.57
BUNYIP MAIN RACE,T,600.0,EARTH,0,73.0,261.92,6,4.85,A013,BUNYIP MAIN RACE,73.0,EARTH,261.92
BUNYIP MAIN RACE,T,600.0,RC,0,73.0,18.22,6,4.85,A013,BUNYIP MAIN RACE,73.0,RC,18.22
BUNYIP MAIN RACE,T,600.0,EARTH,0,73.0,118.72,6,4.85,A013,BUNYIP MAIN RACE,73.0,EARTH,118.72
BUNYIP MAIN RACE,T,600.0,MS,0,73.0,18.22,6,4.85,A013,BUNYIP MAIN RACE,73.0,MS,18.22
TARAGO - WESTERN PORT MAIN,S,100.0,MSCL,0,51.0,2.71,6,5.95,M420,TARAGO - WESTERN PORT MAIN,51.0,MSCL,2.71
TARAGO - WESTERN PORT MAIN,S,300.0,MSCL,0,51.0,2.71,6,5.95,M420,TARAGO - WESTERN PORT MAIN,51.0,MSCL,2.71
TARAGO - WESTERN PORT MAIN,S,300.0,MSCL,0,51.0,2.71,6,5.95,M420,TARAGO - WESTERN PORT MAIN,51.0,MSCL,2.71
BUNYIP MAIN RACE,T,600.0,CONC,0,100.0,56.66,6,3.5,A013,BUNYIP MAIN RACE,100.0,CONC,56.66
TARAGO - WESTERN PORT MAIN,S,100.0,MSCL,0,51.0,2.71,6,5.95,M420,TARAGO - WESTERN PORT MAIN,51.0,MSCL,2.71
TARAGO - WESTERN PORT MAIN,T,1050.0,MS,0,51.0,817.95,6,5.95,M420,TARAGO - WESTERN PORT MAIN,51.0,MS,817.95
DANDENONG NORTH RESERVOIR,S,100.0,MS,0,46.0,32.69,6,6.2,R004,DANDENONG NORTH RESERVOIR,46.0,MS,32.69
DANDENONG NORTH RESERVOIR,S,100.0,MS,0,46.0,110.2,6,6.2,R004,DANDENONG NORTH RESERVOIR,46.0,MS,110.2
BUNYIP MAIN RACE,T,600.0,EARTH,0,73.0,460.15,6,4.85,A013,BUNYIP MAIN RACE,73.0,EARTH,460.15
PLENTY RESERVOIR,S,900.0,MS,0,46.0,3.17,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,3.17
PLENTY RESERVOIR,S,825.0,MS,0,46.0,19.09,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,19.09
PLENTY RESERVOIR,S,825.0,MS,0,46.0,0.46,6,6.2,R086,PLENTY RESERVOIR,46.0,MS,0.46
MERRI CK - NORTHCOTE-PUNT RD,T,600.0,MS,0,30.0,114.5,6,7.0,M041,MERRI CK - NORTHCOTE-PUNT RD,30.0,MS,114.5
MITCHAM-NOTTING HILL MAIN,T,800.0,MSCL,0,20.0,62.18,6,7.5,M022,MITCHAM-NOTTING HILL MAIN,20.0,MSCL,62.18
MITCHAM-NOTTING HILL MAIN,T,800.0,MS,0,20.0,4.48,6,7.5,M022,MITCHAM-NOTTING HILL MAIN,20.0,MS,4.48
MITCHAM-NOTTING HILL MAIN,T,825.0,MS,0,41.0,1.0,6,6.45,M022,MITCHAM-NOTTING HILL MAIN,41.0,MS,1.0
BLACKBURN RD - NOTTING HILL,S,450.0,MSCL,0,42.0,2.0,6,6.4,M021,BLACKBURN RD - NOTTING HILL,42.0,MSCL,2.0
SUGARLOAF DAM,S,900.0,MSCL,0,50.0,1.76,6,6.0,H001,SUGARLOAF DAM,,MSCL,1.76
SUGARLOAF DAM,S,900.0,MSCL,0,50.0,0.55,6,6.0,H001,SUGARLOAF DAM,,MSCL,0.55
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,16.8,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,16.8
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,1.58,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,1.58
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,4.17,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,4.17
YAN YEAN-EPPING MAIN,S,825.0,MSCL,0,50.0,6.21,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,6.21
YAN YEAN-EPPING MAIN,T,2100.0,MS,0,50.0,12.77,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MS,12.77
YAN YEAN-EPPING MAIN,T,1700.0,MS,0,66.0,18.02,6,5.2,M190,YAN YEAN-EPPING MAIN,66.0,MS,18.02
YAN YEAN-EPPING MAIN,S,1150.0,MSCL,0,50.0,1.99,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,1.99
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,0.9,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,0.9
YAN YEAN-EPPING MAIN,T,1700.0,MS,0,50.0,4.51,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MS,4.51
YAN YEAN-EPPING MAIN,T,825.0,MS,0,50.0,1.87,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MS,1.87
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,1.95,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,1.95
YAN YEAN-EPPING MAIN,S,225.0,MSCL,0,50.0,4.67,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,4.67
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,2.79,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,2.79
YAN YEAN-EPPING MAIN,T,1700.0,MS,0,50.0,3.83,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MS,3.83
YAN YEAN-EPPING MAIN,S,225.0,MSCL,0,50.0,4.39,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,4.39
YAN YEAN-EPPING MAIN,S,450.0,MSCL,0,50.0,7.49,6,6.0,M190,YAN YEAN-EPPING MAIN,50.0,MSCL,7.49
SUGARLOAF DAM,S,900.0,MSCL,0,50.0,11.77,6,6.0,H001,SUGARLOAF DAM,,MSCL,11.77
SUGARLOAF DAM,S,900.0,MSCL,0,50.0,6.2,6,6.0,H001,SUGARLOAF DAM,,MSCL,6.2
SUGARLOAF DAM,S,300.0,MSCL,0,50.0,4.37,6,6.0,H001,SUGARLOAF DAM,,MSCL,4.37
SUGARLOAF DAM,S,300.0,MSCL,0,50.0,6.23,6,6.0,H001,SUGARLOAF DAM,,MSCL,6.23
SUGARLOAF DAM,S,900.0,MSCL,0,50.0,407.83,6,6.0,H001,SUGARLOAF DAM,,MSCL,407.83
NORTHCOTE - PUNT RD,T,600.0,MS,0,55.0,140.99,6,5.75,M039,NORTHCOTE - PUNT RD,55.0,MS,140.99
NORTHCOTE - PUNT RD,T,600.0,MS,0,55.0,55.97,6,5.75,M039,NORTHCOTE - PUNT RD,55.0,MS,55.97
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,65.0,261.18,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSCL,261.18
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,65.0,399.38,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSCL,399.38
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,57.0,0.5,6,5.65,M182,BROOKLYN-GALVIN-LAVERTON MAIN,57.0,MSCL,0.5
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,52.0,53.1,6,5.9,M182,BROOKLYN-GALVIN-LAVERTON MAIN,52.0,MSCL,53.1
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,65.0,137.99,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSCL,137.99
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,67.0,6.78,6,5.15,M418,BEACONSFIELD - LANGWARRIN MAIN,67.0,MS,6.78
THOMSON DAM,S,2400.0,MS,0,40.0,28.03,6,6.5,H080,THOMSON DAM,40.0,MS,28.03
THOMSON DAM,S,2400.0,MS,0,40.0,8.8,6,6.5,H080,THOMSON DAM,40.0,MS,8.8
THOMSON DAM,S,150.0,MSCL,0,40.0,2.7,6,6.5,H080,THOMSON DAM,40.0,MSCL,2.7
THOMSON DAM,S,225.0,MS,0,40.0,1.32,6,6.5,H080,THOMSON DAM,40.0,MS,1.32
THOMSON DAM,S,2400.0,MS,0,40.0,10.3,6,6.5,H080,THOMSON DAM,40.0,MS,10.3
SURREY HILLS - ROSANNA,T,1150.0,MS,0,46.0,53.48,6,6.2,M158,SURREY HILLS - ROSANNA,46.0,MS,53.48
CARDINIA-DAND'G-NOTTING HILL M,T,1700.0,MS,0,50.0,32.31,6,6.0,M281,CARDINIA-DAND'G-NOTTING HILL M,50.0,MS,32.31
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,67.0,5.9,6,5.15,M418,BEACONSFIELD - LANGWARRIN MAIN,67.0,MS,5.9
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,44.0,55.38,6,6.3,M418,BEACONSFIELD - LANGWARRIN MAIN,44.0,MS,55.38
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,48.0,0.67,6,6.1,M333,GREENVALE-YUROKE-SYDENHAM,48.0,MS,0.67
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,48.0,1214.74,6,6.1,M333,GREENVALE-YUROKE-SYDENHAM,48.0,MS,1214.74
NORTH ESSENDON-FOOTSCRAY MAIN,T,450.0,MSCL,0,14.0,0.55,6,7.8,M102,NORTH ESSENDON-FOOTSCRAY MAIN,14.0,MSCL,0.55
NORTH ESSENDON-FOOTSCRAY MAIN,T,450.0,MSCL,0,14.0,7.23,6,7.8,M102,NORTH ESSENDON-FOOTSCRAY MAIN,14.0,MSCL,7.23
NORTH ESSENDON-FOOTSCRAY MAIN,T,900.0,MSCL,0,14.0,25.28,6,7.8,M102,NORTH ESSENDON-FOOTSCRAY MAIN,14.0,MSCL,25.28
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,57.0,134.33,6,5.65,M182,BROOKLYN-GALVIN-LAVERTON MAIN,57.0,MSCL,134.33
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,65.0,0.53,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSCL,0.53
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,57.0,65.09,6,5.65,M182,BROOKLYN-GALVIN-LAVERTON MAIN,57.0,MSCL,65.09
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,65.0,1189.7,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSCL,1189.7
BROOKLYN-GALVIN-LAVERTON MAIN,T,900.0,MSEL,0,65.0,2.91,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSEL,2.91
BROOKLYN-GALVIN-LAVERTON MAIN,T,600.0,MSCL,0,65.0,469.5,6,5.25,M182,BROOKLYN-GALVIN-LAVERTON MAIN,65.0,MSCL,469.5
MERRI CK - NORTHCOTE-PUNT RD,T,600.0,MS,0,30.0,2.09,6,7.0,M041,MERRI CK - NORTHCOTE-PUNT RD,30.0,MS,2.09
MERRI CK - NORTHCOTE-PUNT RD,S,225.0,MSCL,0,22.0,0.85,6,7.4,M041,MERRI CK - NORTHCOTE-PUNT RD,22.0,MSCL,0.85
MERRI CK - NORTHCOTE-PUNT RD,T,600.0,MS,0,22.0,33.98,6,7.4,M041,MERRI CK - NORTHCOTE-PUNT RD,22.0,MS,33.98
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,15.0,0.83,6,7.75,M333,GREENVALE-YUROKE-SYDENHAM,15.0,MS,0.83
GREENVALE-YUROKE-SYDENHAM,S,225.0,MS,0,15.0,0.3,6,7.75,M333,GREENVALE-YUROKE-SYDENHAM,15.0,MS,0.3
GREENVALE-YUROKE-SYDENHAM,S,450.0,MSCL,0,20.0,1.1,6,7.5,M333,GREENVALE-YUROKE-SYDENHAM,20.0,MSCL,1.1
GREENVALE-YUROKE-SYDENHAM,S,300.0,MSCL,0,20.0,1.31,6,7.5,M333,GREENVALE-YUROKE-SYDENHAM,20.0,MSCL,1.31
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,48.0,2940.96,6,6.1,M333,GREENVALE-YUROKE-SYDENHAM,48.0,MS,2940.96
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,15.0,0.77,6,7.75,M333,GREENVALE-YUROKE-SYDENHAM,15.0,MS,0.77
GREENVALE-YUROKE-SYDENHAM,S,150.0,MSCL,0,20.0,2.0,6,7.5,M333,GREENVALE-YUROKE-SYDENHAM,20.0,MSCL,2.0
GREENVALE-YUROKE-SYDENHAM,S,225.0,MS,0,15.0,3.4,6,7.75,M333,GREENVALE-YUROKE-SYDENHAM,15.0,MS,3.4
GREENVALE-YUROKE-SYDENHAM,S,225.0,MS,0,15.0,0.31,6,7.75,M333,GREENVALE-YUROKE-SYDENHAM,15.0,MS,0.31
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,48.0,1.41,6,6.1,M333,GREENVALE-YUROKE-SYDENHAM,48.0,MS,1.41
GREENVALE-YUROKE-SYDENHAM,T,1150.0,MS,0,48.0,1.32,6,6.1,M333,GREENVALE-YUROKE-SYDENHAM,48.0,MS,1.32
SUGARLOAF DAM,S,900.0,MSCL,0,50.0,0.7,6,6.0,H001,SUGARLOAF DAM,,MSCL,0.7
SUGARLOAF DAM,S,150.0,MSCL,0,50.0,0.27,6,6.0,H001,SUGARLOAF DAM,,MSCL,0.27
