Category,Latitude,Longitude,Location
Filming - Movie,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Movie,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Movie,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Movie,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Movie,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Movie,-37.818415,144.9607589,"Market Street, Melbourne, Australia"
Filming - Movie,-37.8071333,144.9581598,"Queen Street, Melbourne, Australia"
Filming - Movie,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Movie,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Movie,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Movie,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - Movie,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Movie,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Movie,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Movie,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Movie,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Movie,-37.78375115,144.96183124319754,"Princes Park, Melbourne, Australia"
Filming - Movie,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - Movie,-37.8135022,144.9620365,"Rankins Lane, Melbourne, Australia"
Filming - Movie,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Movie,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Other,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Other,-37.8123021,144.9685448,"Coverlid Place, Melbourne, Australia"
Filming - Other,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Other,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Other,-37.8139832,144.9645678,"Union Lane, Melbourne, Australia"
Filming - Other,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
