Category,Start_date,End_date,Latitude,Longitude,Location
Filming - Movie,2014-10-07,2014-10-07,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Movie,2015-03-07,2015-03-15,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Movie,2015-12-03,2015-12-03,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Movie,2016-08-26,2016-08-27,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Movie,2016-08-26,2016-08-27,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Movie,2016-08-26,2016-08-27,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Movie,2016-08-26,2016-08-27,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Movie,2016-08-26,2016-08-27,-37.818415,144.9607589,"Market Street, Melbourne, Australia"
Filming - Movie,2016-08-26,2016-08-27,-37.8071333,144.9581598,"Queen Street, Melbourne, Australia"
Filming - Movie,2016-04-20,2016-04-20,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Movie,2015-08-19,2015-08-20,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Movie,2016-09-17,2016-09-17,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Movie,2016-09-17,2016-09-17,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - Movie,2017-11-04,2017-11-04,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Movie,2017-10-16,2017-10-17,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Movie,2017-04-24,2017-04-25,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Movie,2015-02-17,2015-02-17,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Movie,2015-08-18,2015-08-18,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Movie,2015-11-30,2015-11-30,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Movie,2016-08-23,2016-08-23,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Movie,2016-09-21,2016-09-21,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Movie,2016-09-11,2016-09-11,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Movie,2014-12-04,2014-12-04,-37.78375115,144.96183124319754,"Princes Park, Melbourne, Australia"
Filming - Movie,2014-12-09,2014-12-10,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - Movie,2014-12-09,2014-12-10,-37.8135022,144.9620365,"Rankins Lane, Melbourne, Australia"
Filming - Movie,2016-08-28,2016-08-28,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Movie,2016-08-28,2016-08-28,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Other,2014-04-26,2014-04-27,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Other,2014-05-06,2014-05-06,-37.8123021,144.9685448,"Coverlid Place, Melbourne, Australia"
Filming - Other,2014-12-13,2014-12-13,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Other,2014-12-13,2014-12-13,-37.8139832,144.9645678,"Union Lane, Melbourne, Australia"
Filming - Other,2016-02-01,2016-02-02,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Other,2016-02-01,2016-02-02,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Other,2016-02-01,2016-02-02,-37.8197111,144.9680629,"Southbank Promenade, Melbourne, Australia"
