lastupdated,status_timestamp,zone_number,status_description,parkingbay_id,datetime
2023-07-20T05:44:36+00:00,2023-07-19T21:24:38+00:00,7358.0,Unoccupied,7075,2023-08-13 13:17:40
2023-07-20T05:44:36+00:00,2023-07-20T05:23:46+00:00,7358.0,Present,7076,2023-08-13 13:17:40
2023-07-20T05:44:36+00:00,2023-07-20T04:46:01+00:00,7358.0,Unoccupied,7077,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T06:16:08+00:00,7638.0,Unoccupied,5852,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T05:50:20+00:00,7638.0,Unoccupied,5874,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T03:45:31+00:00,7674.0,Present,8149,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T06:38:36+00:00,7674.0,Present,8148,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T06:11:22+00:00,7674.0,Present,8146,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T06:18:04+00:00,7674.0,Present,8139,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T06:20:01+00:00,7674.0,Present,8138,2023-08-13 13:17:40
2023-07-24T06:44:36+00:00,2023-07-24T06:32:10+00:00,7638.0,Unoccupied,5866,2023-08-13 13:17:40
2023-07-26T21:02:36+00:00,2023-07-14T14:40:18+00:00,7567.0,Unoccupied,5637,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-26T20:34:02+00:00,7360.0,Unoccupied,6283,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:41:42+00:00,7356.0,Unoccupied,6321,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:23:51+00:00,7359.0,Present,6324,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:40:07+00:00,7359.0,Present,6341,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:34:09+00:00,7359.0,Present,6345,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:41:14+00:00,7359.0,Unoccupied,6346,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:16:14+00:00,7361.0,Present,6334,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-26T20:31:26+00:00,7360.0,Present,6282,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-26T20:03:52+00:00,7359.0,Present,6330,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-27T00:33:27+00:00,,Present,6331,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-26T16:25:28+00:00,7361.0,Present,6335,2023-08-13 13:17:40
2023-07-27T00:44:35+00:00,2023-07-26T20:54:46+00:00,7579.0,Unoccupied,6396,2023-08-13 13:17:40
