Date,Consumption
1/7/2009,108637.2762
2/7/2009,108638.8474
3/7/2009,108633.8275
4/7/2009,109082.4222
5/7/2009,109071.758
6/7/2009,109071.758
7/7/2009,109373.0604
8/7/2009,109982.4894
9/7/2009,110118.0528
10/7/2009,110273.6161
11/7/2009,110438.7989
12/7/2009,110438.7989
13/7/2009,110438.7989
14/7/2009,110340.7991
15/7/2009,110420.2059
16/7/2009,109923.9532
17/7/2009,109903.7392
18/7/2009,109737.5018
19/7/2009,109737.5018
20/7/2009,109737.7123
21/7/2009,109618.6759
22/7/2009,109556.6182
23/7/2009,109505.1084
24/7/2009,109530.6607
25/7/2009,109528.8456
26/7/2009,109534.9851
27/7/2009,109536.0235
28/7/2009,109575.0334
29/7/2009,109516.3574
30/7/2009,109747.1531
31/7/2009,110043.5173
1/8/2009,110457.8569
2/8/2009,110464.1779
3/8/2009,110464.1779
4/8/2009,110464.2179
5/8/2009,110517.8262
6/8/2009,110843.3334
7/8/2009,110705.4238
8/8/2009,110431.8834
9/8/2009,110419.1158
10/8/2009,110421.3141
11/8/2009,110344.1681
12/8/2009,110406.1556
13/8/2009,110424.0001
14/8/2009,110490.9258
15/8/2009,110534.4655
16/8/2009,110534.4655
17/8/2009,110535.877
18/8/2009,110611.7252
19/8/2009,111028.8759
20/8/2009,111077.1456
21/8/2009,111242.0645
22/8/2009,111472.2132
23/8/2009,111483.0164
24/8/2009,111485.6813
25/8/2009,111693.6969
26/8/2009,111876.3132
27/8/2009,111885.0042
28/8/2009,113216.3694
29/8/2009,113257.4724
30/8/2009,113257.4724
31/8/2009,113262.6887
1/9/2009,115357.4941
2/9/2009,115541.8683
3/9/2009,114675.362
4/9/2009,114626.5142
5/9/2009,114696.3142
6/9/2009,114696.3142
7/9/2009,114696.3142
8/9/2009,114701.7868
9/9/2009,114893.2937
10/9/2009,114723.4223
11/9/2009,114674.3361
12/9/2009,114580.3667
13/9/2009,114580.3667
14/9/2009,114581.0816
15/9/2009,114468.8253
16/9/2009,114303.7491
17/9/2009,114156.3788
18/9/2009,112775.6858
19/9/2009,112708.0339
20/9/2009,112708.0339
21/9/2009,112708.235
22/9/2009,112336.8823
23/9/2009,111794.5856
24/9/2009,111043.7319
25/9/2009,109369.1345
26/9/2009,109062.3736
27/9/2009,109061.9084
28/9/2009,109057.5818
29/9/2009,108610.649
30/9/2009,108109.7704
1/10/2009,105624.0098
2/10/2009,105106.3596
3/10/2009,103796.2359
4/10/2009,103790.0201
5/10/2009,103780.477
6/10/2009,103043.9932
7/10/2009,102585.8622
8/10/2009,102102.9974
9/10/2009,101636.6708
10/10/2009,101375.2808
11/10/2009,101359.4941
12/10/2009,101359.691
13/10/2009,101318.8342
14/10/2009,101080.1644
15/10/2009,101137.0306
16/10/2009,100734.9815
17/10/2009,100385.0282
18/10/2009,100387.3929
19/10/2009,100384.5747
20/10/2009,99784.82353
21/10/2009,99453.78835
22/10/2009,99323.4109
23/10/2009,99035.83048
24/10/2009,99003.50814
25/10/2009,98985.71402
26/10/2009,98985.24435
27/10/2009,99109.81386
28/10/2009,99110.38987
29/10/2009,99002.96114
30/10/2009,98934.80723
31/10/2009,98883.30072
1/11/2009,98877.24612
2/11/2009,98878.66031
3/11/2009,98665.62535
4/11/2009,98546.5601
5/11/2009,98442.7466
6/11/2009,98076.81342
7/11/2009,98030.60435
8/11/2009,98030.22536
9/11/2009,98036.19105
10/11/2009,97961.5017
11/11/2009,97994.81209
12/11/2009,97928.45874
13/11/2009,98001.74963
14/11/2009,97823.88145
15/11/2009,97824.98739
16/11/2009,97824.43092
17/11/2009,97801.7278
18/11/2009,97900.33332
19/11/2009,97939.93682
20/11/2009,97819.43005
21/11/2009,97860.04733
22/11/2009,97856.18416
23/11/2009,97856.26947
24/11/2009,97842.69237
25/11/2009,97885.05492
26/11/2009,97883.19887
27/11/2009,97707.32635
28/11/2009,97592.36224
29/11/2009,97593.31893
30/11/2009,97590.9824
1/12/2009,97394.35246
2/12/2009,97279.89053
3/12/2009,97258.56697
4/12/2009,97090.82196
5/12/2009,97085.62986
6/12/2009,97073.0651
7/12/2009,97073.83985
8/12/2009,98130.92858
9/12/2009,98211.08985
10/12/2009,98083.86201
11/12/2009,98057.04147
12/12/2009,98092.08209
13/12/2009,98096.99738
14/12/2009,98095.14622
15/12/2009,98072.10805
16/12/2009,97541.53644
17/12/2009,97224.38903
18/12/2009,97111.4704
19/12/2009,97024.95279
20/12/2009,97055.38056
21/12/2009,97040.98593
22/12/2009,97023.87981
23/12/2009,96568.05749
24/12/2009,96252.83687
25/12/2009,96167.05412
26/12/2009,96167.55629
27/12/2009,96164.90289
28/12/2009,96164.47859
29/12/2009,96160.71136
30/12/2009,96210.30202
31/12/2009,96539.62596
1/1/2010,96770.27722
2/1/2010,96774.13392
3/1/2010,96761.43226
4/1/2010,96763.94346
5/1/2010,97163.22563
6/1/2010,96127.47034
7/1/2010,95991.90354
8/1/2010,96039.57822
9/1/2010,96094.28039
10/1/2010,96063.59705
11/1/2010,96059.45636
12/1/2010,96026.42365
13/1/2010,96038.0288
14/1/2010,96178.62419
15/1/2010,96228.08203
16/1/2010,96449.88678
17/1/2010,96449.78976
18/1/2010,96444.65641
19/1/2010,96866.01604
20/1/2010,96850.40967
21/1/2010,96849.24466
22/1/2010,96874.71799
23/1/2010,96772.35977
24/1/2010,96769.04502
25/1/2010,96768.12583
26/1/2010,96851.83671
27/1/2010,96965.5756
28/1/2010,96875.33254
29/1/2010,96685.67257
30/1/2010,96620.69849
31/1/2010,96631.2518
1/2/2010,96607.04035
2/2/2010,96524.95556
3/2/2010,96512.24867
4/2/2010,96747.40547
5/2/2010,96626.35108
6/2/2010,96697.80825
7/2/2010,96691.20792
8/2/2010,96693.15929
9/2/2010,96724.24612
10/2/2010,96662.07245
11/2/2010,96604.17588
12/2/2010,96531.42951
13/2/2010,96516.91698
14/2/2010,96477.98429
15/2/2010,96476.88522
16/2/2010,96459.45865
17/2/2010,96464.56113
18/2/2010,96059.11408
19/2/2010,96102.03057
20/2/2010,96026.39514
21/2/2010,96017.42318
22/2/2010,96016.92071
23/2/2010,95891.83172
24/2/2010,95708.33652
25/2/2010,95562.55803
26/2/2010,95559.53683
27/2/2010,95500.11908
28/2/2010,95471.12548
1/3/2010,95463.9607
2/3/2010,95470.331
3/3/2010,95563.0903
4/3/2010,95458.10703
5/3/2010,95720.62944
6/3/2010,95758.61211
7/3/2010,95742.63162
8/3/2010,95743.0489
9/3/2010,95782.39853
10/3/2010,95787.0414
11/3/2010,95665.65475
12/3/2010,95655.43339
13/3/2010,95649.03495
14/3/2010,95651.96788
15/3/2010,95648.75405
16/3/2010,95950.00722
17/3/2010,96045.63114
18/3/2010,96062.3543
19/3/2010,96494.07136
20/3/2010,96590.12566
21/3/2010,96566.78028
22/3/2010,96564.64246
23/3/2010,96605.90811
24/3/2010,96579.36614
25/3/2010,96615.38846
26/3/2010,96728.10055
27/3/2010,96797.7836
28/3/2010,96806.24976
29/3/2010,96810.38492
30/3/2010,96846.77884
31/3/2010,97140.05201
1/4/2010,97291.0685
2/4/2010,97616.0373
3/4/2010,97620.01023
4/4/2010,97620.15062
5/4/2010,97624.42472
6/4/2010,97826.58186
7/4/2010,97127.29621
8/4/2010,97391.26557
9/4/2010,97500.21279
10/4/2010,97787.59283
11/4/2010,97791.19996
12/4/2010,97790.09304
13/4/2010,97917.9576
14/4/2010,97990.59788
15/4/2010,98172.68151
16/4/2010,98203.52411
17/4/2010,98464.29019
18/4/2010,98492.58143
19/4/2010,98497.78076
20/4/2010,98858.72675
21/4/2010,99088.16946
22/4/2010,99258.40065
23/4/2010,99286.38506
24/4/2010,99660.79883
25/4/2010,99564.5811
26/4/2010,99566.29829
27/4/2010,99939.69878
28/4/2010,100094.5226
29/4/2010,100292.8918
30/4/2010,100754.544
1/5/2010,100449.35
2/5/2010,100452.8883
3/5/2010,100460.4317
4/5/2010,101901.4895
5/5/2010,102417.4644
6/5/2010,103155.6164
