asset_number,asset_description,construct_material_lupvalue,inspection_frequency,maintained_by,object_type_lupvalue,lat,lon,location
1378310,SWD Litter Trap - Village St/ McCrae St,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.82155494159802,144.95129389913234,"-37.82155494159802, 144.95129389913234"
1126523,SWD Litter Trap - Lygon St,Precast Concrete,Other,City of Melbourne,In Line GPT,-37.80649031774322,144.96607536071645,"-37.80649031774322, 144.96607536071645"
1126518,SWD Litter Trap - Therry St,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.80735125395169,144.95885924991856,"-37.80735125395169, 144.95885924991856"
1126512,"SWD Litter Trap - Footscray Rd, north outlet",Plastic,Quarterly,City of Melbourne,Interceptor Net,-37.808730324202834,144.93484668395718,"-37.808730324202834, 144.93484668395718"
1426534,SWD Litter Trap - Treasury Gardens,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81370443295942,144.97555173076742,"-37.81370443295942, 144.97555173076742"
1379349,SWD Litter Trap - Rakaia Way North cnr Docklands Dr,Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81398552662784,144.9403991340426,"-37.81398552662784, 144.9403991340426"
1378299,"SWD Litter Trap-Victoria Harbour Promenade, North Merchant St",,Quarterly,City of Melbourne,Litter Basket,-37.81882928096454,144.94334536718145,"-37.81882928096454, 144.94334536718145"
1126527,"SWD Litter Trap - Galada Ave, east pipe",Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.78164636018003,144.94098858504765,"-37.78164636018003, 144.94098858504765"
1378311,SWD Litter Trap - East of Aurora Lane/Wurundjeri Way,Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.821353901299155,144.95207674677863,"-37.821353901299155, 144.95207674677863"
1126520,"SWD Litter Trap - Clarendon St, east trunk",Concrete,Half Yearly,City of Melbourne,Trash Rack,-37.82401301301181,144.95628915877512,"-37.82401301301181, 144.95628915877512"
1721602,Birrarung Marr - Gross Pollutant Trap,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.82080624308852,144.9758291539909,"-37.82080624308852, 144.9758291539909"
1426532,SWD Litter Trap - Fitzroy Gardens,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.8118947834419,144.98018048604166,"-37.8118947834419, 144.98018048604166"
1378105,SWD Litter Trap - Pearl River Road Sedimentation Tank,Concrete,Quarterly,City of Melbourne,In Line GPT,-37.811476770608095,144.93559890919337,"-37.811476770608095, 144.93559890919337"
1126515,SWD Litter Trap - Queensbridge St,Concrete,Half Yearly,City of Melbourne,Trash Rack,-37.82074917518231,144.96233287185117,"-37.82074917518231, 144.96233287185117"
1379350,"SWD Litter Trap - West side Wurundjeri Way, near cnr Dudley St",,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.812671357856935,144.94563578253997,"-37.812671357856935, 144.94563578253997"
1516483,SWD Litter Trap - Boyd Community Hub (SOUTHBANK),,,City of Melbourne,Not Known,-37.825490336480286,144.9612080150195,"-37.825490336480286, 144.9612080150195"
1126533,SWD Litter Trap - Cumberland St,Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.81990017409475,144.94275387398454,"-37.81990017409475, 144.94275387398454"
1432451,"SWD-Litter Trap-East Harbour Esp, cnr La Trobe St, Docklands",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.81534931155489,144.94534809647914,"-37.81534931155489, 144.94534809647914"
1126534,"SWD Litter Trap - Waterview Walk/ Bourke St, Docklands",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.819071778292574,144.9470731818341,"-37.819071778292574, 144.9470731818341"
1426524,"SWD Litter Trap - Foundry Walk, Yarra's Edge, South Wharf",Concrete,Quarterly,City of Melbourne,In Line GPT,-37.82246168061252,144.93808734493956,"-37.82246168061252, 144.93808734493956"
1126535,SWD Litter Trap - Melb Convention Centre,Concrete,Quarterly,City of Melbourne,Trash Rack,-37.82407188705236,144.94844051872718,"-37.82407188705236, 144.94844051872718"
1378099,SWD Litter Trap - Y27A - Coventry St,Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.83028055230784,144.96592974982084,"-37.83028055230784, 144.96592974982084"
1126517,"SWD Litter Trap - Lauren St (between Arden St and Dynon Rd, next to CityLink)",Concrete,Half Yearly,City of Melbourne,Other,-37.80200250662716,144.9367682878648,"-37.80200250662716, 144.9367682878648"
1379346,"SWD Litter Trap - Seafarer Lane, Docklands",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.82049240502451,144.94288170650543,"-37.82049240502451, 144.94288170650543"
1547151,SWD Litter Trap - Gipps St at Darling Street,,,City of Melbourne,,-37.81344415861238,144.9894627253183,"-37.81344415861238, 144.9894627253183"
1126521,SWD Litter Trap - A'Beckett St,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.80935459454028,144.96067077333177,"-37.80935459454028, 144.96067077333177"
1426531,SWD Litter Trap - Queen Victoria Gardens,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.8219484541032,144.97026814021558,"-37.8219484541032, 144.97026814021558"
1378098,SWD Litter Trap - Whiteman St,Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.82726670268095,144.95514754540358,"-37.82726670268095, 144.95514754540358"
1378312,"SWD Litter Trap - West side Wurundjeri Way, cnr Aurora Lane",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.82149098196168,144.9517717890108,"-37.82149098196168, 144.9517717890108"
1390880,"SWD Litter Trap - Siddeley St, North Wharf",Concrete,Quarterly,City of Melbourne,In Line GPT,-37.82276574705251,144.95172836550117,"-37.82276574705251, 144.95172836550117"
1378101,SDW Litter Trap - O1 - Grey St,Precast Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.812282013660315,144.98976982722178,"-37.812282013660315, 144.98976982722178"
1721536,Fitzroy Gardens - Gross Pollutant Trap,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81533941969563,144.97935424295753,"-37.81533941969563, 144.97935424295753"
1126525,SWD Litter Trap - Birrarung Marr,Precast Concrete,Quarterly,City of Melbourne,In Line GPT,-37.81834310723261,144.97138125155553,"-37.81834310723261, 144.97138125155553"
1126532,"SWD Litter Trap - SW cnr intersection Bourke/Wurundjeri, Docklands",Concrete,Quarterly,City of Melbourne,Offset Centrifugal GPT,-37.81811784434973,144.9501535319386,"-37.81811784434973, 144.9501535319386"
