Description,Co-ordinates
Barbeque - Urban Design Double Hotplate,"-37.78291658834687, 144.94362553123742"
Barbeque - Urban Design Single Hotplate,"-37.785038996971224, 144.96222644314096"
Barbeque - Urban Design Double Hotplate - Powlett Reserve,"-37.81122104507609, 144.98662556673142"
Barbeque - Urban Design Double Hotplate,"-37.82049353458204, 144.9448712214091"
Barbeque - Urban Design Single Hotplate,"-37.78507620578955, 144.96242901615196"
Barbeque - Barbeque (Docklands - not categorised),"-37.8196434391829, 144.94607342928472"
Barbeque - Urban Design Single Hotplate,"-37.79557201558579, 144.93078549022908"
Barbeque - Urban Design Double Hotplate - Royal Park,"-37.785452334972696, 144.94618801740162"
Barbeque - Urban Design Single Hotplate - Hawke and Adderley Street Park,"-37.808803420080686, 144.9450258108489"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Alexandra Park,"-37.82444422516884, 144.97780235114126"
Barbeque - Urban Design Single Hotplate,"-37.78854743311894, 144.9262295451231"
Barbeque - Urban Design Single Hotplate,"-37.779486423346185, 144.93986020424188"
Barbeque - Urban Design Double Hotplate - Alexandra Park,"-37.824126419080216, 144.97752654664086"
Barbeque - Urban Design Double Hotplate,"-37.82778303187395, 144.98295298063218"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Batman Park,"-37.8217761845749, 144.95723801523079"
Barbeque - Urban Design Double Hotplate,"-37.82768003600854, 144.98241701976517"
Barbeque - All Abilities Double Hotplate - Royal Park,"-37.79505799178623, 144.95104163931634"
Barbeque - Urban Design Single Hotplate - Southbank Boulevard (SOUTHBANK),"-37.82345728026392, 144.96617846018844"
Barbeque - Urban Design Double Hotplate,"-37.82773337690019, 144.98268472258306"
Barbeque - Urban Design Double Hotplate,"-37.783058736135814, 144.94436043862848"
Barbeque - Urban Design Single Hotplate,"-37.786811624350314, 144.95295080957254"
Barbeque - Urban Design Single Hotplate,"-37.819821342236914, 144.97480170753713"
Barbeque - Fawkner Park Toddler Play Space,"-37.839163364409444, 144.98066702168143"
Barbeque - Urban Design Single Hotplate,"-37.78998719902451, 144.94502340388996"
Barbeque - Urban Design Single Hotplate,"-37.786978549708806, 144.95295755838"
Barbeque - Urban Design Double Hotplate - Warun Biik Park,"-37.79622323577933, 144.9266473544793"
Barbeque - Urban Design Single Hotplate,"-37.82009381572264, 144.97510314880833"
Barbeque - Barbeque (Docklands - not categorised),"-37.823064959466265, 144.94180279898958"
Barbeque - Unknown model - JJ Holland Park,"-37.79744246261081, 144.9233706625667"
Barbeque - Urban Design Double Hotplate,"-37.842387153356434, 144.98190820378719"
Barbeque - Urban Design Double Hotplate,"-37.82744680370206, 144.981675215773"
Barbeque - Urban Design Single Hotplate - Riverside Quay (SOUTHBANK),"-37.821250861671416, 144.9642136722747"
Barbeque - Urban Design Single Hotplate,"-37.79375198566206, 144.92404057125708"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Batman Park,"-37.821751221204465, 144.9572847140256"
Barbeque - Urban Design Single Hotplate,"-37.8207420265614, 144.9625030210556"
Barbeque - Docklands Barbeque - All Chromed - Wharfs Landing Park,"-37.82197015645569, 144.93671241740378"
Barbeque - Urban Design Double Hotplate,"-37.82727009584159, 144.98119239501509"
Barbeque - Enterprize Park,"-37.82023906661578, 144.95991043872718"
Barbeque - Urban Design Double Hotplate,"-37.80955468696855, 144.95495159325935"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Alexandra Park,"-37.824260053373365, 144.9776466199352"
Barbeque - Urban Design Single Hotplate - Fawkner Park,"-37.84077622109281, 144.98393881060923"
Barbeque - Urban Design Double Hotplate,"-37.797946142132304, 144.92142020526532"
Barbeque - Brick Single Hotplate,"-37.79363713198853, 144.94031809548235"
Barbeque - Urban Design Double Hotplate,"-37.82785043366638, 144.98340504092684"
Barbeque - Barbeque (Docklands - not categorised),"-37.821986729768355, 144.94727063202177"
Barbeque - Barbeque (Docklands - not categorised),"-37.82086901096214, 144.9465319294234"
Barbeque - Barbeque (Docklands - not categorised),"-37.82310279866328, 144.9418950198315"
Barbeque - Urban Design Double Hotplate Spanning Two Units - Gardiner Reserve,"-37.799102729387386, 144.9434773301953"
Barbeque - Docklands Barbeque - All Chromed - Docklands Community Gardens,"-37.82054853245266, 144.945321953656"
Barbeque - Urban Design Double Hotplate - Alexandra Park,"-37.824622419369724, 144.97794586267926"
Barbeque - Urban Design Double Hotplate - Alexandra Park,"-37.82452210063826, 144.97786611955524"
Barbeque - Urban Design Single Hotplate,"-37.829974008514085, 144.96515999273245"
Barbeque - Docklands Barbeque - All Chromed - Boyd Community Hub,"-37.82601058338085, 144.9618637841363"
Barbeque - Urban Design Double Hotplate,"-37.82736307281509, 144.98143799649569"
Barbecue - Fawkner Park Toddler Play Space,"-37.83921823281734, 144.98072404641573"
Barbeque - Urban Design Double Hotplate,"-37.82753298227228, 144.98190805151714"
Barbeque - Urban Design Double Hotplate - Ron Barassi Senior Park,"-37.817081542493305, 144.93419238830614"
Barbeque - Urban Design Single Hotplate,"-37.782001069469686, 144.956631830226"
Barbeque - Urban Design Single Hotplate,"-37.829648035597195, 144.96496602596258"
Barbeque - Unknown Barbeque Type,"-37.81889052008494, 144.94275498440427"
Barbeque - Urban Design Double Hotplate - Royal Park,"-37.79551100378923, 144.9519166390474"
Barbeque - Urban Design Double Hotplate Spanning Two Units - JJ Holland Park,"-37.79781159312425, 144.92608154725664"
Barbeque - Urban Design Single Hotplate - Southbank Boulevard (SOUTHBANK),"-37.82337894328665, 144.96620310536593"
