geo_point_2d,geo_shape,prop_id,addresspt1,xorg,ext_id,label,easting,northing,str_id,addresspt,xsource,profile,xdate,xdrawing,mcc_id,roadseg_id,Latitude,Longitude
"-37.81383600004095, 144.94229199974288","{""coordinates"": [144.94229199974288, -37.81383600004095], ""type"": ""Point""}",0,0.0,ESG,280,62.659,0.0,0.0,0,0,,,20140916,,0,0,-37.81383600004095,144.94229199974288
"-37.81344200000782, 144.94172699995684","{""coordinates"": [144.94172699995684, -37.81344200000782], ""type"": ""Point""}",0,0.0,ESG,32,26.784,0.0,0.0,0,0,,,20140916,,0,0,-37.81344200000782,144.94172699995684
"-37.813460000022296, 144.94173700057334","{""coordinates"": [144.94173700057334, -37.813460000022296], ""type"": ""Point""}",0,0.0,ESG,40,25.024,0.0,0.0,0,0,,,20140916,,0,0,-37.813460000022296,144.94173700057334
"-37.81409100003984, 144.94275500001876","{""coordinates"": [144.94275500001876, -37.81409100003984], ""type"": ""Point""}",0,0.0,ESG,462,99.316,0.0,0.0,0,0,,,20140916,,0,0,-37.81409100003984,144.94275500001876
"-37.80229899976622, 144.96595599992463","{""coordinates"": [144.96595599992463, -37.80229899976622], ""type"": ""Point""}",0,0.0,ESG,550,0.587,0.0,0.0,0,0,,,20140916,,0,0,-37.80229899976622,144.96595599992463
"-37.80244200009809, 144.966110000395","{""coordinates"": [144.966110000395, -37.80244200009809], ""type"": ""Point""}",0,0.0,ESG,650,3.91,0.0,0.0,0,0,,,20140916,,0,0,-37.80244200009809,144.966110000395
"-37.802524999806984, 144.9660820005226","{""coordinates"": [144.9660820005226, -37.802524999806984], ""type"": ""Point""}",0,0.0,ESG,688,8.7,0.0,0.0,0,0,,,20140916,,0,0,-37.802524999806984,144.9660820005226
"-37.803048999846794, 144.9657909997538","{""coordinates"": [144.9657909997538, -37.803048999846794], ""type"": ""Point""}",0,0.0,ESG,1249,5.67,0.0,0.0,0,0,,,20140916,,0,0,-37.803048999846794,144.9657909997538
"-37.80297999994688, 144.9657000002687","{""coordinates"": [144.9657000002687, -37.80297999994688], ""type"": ""Point""}",0,0.0,ESG,1295,2.346,0.0,0.0,0,0,,,20140916,,0,0,-37.80297999994688,144.9657000002687
"-37.802917000281894, 144.96559900049772","{""coordinates"": [144.96559900049772, -37.802917000281894], ""type"": ""Point""}",0,0.0,ESG,1336,0.293,0.0,0.0,0,0,,,20140916,,0,0,-37.802917000281894,144.96559900049772
"-37.803178999851525, 144.96598599962175","{""coordinates"": [144.96598599962175, -37.803178999851525], ""type"": ""Point""}",0,0.0,ESG,1145,1.662,0.0,0.0,0,0,,,20140916,,0,0,-37.803178999851525,144.96598599962175
"-37.80316599992095, 144.96596500026232","{""coordinates"": [144.96596500026232, -37.80316599992095], ""type"": ""Point""}",0,0.0,ESG,1153,1.76,0.0,0.0,0,0,,,20140916,,0,0,-37.80316599992095,144.96596500026232
"-37.80280300014426, 144.96539300021465","{""coordinates"": [144.96539300021465, -37.80280300014426], ""type"": ""Point""}",0,0.0,ESG,1402,3.128,0.0,0.0,0,0,,,20140916,,0,0,-37.80280300014426,144.96539300021465
"-37.80276800029976, 144.96535300028077","{""coordinates"": [144.96535300028077, -37.80276800029976], ""type"": ""Point""}",0,0.0,ESG,1411,6.158,0.0,0.0,0,0,,,20140916,,0,0,-37.80276800029976,144.96535300028077
"-37.81923300015367, 144.95011199956625","{""coordinates"": [144.95011199956625, -37.81923300015367], ""type"": ""Point""}",0,0.0,ESG,2069,10.264,0.0,0.0,0,0,,,20140916,,0,0,-37.81923300015367,144.95011199956625
"-37.82107999999596, 144.9517089999369","{""coordinates"": [144.9517089999369, -37.82107999999596], ""type"": ""Point""}",0,0.0,ESG,2497,25.709,0.0,0.0,0,0,,,20140916,,0,0,-37.82107999999596,144.9517089999369
"-37.81919299974323, 144.9650490003794","{""coordinates"": [144.9650490003794, -37.81919299974323], ""type"": ""Point""}",0,0.0,ESG,2592,30.499,0.0,0.0,0,0,,,20140916,,0,0,-37.81919299974323,144.9650490003794
"-37.819241000320204, 144.96456400046267","{""coordinates"": [144.96456400046267, -37.819241000320204], ""type"": ""Point""}",0,0.0,ESG,2767,18.084,0.0,0.0,0,0,,,20140916,,0,0,-37.81924100032021,144.96456400046267
"-37.819643000082976, 144.9629169996569","{""coordinates"": [144.9629169996569, -37.819643000082976], ""type"": ""Point""}",0,0.0,ESG,3360,13.49,0.0,0.0,0,0,,,20140916,,0,0,-37.819643000082976,144.9629169996569
"-37.81838900001825, 144.97367900022866","{""coordinates"": [144.97367900022866, -37.81838900001825], ""type"": ""Point""}",0,0.0,ESG,3818,9.189,0.0,0.0,0,0,,,20140916,,0,0,-37.81838900001825,144.97367900022866
"-37.81838300028568, 144.97379699947874","{""coordinates"": [144.97379699947874, -37.81838300028568], ""type"": ""Point""}",0,0.0,ESG,3786,18.475,0.0,0.0,0,0,,,20140916,,0,0,-37.81838300028568,144.97379699947874
"-37.81846600021888, 144.9719540002558","{""coordinates"": [144.9719540002558, -37.81846600021888], ""type"": ""Point""}",0,0.0,ESG,4206,6.452,0.0,0.0,0,0,,,20140916,,0,0,-37.81846600021888,144.9719540002558
"-37.818474000101816, 144.97177100011086","{""coordinates"": [144.97177100011086, -37.818474000101816], ""type"": ""Point""}",0,0.0,ESG,4252,6.256,0.0,0.0,0,0,,,20140916,,0,0,-37.818474000101816,144.97177100011086
"-37.8185040001462, 144.97109999995052","{""coordinates"": [144.97109999995052, -37.8185040001462], ""type"": ""Point""}",0,0.0,ESG,4454,17.595,0.0,0.0,0,0,,,20140916,,0,0,-37.8185040001462,144.97109999995052
"-37.81849700013838, 144.97094700016362","{""coordinates"": [144.97094700016362, -37.81849700013838], ""type"": ""Point""}",0,0.0,ESG,4643,0.587,0.0,0.0,0,0,,,20140916,,0,0,-37.81849700013838,144.97094700016362
"-37.818550000094135, 144.97159100052022","{""coordinates"": [144.97159100052022, -37.818550000094135], ""type"": ""Point""}",0,0.0,ESG,4806,9.482,0.0,0.0,0,0,,,20140916,,0,0,-37.818550000094135,144.97159100052022
