census_year,property_id,building_address,trading_name,number_of_patrons,longitude,latitude,location
2009,100160,196-200 A'Beckett Street MELBOURNE 3000,Nomads Industry Backpackers,200,144.95744282655,-37.80999191344412,"-37.80999191344412, 144.95744282655"
2011,100441,118-126 Ireland Street WEST MELBOURNE 3003,Railway Hotel,241,144.94210293190025,-37.806072915200005,"-37.806072915200005, 144.94210293190025"
2002,100514,204-206 Arden Street NORTH MELBOURNE 3051,North Melbourne Football Club Social Club,210,144.9413101818877,-37.79888820561025,"-37.79888820561025, 144.9413101818877"
2005,100727,5-9 Bank Place MELBOURNE 3000,Mitre Tavern,300,144.96029792995742,-37.816805469325374,"-37.816805469325374, 144.96029792995742"
2016,100730,12-16 Bank Place MELBOURNE 3000,Melbourne Savage Club,90,144.96058680913345,-37.81654648184162,"-37.81654648184162, 144.96058680913345"
2017,100820,38-44 Barrett Street KENSINGTON 3031,Henry St Brewhouse,75,144.93431735762147,-37.798103410950006,"-37.798103410950006, 144.93431735762147"
2002,101023,25 Bennetts Lane MELBOURNE 3000,Bennetts Lane Jazz Club,360,144.9675664368846,-37.80889326950825,"-37.80889326950825, 144.9675664368846"
2004,101099,16-26 Bond Street MELBOURNE 3000,Bond Lounge,500,144.96306731565613,-37.818147200690255,"-37.818147200690255, 144.96306731565613"
2002,101109,39-43 Bourke Street MELBOURNE 3000,Spleen Central,100,144.9720552011901,-37.81193701505745,"-37.81193701505745, 144.9720552011901"
2012,101113,59-63 Bourke Street MELBOURNE 3000,Madam Brussels,256,144.9715655658,-37.81212342712261,"-37.812123427122614, 144.9715655658"
2017,101116,79-85 Bourke Street MELBOURNE 3000,Good Heavens,400,144.97103973560002,-37.81218018337256,"-37.81218018337256, 144.97103973560002"
2014,101119,137-141 Bourke Street MELBOURNE 3000,Levels Nightclub,400,144.969167321,-37.81279275577653,"-37.81279275577653, 144.969167321"
2022,101124,169 Bourke Street MELBOURNE VIC 3000,Bouvardia Melbourne,150,144.9685634125,-37.812947112085325,"-37.812947112085325, 144.9685634125"
2012,101130,193-199 Bourke Street MELBOURNE 3000,The Carlton Hotel,366,144.9676457082,-37.8132044156083,"-37.8132044156083, 144.9676457082"
2018,101133,209-215 Bourke Street MELBOURNE 3000,Treasure Star,150,144.9672985356574,-37.8132801326,"-37.8132801326, 144.9672985356574"
2011,101136,231-233 Bourke Street MELBOURNE 3000,Red Violin,303,144.96684122755,-37.81343594770618,"-37.81343594770618, 144.96684122755"
2008,101152,457-471 Bourke Street MELBOURNE 3000,Alluva Restaurant Bar Lounge,513,144.9601728802,-37.81549193252656,"-37.815491932526555, 144.9601728802"
2008,101154,483-501 Bourke Street MELBOURNE 3000,RACV City Club,440,144.95958443725,-37.81588561771079,"-37.81588561771079, 144.95958443725"
2022,101165,669-675 Bourke Street MELBOURNE VIC 3000,V Wine Salon,70,144.9541002451,-37.8172183934914,"-37.8172183934914, 144.9541002451"
2021,101180,Equity Chambers 472-478 Bourke Street MELBOURNE VIC 3000,The Douglas Club,70,144.9595996598,-37.81486039782858,"-37.81486039782858, 144.9595996598"
2010,101193,338-352 Bourke Street MELBOURNE 3000,Alto Events,400,144.96328859750002,-37.813603510907534,"-37.813603510907534, 144.96328859750002"
2016,101194,314-336 Bourke Street MELBOURNE 3000,Mural Hall,900,144.96394447638255,-37.81340927935104,"-37.813409279351035, 144.96394447638255"
2013,101202,206-218 Bourke Street MELBOURNE 3000,Wonderland Karaoke,400,144.96687115185,-37.81267380947152,"-37.81267380947152, 144.96687115185"
2021,101206,188 Bourke Street MELBOURNE VIC 3000,Heros Rooftop Bar,302,144.9676138651,-37.81269719786064,"-37.81269719786064, 144.9676138651"
2004,101207,184-186 Bourke Street MELBOURNE 3000,Hollywood Karaoke Bar,204,144.96769718945876,-37.81267738920575,"-37.812677389205746, 144.96769718945876"
2020,101212,152-158 Bourke Street MELBOURNE VIC 3000,Ballers Clubhouse,1500,144.9685177241,-37.81195835501776,"-37.81195835501776, 144.9685177241"
2014,101214,146-150 Bourke Street MELBOURNE 3000,FM Karaoke Bar,100,144.96874244775,-37.81235427007714,"-37.812354270077144, 144.96874244775"
2005,101216,21-25 Croft Alley MELBOURNE 3000,The Croft Institute,250,144.9690969005816,-37.812064674892135,"-37.812064674892135, 144.9690969005816"
2004,101217,124-128 Bourke Street MELBOURNE 3000,Welcome Stranger,350,144.9692738016126,-37.812071111195024,"-37.812071111195024, 144.9692738016126"
2009,101218,118-122 Bourke Street MELBOURNE 3000,December Entertainment,72,144.96954824584998,-37.812074580591286,"-37.812074580591286, 144.96954824584998"
2008,101219,100-116 Bourke Street MELBOURNE 3000,Bass Lounge,350,144.9697608853,-37.81172679600914,"-37.81172679600914, 144.9697608853"
2011,101221,94-96 Bourke Street MELBOURNE 3000,The Elephant and Wheelbarrow,450,144.9702435871,-37.81191580668391,"-37.81191580668391, 144.9702435871"
2019,101230,54-62 Bourke Street MELBOURNE 3000,Romeo Lane,99,144.97136417975338,-37.81155874855,"-37.81155874855, 144.97136417975338"
2019,101236,12 Bourke Street MELBOURNE 3000,Angel Music Bar,125,144.97250851245002,-37.81124810433032,"-37.81124810433032, 144.97250851245002"
2018,101238,2-8 Bourke Street MELBOURNE 3000,Imperial Hotel,894,144.9726756216,-37.81120076789737,"-37.81120076789737, 144.9726756216"
2002,101450,223-227 Canning Street CARLTON 3053,Dan O'Connell Hotel,600,144.9733974847086,-37.79303186454882,"-37.79303186454882, 144.9733974847086"
2012,101593,91-95 Cardigan Street CARLTON 3053,Hotel Lincoln,154,144.96450571738808,-37.8044853175,"-37.8044853175, 144.96450571738808"
2006,101613,377-391 Cardigan Street CARLTON 3053,Clyde Hotel,239,144.96576379262143,-37.79725684086871,"-37.79725684086871, 144.96576379262143"
2022,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Lustre Bar,85,144.96559654045,-37.81660289619204,"-37.81660289619204, 144.96559654045"
2007,102064,69-71 Collins Street MELBOURNE 3000,The Trader Bar,280,144.97135862426046,-37.81434554629959,"-37.814345546299585, 144.97135862426046"
2021,102073,141-165 Collins Street MELBOURNE VIC 3000,Dessous,161,144.96876152725,-37.81545151804356,"-37.81545151804356, 144.96876152725"
2012,102098,415-417 Collins Street MELBOURNE 3000,The Sherlock Holmes Inn,131,144.96086833855,-37.81746943527568,"-37.81746943527568, 144.96086833855"
2008,102099,419-429 Collins Street MELBOURNE 3000,Silk Road on Collins,911,144.96065267909762,-37.81752823875,"-37.81752823875, 144.96065267909762"
2016,102102,471-485 Collins Street MELBOURNE 3000,State of Grace,200,144.95855671707193,-37.81841762805868,"-37.81841762805868, 144.95855671707193"
2022,102113,McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000,Pulo Pool Parlour,120,144.95584419736474,-37.81824450365,"-37.81824450365, 144.95584419736474"
2003,102117,500-514 Collins Street MELBOURNE 3000,Menzies Tavern,250,144.9574852972072,-37.81756404569752,"-37.81756404569752, 144.9574852972072"
2010,102118,480-490 Collins Street MELBOURNE 3000,Paloma,80,144.95795310975024,-37.81765020885,"-37.81765020885, 144.95795310975024"
2015,102123,446-452 Collins Street MELBOURNE 3000,Menzies Tavern Hotel,197,144.9594432475203,-37.8173045178,"-37.8173045178, 144.9594432475203"
2012,102124,430-442 Collins Street MELBOURNE 3000,The Brasilian Bean,80,144.959761676,-37.81703292444878,"-37.81703292444878, 144.959761676"
2019,102131,394 Collins Street MELBOURNE 3000,The Bank On Collins,300,144.96107938833774,-37.8166130827,"-37.8166130827, 144.96107938833774"
2022,102135,344-350 Collins Street MELBOURNE VIC 3000,Little Ramen Bar,72,144.96268877625,-37.81601648208985,"-37.81601648208985, 144.96268877625"
2003,102141,280-292 Collins Street MELBOURNE 3000,The Charles Dickens Tavern,450,144.96457927162226,-37.81563097004982,"-37.81563097004982, 144.96457927162226"
2002,102143,258-274 Collins Street MELBOURNE 3000,Australia On Collins Bar,11,144.96491857864146,-37.81541503501324,"-37.81541503501324, 144.96491857864146"
2007,102152,162-168 Collins Street MELBOURNE 3000,Long Room,620,144.9678570562652,-37.814504250153206,"-37.814504250153206, 144.9678570562652"
2013,102157,90-98 Collins Street MELBOURNE 3000,Massoni Wine Bar,112,144.9702869013,-37.81401767527591,"-37.814017675275906, 144.9702869013"
2008,102158,86-88 Collins Street MELBOURNE 3000,Collins Quarter,373,144.97058439120002,-37.81393676544812,"-37.81393676544812, 144.97058439120002"
2008,102198,22-26 Corrs Lane MELBOURNE 3000,Cash Box Ktv,200,144.96832424768246,-37.81099753355,"-37.81099753355, 144.96832424768246"
2012,102199,16-20 Corrs Lane MELBOURNE 3000,Eurotrash Cafeteria & Bar,569,144.9683853239258,-37.8111293175,"-37.8111293175, 144.9683853239258"
