geography,year,gender,age,value
Carlton,2023,Female,Age 65-69,224
Carlton,2023,Female,Age 85+,66
Carlton,2024,Female,Age 25-29,2105
Carlton,2024,Female,Age 30-34,1174
Carlton,2024,Male,Age 25-29,1978
Carlton,2024,Male,Age 65-69,109
Carlton,2025,Female,Age 35-39,811
Carlton,2025,Female,Age 80-84,131
Carlton,2025,Male,Age 80-84,54
Carlton,2026,Male,Age 35-39,920
Carlton,2026,Male,Age 45-49,371
Carlton,2026,Male,Age 55-59,213
Carlton,2028,Male,Age 20-24,2690
Carlton,2028,Male,Age 45-49,390
Carlton,2029,Female,Age 25-29,2673
Carlton,2029,Female,Age 30-34,1363
Carlton,2029,Female,Age 55-59,306
Carlton,2029,Male,Age 50-54,343
Carlton,2029,Male,Age 75-79,189
Carlton,2029,Male,Age 85+,49
Carlton,2030,Male,Age 60-64,168
Carlton,2030,Male,Age 70-74,229
Carlton,2031,Male,Age 85+,52
Carlton,2032,Female,Age 25-29,2710
Carlton,2032,Female,Age 35-39,1015
Carlton,2032,Female,Age 45-49,417
Carlton,2032,Female,Age 60-64,268
Carlton,2032,Male,Age 0-4,412
Carlton,2032,Male,Age 20-24,3177
Carlton,2032,Male,Age 5-9,411
Carlton,2032,Male,Age 50-54,345
Carlton,2033,Male,Age 0-4,422
Carlton,2033,Male,Age 10-14,273
Carlton,2033,Male,Age 15-19,914
Carlton,2034,Female,Age 10-14,241
Carlton,2034,Male,Age 55-59,234
Carlton,2034,Male,Age 85+,58
Carlton,2035,Female,Age 65-69,243
Carlton,2035,Female,Age 70-74,202
Carlton,2035,Female,Age 75-79,157
Carlton,2035,Male,Age 25-29,2585
Carlton,2036,Female,Age 0-4,447
Carlton,2037,Female,Age 60-64,236
Carlton,2037,Male,Age 45-49,575
Carlton,2038,Female,Age 10-14,323
Carlton,2038,Female,Age 55-59,275
Carlton,2038,Male,Age 20-24,3151
Carlton,2038,Male,Age 30-34,1481
Carlton,2038,Male,Age 60-64,145
Carlton,2039,Female,Age 15-19,1273
Carlton,2039,Female,Age 25-29,2865
Carlton,2039,Female,Age 35-39,1084
Carlton,2039,Female,Age 70-74,170
Carlton,2039,Male,Age 40-44,680
Carlton,2040,Female,Age 45-49,504
Carlton,2040,Female,Age 70-74,167
Carlton,2040,Male,Age 5-9,454
Carlton,2041,Female,Age 25-29,2823
Carlton,2041,Female,Age 75-79,142
Carlton,2042,Female,Age 70-74,162
Carlton,2042,Male,Age 10-14,457
Carlton,2042,Male,Age 40-44,755
Carlton,2042,Male,Age 60-64,136
Carlton,2043,Female,Age 60-64,209
Carlton,2043,Male,Age 20-24,3050
Carlton,2043,Male,Age 85+,71
Docklands,2023,Female,Age 50-54,504
Docklands,2023,Female,Age 60-64,279
Docklands,2023,Female,Age 70-74,101
Docklands,2023,Male,Age 10-14,100
Docklands,2023,Male,Age 20-24,923
Docklands,2023,Male,Age 5-9,178
Docklands,2023,Male,Age 60-64,407
Docklands,2023,Male,Age 65-69,304
Docklands,2024,Female,Age 50-54,532
Docklands,2024,Male,Age 5-9,181
Docklands,2025,Female,Age 85+,56
Docklands,2025,Male,Age 50-54,578
Docklands,2025,Male,Age 60-64,429
Docklands,2026,Female,Age 0-4,568
Docklands,2026,Female,Age 85+,57
Docklands,2026,Male,Age 65-69,344
Docklands,2026,Male,Age 85+,41
Docklands,2027,Female,Age 15-19,322
