Sale_Year,Small_Area,Type,Median_Price,Transaction_Count
2000,Carlton,House/Townhouse,316250,116
2000,Carlton,Residential Apartment,220000,309
2000,East Melbourne,House/Townhouse,622500,42
2000,East Melbourne,Residential Apartment,295000,139
2000,Kensington,House/Townhouse,215250,258
2000,Melbourne (CBD),House/Townhouse,,3
2000,Melbourne (CBD),Residential Apartment,276000,1065
2000,Melbourne (Remainder),Residential Apartment,284500,57
2000,North Melbourne,House/Townhouse,280000,115
2000,Parkville,Residential Apartment,231300,168
2000,South Yarra,House/Townhouse,767500,39
2000,South Yarra,Residential Apartment,210000,157
2000,West Melbourne (Residential),House/Townhouse,322000,34
2001,East Melbourne,House/Townhouse,790000,42
2001,East Melbourne,Residential Apartment,320000,204
2001,Kensington,House/Townhouse,282750,315
2001,Kensington,Residential Apartment,270000,211
2001,Melbourne (CBD),Residential Apartment,307500,2293
2001,Parkville,Residential Apartment,256000,99
2001,Southbank,Residential Apartment,395000,1184
2001,NA,House/Townhouse,,4
2002,Carlton,Residential Apartment,349250,297
2002,East Melbourne,House/Townhouse,925000,50
2002,East Melbourne,Residential Apartment,399000,490
2002,Parkville,House/Townhouse,693750,31
2002,Southbank,Residential Apartment,460500,1095
2003,Carlton,House/Townhouse,477750,101
2003,East Melbourne,House/Townhouse,623975,28
2003,Kensington,House/Townhouse,358500,208
2003,North Melbourne,House/Townhouse,395000,125
2003,North Melbourne,Residential Apartment,298000,234
2003,Parkville,Residential Apartment,282500,75
2003,South Yarra,House/Townhouse,800000,37
2003,South Yarra,Residential Apartment,267500,158
2004,Carlton,House/Townhouse,410000,79
2004,East Melbourne,Residential Apartment,330000,166
2004,Melbourne (CBD),House/Townhouse,,2
2004,Melbourne (CBD),Residential Apartment,317775,923
2004,North Melbourne,Residential Apartment,310000,200
2004,Parkville,House/Townhouse,795000,56
2004,Parkville,Residential Apartment,280000,45
2004,South Yarra,House/Townhouse,1170000,41
2004,South Yarra,Residential Apartment,305000,126
2004,West Melbourne (Residential),House/Townhouse,375000,37
2004,West Melbourne (Residential),Residential Apartment,350000,74
